"cluster_id","ccount","slot_signature_token"
117076,567649,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117087,57472,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117080,34485,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117092,21673,LH:67|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117081,17143,LH:0|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117150,10590,LH:67|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118347,9171,LH:81|RH:81|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117168,7742,LH:73|RH:73|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117456,6466,LH:63|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117215,5880,LH:0|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117541,5142,LH:80|RH:80|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117333,5013,LH:0|RH:0|TF:92|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117554,4840,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117085,4323,LH:92|RH:92|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117147,3961,LH:84|RH:84|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117131,3422,LH:41|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117207,3368,LH:86|RH:86|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117097,2835,LH:57|RH:57|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117184,2811,LH:0|RH:67|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117084,2484,LH:26|RH:26|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117105,2445,LH:56|RH:56|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117610,2266,LH:0|RH:92|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117103,2184,LH:59|RH:59|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
