"cluster_id","COUNT(image_id)"
1,30
2,162598
3,3613963
4,7
5,1402
6,2347
7,2108
8,17328
9,93
10,5317
11,1117
12,214679
13,1
14,9114
15,8220
16,1
17,8407
18,543
19,25496
20,530
21,169
22,3419
23,267
24,94
25,116
26,2524
27,974
28,2
29,2
30,27496
31,1266
32,1
33,6744
34,3309
35,94898
36,22203
37,184
38,14140
39,6093
40,2034
41,13282
42,4514
43,328
44,109180
45,236
46,82
47,62
48,1
49,1
50,5157
51,120
52,97
53,1003
54,176
55,1
56,80
57,14586
58,1408
59,735
60,715
61,240
62,219
63,3628
64,139
65,2583
66,11032
67,2263
68,11811
69,4093
70,15363
71,5564
72,30947
73,7764
74,236
75,9195
76,384
77,27
78,116
79,11220
80,80
81,14373
82,823
83,1590
84,29726
85,69
86,304
87,16410
88,3221
89,4567
90,10630
91,262446
92,87
93,23194
94,398
95,72
96,4379
97,1465
98,1560
99,442
100,214
101,2431
102,1412
103,1183
104,79
105,2913
106,2
107,209
108,4238
109,782
110,3220
111,1748
112,2011
113,970
114,2104
115,2
116,6
117,186438
118,1415
119,4
120,12637
121,16031
122,4251
123,2637
124,4
125,8478
126,49
127,7
128,1803
129,1
130,655
131,1680
132,8133
133,742
134,306
135,155
136,25
137,1
138,2565
139,1095
140,20070
141,174
142,4324
143,212
144,1
145,2697
146,395
147,48
148,23
149,6
150,6
151,636
152,9375
153,14157
154,1611
155,36
156,123
157,877
158,6645
159,29
160,1603
161,1858
162,943
163,5
164,19
165,591
166,39
167,2
168,16
169,1
170,1
171,7646
172,19
173,6909
174,523
175,1101
176,3387
177,615
178,2337
179,2176
180,1841
181,856
182,4
183,260
184,346
185,5588
186,1
187,5881
188,376
189,7023
190,2251
191,1883
192,37
193,1154
194,26
195,80
196,122
197,678
198,3
199,35
200,4793
201,174
202,3
203,6
204,222
205,1246
206,2569
207,146
208,3330
209,800
210,1771
211,13005
212,2
213,228
214,155
215,677
216,350
217,6058
218,2
219,633
220,12
221,28
222,1459
223,510
224,5
225,39
226,791
227,1046
228,1
229,7019
230,2
231,263
232,2765
233,7
234,4436
235,117
236,149
237,46
238,11785
239,4028
240,15
241,6473
242,12
243,362
244,624
245,1256
246,583
247,26
248,152
249,727
250,34
251,7
252,39
253,87
254,677
255,30
256,59
257,44
258,2826
259,812
260,6397
261,5154
262,26
263,3
264,400
265,100
266,255
267,22
268,234
269,82
270,575
271,2
272,1
273,46899
274,124
275,1
276,377
277,1510
278,816
279,3774
280,193
281,21501
282,2425
283,1832
284,21
285,39
286,54
287,80
288,1
289,611
290,79
291,8686
292,66
293,95
294,205
295,57
296,425
297,1
298,1330
299,1
300,1186
301,1493
302,694
303,14
304,8
305,4980
306,10634
307,11895
308,33
309,6160
310,19
311,1300
312,51
313,3141
314,1
315,62
316,6068
317,1
318,13
319,83
320,14
321,1499
322,6
323,1068
324,34
325,6621
326,164
327,1282
328,315
329,59
330,3
331,10750
332,412
333,3
334,32
335,348
336,189
337,42
338,43
339,1568
340,24
341,172
342,630
343,5513
344,52
345,2209
346,2
693,6025
694,2803
695,547
696,8
697,585
698,649
699,10531
700,2313
701,326
702,499
703,1908
704,1136
705,187
706,1
707,1
708,13
709,40
710,2001
711,27
712,240
713,371
714,1
715,178
716,2
717,198
718,1235
719,799
720,48
721,3043
722,8
723,1095
724,21
725,2188
726,983
727,277
728,1099
729,7
730,1671
731,468
732,17
733,1748
734,1
735,5169
736,61
737,1745
738,3322
739,983
740,1725
741,423
742,289
743,7052
744,3812
745,362
746,34
747,1124
748,486
749,67
750,2195
751,17
752,47
753,171
754,21
755,1
756,1
757,225
758,25369
759,17
760,1
761,1
762,1
763,204
764,671
765,1751
766,2
767,821
768,1
769,32
770,2
771,3
772,1
773,23
774,2362
775,7945
776,331
777,4
778,815
779,215
780,6
781,90
782,819
783,1007
784,144
785,36
786,176
787,1374
788,585
789,109
790,2
791,38
792,129
793,1069
794,318
795,1935
796,44
797,152
798,10069
799,31
800,104
801,843
802,448
803,1
804,27
805,113
806,31
807,8
808,261
809,1512
810,96
811,153
812,1
813,1725
814,2578
815,2
816,4298
817,13
818,4
819,1216
820,203
821,895
822,2
823,3145
824,789
825,198
826,12
827,142
828,15
829,1671
830,2722
831,43
832,2871
833,145
834,41
835,204
836,20
837,320
838,963
839,2
840,17
841,2592
842,1
843,11
844,422
845,120
846,59
847,1
848,128
849,56
850,1577
851,538
852,66
853,19
854,1
855,35
856,1
857,9
858,7
859,2
860,127
861,43
862,2
863,28
864,3572
865,32603
866,7
867,656
868,294
869,6
870,95
871,11
872,181
873,2615
874,91
875,29
876,609
877,1642
878,13
879,43
880,261
881,116
882,3
883,1433
884,307
885,548
886,3
887,281
888,55
889,1
890,211
891,2105
892,3568
893,182
894,12
895,1125
896,1278
897,1596
898,544
899,19
900,1
901,12
902,2
903,30
904,8
905,6
906,15
907,21
908,106
909,3
910,23
911,21
912,10
913,778
914,307
915,5463
916,339
917,112
918,7906
919,127
920,8
921,55
922,2958
923,290
924,205
925,430
926,1799
927,7
928,10
929,245
930,558
931,90
932,132
933,226
934,2822
935,291
936,6
937,191
938,4
939,237
940,7
941,164
942,2365
943,54
944,41
945,542
946,22
947,4508
948,1
949,18
950,2
951,105
952,373
953,230
954,170
955,20
956,7207
957,10
958,1
959,4998
960,1668
961,46
962,20
963,1
964,107
965,2
966,3
967,2
968,1
969,258
970,103
971,2084
972,13
973,320
974,617
975,1188
976,1898
977,1
978,41
979,36
980,1
981,1201
982,1
983,2
984,956
985,1908
986,1052
987,250
988,175
989,234
990,31
991,175
992,4
993,22
994,4148
995,21
996,8
997,1096
998,15
999,81
1000,87
1001,4879
1002,145
1003,8747
1004,644
1005,287
1006,546
1007,1
1008,2086
1009,253
1010,20
1011,4
1012,59
1013,109
1014,13673
1015,2536
1016,1
1017,90
1018,20
1019,39
1020,5
1021,904
1022,179
1023,75
1024,384
1025,1
1026,103
1027,1607
1028,16
1029,1019
1030,307
1031,28
1032,9
1033,9
1034,1
1035,103
1036,184
1037,166
1038,1471
1039,38
1040,54
1041,2
1042,254
1043,1
1044,1
1045,28
1046,12
1047,8
1048,2
1049,3266
1050,1
1051,1928
1052,166
1053,17
1054,367
1055,2
1056,98
1057,1
1058,2550
1059,1027
1060,134
1061,1
1062,1
1063,65
1064,51
1065,8838
1066,691
1067,1158
1068,1
1069,187
1070,3009
1071,13
1072,3838
1073,142
1074,326
1075,87
1076,141
1077,18
1078,44
1079,131
1080,120
1081,1413
1082,22
1083,2
1084,4
1085,105
1086,151
1087,96
1088,18
1089,48
1090,3
1091,2
1092,328
1093,1
1094,3
1095,1
1096,1764
1097,8
1098,452
1099,22
1100,47
1101,254
1102,5635
1103,55
1104,33
1105,1031
1106,111
1107,120
1108,24
1109,58366
1110,140
1111,30
1112,1823
1113,2
1114,1
1115,36
1116,1
1117,2
1118,5
1119,12
1120,157
1121,135
1122,29
1123,1
1124,2
1125,1
1126,3
1127,450
1128,1212
1129,97
1130,19760
1131,3156
1132,165
1133,234
1134,74
1135,42
1136,1
1137,316
1138,3
1139,1335
1140,1148
1141,15056
1142,675
1143,4
1144,11
1145,4
1146,63
1147,260
1148,14
1149,5
1150,43
1151,163
1152,2
1153,49
1154,3380
1155,1
1156,1
1157,41
1158,599
1159,733
1160,274
1161,2366
1162,355
1163,901
1164,1934
1165,56
1166,131
1167,17
1168,18
1169,840
1170,33
1171,256
1172,339
1173,1830
1174,806
1175,73
1176,71
1177,92
1178,28
1179,9
1180,980
1181,356
1182,25
1183,267
1184,295
1185,10
1186,160
1187,247
1188,106
1189,46
1190,1
1191,46
1192,374
1193,1142
1194,1
1195,24
1196,3
1197,6343
1198,2
1199,2
1200,148
1201,18
1202,1723
1203,2490
1204,184
1205,933
1206,11
1207,1
1208,1
1209,61
1210,263
1211,8
1212,140
1213,10
1214,5
1215,688
1216,821
1217,75
1218,4
1219,60
1220,121
1221,15
1222,358
1223,103
1224,1437
1225,112
1226,84
1227,1
1228,25
1229,11
1230,85
1231,101
1232,15
1233,62
1234,13
1235,2319
1236,12
1237,40
1238,1
1239,75
1240,1302
1241,5
1242,1
1243,15
1244,180
1245,8
1246,76
1247,37
1248,3
1249,56
1250,32
1251,52
1252,2
1253,57
1254,2
1255,217
1256,1113
1257,5
1258,556
1259,27
1260,10
1261,1
1262,376
1263,176
1264,1
1265,408
1266,445
1267,13
1268,2
1269,109
1270,2
1271,5
1272,71
1273,1
1274,141
1275,285
1276,65
1277,10
1278,1
1279,1
1280,247
1281,4
1282,324
1283,44
1284,25
1285,11
1286,2460
1287,74
1288,1
1289,1
1290,3
1291,1
1292,140
1293,1
1294,51
1295,869
1296,10
1297,4
1298,1
1299,59
1300,54
1301,37
1302,12
1303,197
1304,2018
1305,12
1306,79
1307,2082
1308,338
1309,164
1310,218
1311,1
1312,2
1313,56
1314,141
1315,8
1316,31
1317,1
1318,23
1319,49
1320,1
1321,1601
1322,125
1323,1
1324,2531
1325,13
1326,43
1327,3
1328,1
1329,21
1330,2
1331,3
1332,1
1333,15
1334,30
1335,12
1336,172
1337,12
1338,9
1339,13
1340,267
1341,20
1342,3
1343,596
1344,26
1345,414
1346,96
1347,47
1348,97
1349,6978
1350,6294
1351,506
1352,16
1353,31
1354,6
1355,161
1356,28
1357,1
1358,11
1359,68
1360,484
1361,10
1362,79
1363,16
1364,5
1365,51
1366,20
1367,94
1368,1
1369,16
1370,4
1371,1
1372,30
1373,381
1374,102
1375,664
1376,69
1377,149
1378,2
1379,15
1380,5
1381,42
1382,374
1383,7
1384,15
1385,2114
1386,174
1387,103
1388,1
1389,25
1390,39
1391,45
1392,135
1393,23
1394,1
1395,414
1396,523
1397,33
1398,1
1399,77
1400,43
1401,3636
1402,7028
1403,10
1404,69
1405,1
1406,8
1407,7
1408,3
1409,2
1410,40
1411,7
1412,1
1413,25
1414,20
1415,213
1416,23
1417,108
1418,133
1419,253
1420,1633
1421,399
1422,1
1423,7
1424,45
1425,162
1426,146
1427,2
1428,21
1429,20
1430,3
1431,172
1432,28
1433,79
1434,416
1435,2280
1436,1
1437,59
1438,2
1439,40
1440,148
1441,71
1442,4
1443,19
1444,472
1445,91
1446,63
1447,343
1448,18
1449,34
1450,19
1451,14
1452,449
1453,418
1454,1
1455,7
1456,76
1457,1
1458,268
1459,2
1460,165
1461,1
1462,17
1463,1
1464,24
1465,346
1466,431
1467,1
1468,7
1469,363
1470,3
1471,125
1472,23
1473,88
1474,46
1475,180
1476,20
1477,8
1478,1778
1479,1
1480,85
1481,31
1482,2
1483,1
1484,102
1485,13
1486,121
1487,83
1488,2
1489,229
1490,19
1491,1
1492,163
1493,1
1494,39
1495,2169
1496,425
1497,1768
1498,236
1499,3
1500,221
1501,1578
1502,74
1503,27
1504,95
1505,8
1506,3
1507,4
1508,37
1509,3
1510,99
1511,1006
1512,103
1513,26
1514,3
1515,1
1516,9
1517,1
1518,32
1519,182
1520,324
1521,148
1522,11
1523,2
1524,3
1525,187
1526,158
1527,10
1528,5
1529,7
1530,5
1531,19
1532,56
1533,310
1534,21
1535,7
1536,13
1537,33
1538,10
1539,6
1540,15962
1541,3
1542,40
1543,1
1544,7
1545,19
1546,20
1547,14
1548,4
1549,5565
1550,186
1551,19
1552,1
1553,16
1554,2
1555,32
1556,192
1557,13
1558,832
1559,177
1560,113
1561,108
1562,2
1563,23
1564,175
1565,37
1566,3
1567,277
1568,27
1569,25
1570,310
1571,38
1572,1
1573,26
1574,1
1575,144
1576,22
1577,1
1578,45
1579,77
1580,1
1581,16
1582,13
1583,1
1584,9
1585,474
1586,8
1587,20
1588,21
1589,433
1590,95
1591,70
1592,3
1593,103
1594,282
1595,3
1596,357
1597,28
1598,18
1599,10
1600,12
1601,12
1602,8
1603,423
1604,212
1605,1
1606,3
1607,1214
1608,3
1609,19
1610,58
1611,255
1612,19
1613,4
1614,39
1615,9
1616,273
1617,166
1618,2
1619,1
1620,36
1621,1499
1622,1307
1623,319
1624,442
1625,1040
1626,79
1627,12
1628,329
1629,1
1630,3
1631,643
1632,22
1633,1028
1634,569
1635,34
1636,2
1637,7
1638,6
1639,21
1640,4
1641,16
1642,6
1643,71
1644,1
1645,7
1646,1
1647,108
1648,20
1649,82
1650,1
1651,1
1652,56
1653,10
1654,7
1655,2
1656,10
1657,35
1658,129
1659,9
1660,4
1661,2
1662,6
1663,1
1664,2
1665,95
1666,60
1667,2
1668,21
1669,5
1670,6
1671,355
1672,2
1673,26
1674,6
1675,2
1676,86
1677,25
1678,45
1679,2184
1680,10
1681,26
1682,5
1683,6
1684,224
1685,7
1686,2
1687,34
1688,426
1689,44
1690,886
1691,1
1692,1
1693,12
1694,1
1695,547
1696,93
1697,2
1698,212
1699,2
1700,33
1701,89
1702,33
1703,25
1704,4
1705,1
1706,2
1707,2594
1708,2
1709,39
1710,4191
1711,278
1712,1
1713,261
1714,8
1715,2
1716,3
1717,20
1718,200
1719,138
1720,91
1721,8
1722,8
1723,299
1724,30
1725,1
1726,602
1727,106
1728,78
1729,1
1730,150
1731,226
1732,772
1733,1151
1734,433
1735,181
1736,22
1737,2
1738,419
1739,26
1740,21
1741,404
1742,16
1743,65
1744,29
1745,49
1746,96
1747,118
1748,80
1749,44
1750,14
1751,1
1752,1
1753,39
1754,19
1755,81
1756,173
1757,207
1758,1
1759,1
1760,1
1761,4
1762,125
1763,48
1764,11
1765,82
1766,20
1767,6
1768,70
1769,10
1770,70
1771,6918
1772,1
1773,1
1774,110
1775,6
1776,153
1777,372
1778,332
1779,264
1780,77
1781,22
1782,21
1783,53
1784,1
1785,18
1786,14
1787,99
1788,57
1789,1
1790,17
1791,41
1792,49
1793,837
1794,5
1795,1
1796,8
1797,1
1798,46
1799,18
1800,23
1801,20
1802,130
1803,175
1804,90
1805,6
1806,2
1807,525
1808,384
1809,99
1810,102
1811,144
1812,1653
1813,217
1814,199
1815,133
1816,7
1817,3
1818,67
1819,122
1820,11
1821,2
1822,260
1823,2
1824,35
1825,10
1826,166
1827,233
1828,51
1829,6
1830,70
1831,43
1832,77
1833,1
1834,59
1835,10
1836,26
1837,48
1838,3
1839,26
1840,18
1841,24
1842,2
1843,134
1844,120
1845,17
1846,733
1847,17
1848,2
1849,302
1850,7
1851,529
1852,1
1853,1
1854,2
1855,132
1856,1
1857,4
1858,611
1859,1989
1860,15
1861,31
1862,1
1863,847
1864,156
1865,13
1866,4
1867,2
1868,44
1869,37424
1870,351
1871,311
1872,3
1873,8252
1874,1
1875,2
1876,11
1877,37
1878,1523
1879,28
1880,57
1881,1
1882,32
1883,150
1884,1
1885,249
1886,341
1887,47
1888,1
1889,44
1890,69
1891,2
1892,2
1893,28
1894,1
1895,70
1896,3
1897,10
1898,80
1899,1
1900,280
1901,95
1902,34
1903,20
1904,2143
1905,144
1906,17
1907,8
1908,3
1909,1
1910,4
1911,649
1912,474
1913,55
1914,2
1915,41
1916,1
1917,260
1918,1
1919,14
1920,97
1921,1
1922,1
1923,88
1924,3
1925,17
