conf_band,slot,slot_assignment_count,slot_share
all_conf,feet,703284,0.09142417087518179
all_conf,left_eye,67741,0.008806065201619388
all_conf,left_hand,2034565,0.26448549692110757
all_conf,mouth,506902,0.06589527852897463
all_conf,right_eye,56308,0.007319819893015817
all_conf,right_hand,2147922,0.2792214638105832
all_conf,shoulder,1155289,0.15018305399556636
all_conf,top_face,38565,0.00501329925009155
all_conf,waist,981963,0.12765135152385967
high_conf,feet,489976,0.10004886299107255
high_conf,left_eye,35311,0.00721020090999919
high_conf,left_hand,1211946,0.24746889502052838
high_conf,mouth,339437,0.06931010071330165
high_conf,right_eye,30164,0.0061592280096631515
high_conf,right_hand,1287563,0.2629092326550165
high_conf,shoulder,816089,0.16663831810031798
high_conf,top_face,29849,0.006094907733073711
high_conf,waist,657032,0.1341602538670269
low_conf,feet,213308,0.07631301401130235
low_conf,left_eye,32430,0.011602148275669619
low_conf,left_hand,822619,0.2942999572119354
low_conf,mouth,167465,0.05991223438128315
low_conf,right_eye,26144,0.009353270567965049
low_conf,right_hand,860359,0.3078018096918544
low_conf,shoulder,339200,0.121352102840183
low_conf,top_face,8716,0.0031182338689712116
low_conf,waist,324931,0.1162472291508358
