class_id,conf_band,total_detections,total_images,assigned_detections,assigned_images,total_slot_assignments,placed_rate_detection,unplaced_rate_detection,placed_rate_image,unplaced_rate_image,feet,left_eye,left_hand,mouth,right_eye,right_hand,shoulder,top_face,waist,share_left_hand,share_right_hand,share_top_face,share_left_eye,share_right_eye,share_mouth,share_shoulder,share_waist,share_feet,max_slot_share,max_slot_name,flag_fixed_low_placement,flag_fixed_slot_dominance,flag_fixed_waist_absence,flag_fixed_feet_absence,flag_iqr_low_placement,flag_iqr_slot_dominance,flag_mad_low_placement,flag_mad_slot_dominance,outlier_flag_count,outlier_reasons
13,all_conf,112824,95544,11413.0,11413.0,11413.0,0.10115755513011417,0.8988424448698858,0.1194528175500293,0.8805471824499707,0.0,0.0,0.0,0.0,0.0,0.0,11413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,shoulder,False,True,True,True,False,True,False,True,5,fixed_slot_dominance;fixed_waist_absence;fixed_feet_absence;iqr_slot_dominance;mad_slot_dominance
112,all_conf,693,690,174.0,174.0,176.0,0.2510822510822511,0.748917748917749,0.25217391304347825,0.7478260869565218,0.0,0.0,2.0,0.0,0.0,5.0,0.0,169.0,0.0,0.011363636363636364,0.028409090909090908,0.9602272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.9602272727272727,top_face,False,True,True,True,False,True,False,True,5,fixed_slot_dominance;fixed_waist_absence;fixed_feet_absence;iqr_slot_dominance;mad_slot_dominance
111,all_conf,919,871,420.0,418.0,427.0,0.45701849836779107,0.5429815016322089,0.4799081515499426,0.5200918484500574,0.0,0.0,14.0,0.0,0.0,10.0,0.0,403.0,0.0,0.03278688524590164,0.0234192037470726,0.9437939110070258,0.0,0.0,0.0,0.0,0.0,0.0,0.9437939110070258,top_face,False,True,True,True,False,True,False,True,5,fixed_slot_dominance;fixed_waist_absence;fixed_feet_absence;iqr_slot_dominance;mad_slot_dominance
87,all_conf,10085,9555,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
93,all_conf,434806,420796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
123,all_conf,232003,211582,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
124,all_conf,81945,81434,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
127,all_conf,53820,52970,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
132,all_conf,111305,105633,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
133,all_conf,888004,876613,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
135,all_conf,29,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
137,all_conf,521873,507145,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
27,all_conf,2130827,1983175,1151618.0,1149358.0,1155791.0,0.540455888723017,0.459544111276983,0.5795545022501797,0.4204454977498203,0.0,0.0,11135.0,262970.0,0.0,12715.0,868971.0,0.0,0.0,0.009634094745503296,0.011001123905619614,0.0,0.0,0.0,0.2275238343264483,0.7518409470224288,0.0,0.0,0.7518409470224288,shoulder,False,False,True,True,False,True,False,False,3,fixed_waist_absence;fixed_feet_absence;iqr_slot_dominance
