count,keyword_id,keyword_text
1664382,1482,Smiling
1342925,173,Happiness
688468,868,Cheerful
526375,182,Joy
459519,865,Positive Emotion
447241,22092,confident
422298,4040,Fun
227392,161,Confidence
225985,23,Emotion
194982,22310,funny
191852,22674,excited
179991,14441,Relaxation
178801,918,Serious
169693,171,Surprise
168402,1479,Laughing
148435,23313,joyful
137132,25738,surprised
119642,22361,sad
119378,22315,friendly
115845,47840,grinning
112140,23995,emotional
110880,179,Enjoyment
110251,25944,amazed
108696,23719,angry
92519,133725,smiles
91270,24650,emotions
91169,26111,shocked
89342,22077,relax
88929,172,Love - Emotion
86743,134,Shock
85848,133519,cheerful
80480,188,Carefree
75102,22720,unhappy
70776,27040,crazy
68581,22872,upset
66364,10128,Wellbeing
66237,22772,stress
65830,22708,thinking
64000,22955,celebrating
62807,133402,confident
62551,22099,enjoy
59865,1769,Playful
58895,164,Excitement
58843,193,Cool Attitude
58475,4497,Fear
54868,26416,feeling
54394,25403,frustrated
53046,4548,Pain
52261,24161,stressed
51015,878,Worried
50657,22012,calm
50360,170,Satisfaction
48472,139,Anger
44910,24206,scared
43982,22128,glad
43680,22476,satisfied
43241,323,Togetherness
42311,22072,romantic
41798,888,Displeased
41456,155,Sadness
38801,23799,relaxed
38312,25586,afraid
38210,151,Frustration
37562,3790,Tired
37329,28345,confused
37181,23223,enjoying
34888,24054,depressed
34334,24750,feelings
34048,22593,think
33751,252,Contemplation
33145,27742,nervous
32708,22877,depression
31437,30207,wonder
31092,25238,annoyed
30553,22367,pleasure
30069,869,Contented Emotion
28564,885,Furious
26133,22527,relaxing
25825,22300,festive
25786,169,Pride
25553,22352,peace
24869,12024,Serene People
24608,1487,Grimacing
24582,1483,Frowning
24219,867,Ecstatic
23993,30696,positivity
23695,22167,lying
23629,175,Romance
23400,140,Anxiety
21225,27412,lucky
21074,133645,serious
20659,23281,trouble
20618,1485,Crying
19189,31893,rage
18974,174,Passion
18782,268,Luck
18288,163,Desire
18237,133530,emotions
18163,22016,peaceful
17429,23828,hope
17233,25133,worry
17117,18718,Tranquility
17075,24592,ill
16526,28636,disappointed
15922,3704,Despair
15161,141,Confusion
14845,131,Loss
14032,156,Emotional Stress
13807,24356,anxious
13761,22106,tender
13557,24996,desperate
13435,895,Terrified
13431,25771,smiles
13004,33626,hopeful
12881,28065,silly
12116,23470,focused
11989,8012,Relaxation Exercise
11688,3001,Hope - Concept
11293,22586,curious
11125,33701,irritated
11056,114,Loneliness
11030,21629,Unexpected
10604,30424,frightened
10111,133646,shocked
9858,871,Affectionate
9664,24534,dissatisfied
9492,22646,scary
9427,133568,thinking
9227,143,Disappointment
9189,22038,serene
8662,23962,kind
8654,3159,Curiosity
8344,22261,lonely
8034,23503,exhausted
7984,23925,tenderness
7659,22022,tranquil
7385,24725,energetic
7261,22278,delight
7097,4101,Irritation
6969,31145,enthusiasm
6684,26231,interested
6649,25191,sleepy
6477,866,Negative Emotion
6389,142,Depression - Sadness
6375,153,Grief
6350,122,Uncertainty
6037,25656,unwell
5833,29820,feel
5647,26280,discontent
5484,30697,rejoice
5350,16487,Mindfulness
5075,29454,astonish
4698,9078,Lost
4634,3158,Boredom
4462,30,Courage
4438,377,Exhaustion
4421,28566,smiley
4302,22547,gloomy
4255,133793,tired
4226,133531,enjoying
4110,133563,relaxing
3951,24886,naughty
3670,5697,Suicide
3562,24670,intense
3521,27311,confuse
3518,30941,exciting
3460,9329,Gasping
3420,32468,troubled
3217,378,Hopelessness
3128,148,Embarrassment
3106,7674,Smirking
3098,181,Exhilaration
2710,32174,good mood
2675,103,Threats
2665,33191,suspicious
2598,4351,Phobia
2504,22282,contemplate
2489,20306,Regret
2399,31229,goofy
2370,25794,contemplating
2362,27635,passionate
2360,20295,Introspection
2332,7867,Insomnia
2082,26724,well-being
2042,33707,bliss
1999,7527,Gratitude
1774,42959,wish
1737,24887,well being
1732,24481,attraction
1720,24126,hopeless
1638,4102,Suspicion
1596,30271,sympathy
1588,24167,relief
1582,28502,calmness
1526,24384,loving
1513,6857,Impatient
1444,28092,thankful
1420,23371,contemplative
1375,24993,helpless
1369,10647,Obedience
1321,26492,frightening
1278,133810,busy
1276,25870,kindness
1272,27503,smiling woman
1258,31672,happy woman
1230,26774,misery
1193,23499,frustrate
1076,26932,terror
1070,20026,Insanity
1043,26536,trauma
1007,22346,wanderlust
1001,4048,Greed
993,13271,Emotional Series
962,42756,frown
840,31599,focusing
815,27201,happy face
755,22470,emotionless
742,22633,in love
712,10010,Hysteria
687,28472,irritate
680,54927,emotional expression
676,20297,Stubborn
614,18806,Craving
613,13933,Self-love
592,32529,courageous
574,24249,happy birthday
538,27810,funny face
537,24598,happy people
515,4108,Envy
487,28884,tragedy
483,14227,Dementia
452,31337,lone
450,14378,Vulnerability
434,12816,Cheesy Grin
433,23625,happy easter
428,10812,Sneering
427,24390,depress
426,10046,I Love You
425,24666,mindful
386,23218,serious face
362,12898,Obsessive
347,24741,psycho
346,22723,wistful
338,33251,compassion
334,16425,Restlessness
326,27803,calming
322,25845,fearless
321,26500,ptsd
320,11142,Mental Illness
309,22764,obedient
305,20510,Empathy
289,33869,smiling man
283,6739,Mental Burnout
280,26430,vulnerable
278,27591,motivational
259,25129,grieving
230,29351,thrill
219,8404,Love At First Sight
216,24279,stress relief
211,23890,happy family
199,27553,playfulness
179,1530,Snarling
174,31040,painkillers
164,28719,terrifying
163,27615,bereavement
156,24473,beautiful smile
155,72120,radiant with joy
147,30318,imaginative
136,124885,joy kiss
