epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.012,1.26909,2.24187,1.50185,0.32913,0.35409,0.24177,0.11668,1.44203,6.25412,2.1901,0.000547373,0.000547373,0.000547373
2,358.384,1.49221,1.73977,1.63642,0.12765,0.20366,0.04044,0.01601,1.84224,27.1888,3.3441,0.00109212,0.00109212,0.00109212
3,560.998,1.51704,1.69928,1.66262,0.10478,0.26456,0.04125,0.01436,1.85734,22.502,2.95915,0.00162586,0.00162586,0.00162586
4,767.768,1.47475,1.54864,1.6151,0.38035,0.28998,0.25751,0.12286,1.64747,3.08157,2.09099,0.00161749,0.00161749,0.00161749
5,977.171,1.37057,1.43687,1.53213,0.59403,0.43892,0.45261,0.26543,1.37378,1.79457,1.70422,0.00160099,0.00160099,0.00160099
6,1157.11,1.30688,1.29993,1.4802,0.51944,0.57912,0.5299,0.28806,1.37814,1.74866,1.64258,0.00158448,0.00158448,0.00158448
7,1322.98,1.28314,1.26858,1.45801,0.64488,0.56269,0.56436,0.31773,1.38143,1.48906,1.63104,0.00156798,0.00156798,0.00156798
8,1490.1,1.22516,1.1788,1.41916,0.6668,0.62622,0.63047,0.33614,1.34174,1.27007,1.6331,0.00155148,0.00155148,0.00155148
9,1647.71,1.24498,1.19244,1.42715,0.77565,0.5931,0.64669,0.38035,1.27337,1.18365,1.53811,0.00153497,0.00153497,0.00153497
10,1798.94,1.12047,1.04908,1.35588,0.70652,0.60706,0.65481,0.38745,1.31095,1.19231,1.5333,0.00151847,0.00151847,0.00151847
11,1953.03,1.10344,1.03574,1.33701,0.67973,0.64548,0.645,0.40242,1.31584,1.09684,1.54766,0.00150197,0.00150197,0.00150197
12,2104.71,1.0846,0.98618,1.32264,0.7279,0.63892,0.6683,0.40871,1.26731,1.07698,1.46507,0.00148546,0.00148546,0.00148546
13,2255.43,1.0632,0.9523,1.3131,0.7461,0.63362,0.68501,0.41892,1.23707,0.99834,1.50046,0.00146896,0.00146896,0.00146896
14,2404.02,1.03025,0.92587,1.2989,0.73923,0.60092,0.66676,0.41507,1.20531,0.99892,1.44014,0.00145246,0.00145246,0.00145246
15,2555.8,1.02955,0.91612,1.28994,0.7239,0.70846,0.70097,0.41187,1.28634,1.03382,1.54523,0.00143595,0.00143595,0.00143595
16,2701.11,1.02494,0.90114,1.29486,0.75006,0.66317,0.70075,0.42812,1.2351,0.96313,1.49605,0.00141945,0.00141945,0.00141945
17,2850.74,1.0219,0.87282,1.28141,0.74028,0.60381,0.65644,0.42171,1.17929,1.02372,1.43841,0.00140295,0.00140295,0.00140295
18,2996.64,0.97602,0.86136,1.24753,0.71439,0.68016,0.69975,0.45389,1.20812,0.95363,1.46246,0.00138644,0.00138644,0.00138644
19,3147.14,0.92535,0.80956,1.21344,0.83487,0.64428,0.72869,0.44583,1.16462,0.93251,1.42435,0.00136994,0.00136994,0.00136994
20,3297.75,0.90817,0.79543,1.19157,0.84952,0.5807,0.69762,0.4325,1.22562,0.94975,1.48863,0.00135344,0.00135344,0.00135344
21,3447.43,0.90635,0.77851,1.19407,0.80723,0.64175,0.68512,0.45803,1.14153,0.90385,1.4216,0.00133693,0.00133693,0.00133693
22,3591.49,0.89633,0.76848,1.19516,0.85167,0.61076,0.70253,0.45009,1.25557,0.91913,1.53032,0.00132043,0.00132043,0.00132043
