cluster_key,cluster_id,pose_id,topic_id,input_csv,output_folder,input_ct_from_filename,input_csv_rows,ct_matches_csv,output_rows,loss_count,retention_pct,flagged_low_output,anchor_stuck,no_output_folder,multiple_runs,run_count,log_rows_total,log_rows_saved,log_skip_face,log_rows_write_failed,log_cache_hits,log_cache_misses,log_exclude_rows_before,log_exclude_dropped,log_dedupe_confirmed_dupes
c0_p15_t0,c0,p15,t0,df_sorted_c0_p15_t0_ct287.csv,clustercc0_p15_t0_1779801706.6755772,287,287,True,235,52,81.9,False,False,False,False,1,,,,,,,,,
c0_p25_t0,c0,p25,t0,df_sorted_c0_p25_t0_ct117.csv,clustercc0_p25_t0_1779801706.675606,117,117,True,117,0,100.0,False,False,False,False,1,,,,,,,,,
c100_p133_t0,c100,p133,t0,df_sorted_c100_p133_t0_ct113.csv,clustercc100_p133_t0_1779801706.675642,113,113,True,111,2,98.2,False,False,False,False,1,,,,,,,,,
c100_p15_t0,c100,p15,t0,df_sorted_c100_p15_t0_ct339.csv,clustercc100_p15_t0_1779801706.675771,339,339,True,231,108,68.1,False,False,False,False,1,,,,,,,,,
c100_p2263_t0,c100,p2263,t0,df_sorted_c100_p2263_t0_ct127.csv,clustercc100_p2263_t0_1779801706.675769,127,127,True,124,3,97.6,False,False,False,False,1,,,,,,,,,
c100_p2341_t0,c100,p2341,t0,df_sorted_c100_p2341_t0_ct99.csv,clustercc100_p2341_t0_1779801706.675869,99,99,True,93,6,93.9,False,False,False,False,1,,,,,,,,,
c100_p34_t0,c100,p34,t0,df_sorted_c100_p34_t0_ct149.csv,clustercc100_p34_t0_1779801706.67585,149,149,True,148,1,99.3,False,False,False,False,1,,,,,,,,,
c100_p733_t0,c100,p733,t0,df_sorted_c100_p733_t0_ct95.csv,clustercc100_p733_t0_1779801706.675885,95,95,True,93,2,97.9,False,False,False,False,1,,,,,,,,,
c100_p734_t0,c100,p734,t0,df_sorted_c100_p734_t0_ct186.csv,clustercc100_p734_t0_1779801706.675928,186,186,True,180,6,96.8,False,False,False,False,1,,,,,,,,,
c100_p7_t0,c100,p7,t0,df_sorted_c100_p7_t0_ct167.csv,clustercc100_p7_t0_1779801706.676044,167,167,True,165,2,98.8,False,False,False,False,1,,,,,,,,,
c101_p15_t0,c101,p15,t0,df_sorted_c101_p15_t0_ct404.csv,clustercc101_p15_t0_1779801706.676047,404,404,True,233,171,57.7,False,False,False,False,1,,,,,,,,,
c102_p11_t0,c102,p11,t0,df_sorted_c102_p11_t0_ct132.csv,clustercc102_p11_t0_1779801706.676197,132,132,True,131,1,99.2,False,False,False,False,1,,,,,,,,,
c102_p34_t0,c102,p34,t0,df_sorted_c102_p34_t0_ct244.csv,clustercc102_p34_t0_1779801706.6761,244,244,True,239,5,98.0,False,False,False,False,1,,,,,,,,,
c103_p34_t0,c103,p34,t0,df_sorted_c103_p34_t0_ct136.csv,clustercc103_p34_t0_1779801706.676221,136,136,True,136,0,100.0,False,False,False,False,1,,,,,,,,,
