Topic: 0 	infant	innoc	newborn	bedroom	small	adolesc	soft	anim	sweet	bed"
Topic: 1 	shop	sale	custom	retail	store	chef	kitchen	cook	buy	food"
Topic: 2 	cell	contact	display	ginger	freckl	network	automobil	transport	tall	redhead"
Topic: 3 	islam	muslim	religion	pray	tradit	hope	simplic	puriti	religi	prayer"
Topic: 4 	level	travel	journey	tourist	vacat	citi	suitcas	tourism	explor	adventur"
Topic: 5 	ball	win	game	player	sport	soccer	competit	fist	club	motion"
Topic: 6 	winter	cold	snow	free	coat	like	weather	warm	season	hood"
Topic: 7 	tone	shopahol	wash	household	clean	ecolog	fli	sheet	housework	purchas"
Topic: 8 	salon	dream	step	hairdress	mall	help	collect	stock	airplan	honesti"
Topic: 9 	colleg	univers	student	number	educ	studi	book	balloon	primari	backpack"
Topic: 10 	birthday	banner	housewif	poster	month	pregnanc	celebr	bouquet	cuisin	card"
Topic: 11 	clear	cut	dumbbel	bloom	len	overal	optic	actor	wreath	flare"
Topic: 12 	glamour	makeup	fashion	beauti	eleg	model	light	hair	phenomenon	sensual"
Topic: 13 	advertis	blank	board	appl	copi	paper	timber	messag	nurseri	show"
Topic: 14 	set	artist	paint	brick	blur	exterior	hard	fine	improv	candi"
Topic: 15 	spring	natur	park	summer	grass	outdoor	beauti	sunni	tour	activ"
Topic: 16 	finger	point	gestur	show	hand	symbol	express	sign	emot	posit"
Topic: 17 	fashion	cloth	sceneri	style	model	pose	landscap	urban	jean	casual"
Topic: 18 	satisfact	emot	candid	posit	mood	confid	express	cheer	hair	inform"
Topic: 19 	christma	gift	celebr	holiday	present	santa	decor	winter	decemb	surpris"
Topic: 20 	innoc	childhood	small	cute	face	beauti	towel	happi	smile	bath"
Topic: 21 	labor	industri	construct	engin	tool	helmet	occup	structur	safeti	worker"
Topic: 22 	drink	coffe	beverag	refresh	cafe	break	instrument	restaur	music	musician"
Topic: 23 	busi	offic	laptop	work	corpor	desk	success	manag	occup	profession"
Topic: 24 	skin	clean	care	fresh	treatment	beauti	blossom	health	facial	healthi"
Topic: 25 	think	outsid	contempl	imagin	idea	race	mustach	fold	dream	aspir"
Topic: 26 	relationship	chat	romanc	girlfriend	friendship	multiraci	group	literatur	coupl	date"
Topic: 27 	romant	environ	plastic	repair	center	assist	faith	conscious	environment	irrit"
Topic: 28 	shape	tie	valentin	heart	garden	farm	plant	heel	agricultur	flower"
Topic: 29 	beach	vacat	water	travel	summer	trip	ocean	dawn	tropic	bikini"
Topic: 30 	workout	medit	exercis	yoga	fit	activ	relax	sport	stretch	train"
Topic: 31 	confus	pride	nation	patriot	aggress	give	flag	classic	independ	vietnames"
Topic: 32 	seduct	lingeri	desir	underwear	stomach	vest	messi	attack	bowl	spoon"
Topic: 33 	length	jump	quarter	shade	leg	shoe	figur	skirt	individu	boot"
Topic: 34 	retir	money	financ	growth	pension	bank	save	credit	card	cash"
Topic: 35 	educ	studi	elementari	learn	wooden	book	schoolgirl	teacher	student	classroom"
Topic: 36 	scienc	seat	individu	road	rid	bike	labor	bicycl	countri	straw"
Topic: 37 	focus	foreground	franc	touch	mix	golden	cheek	hide	select	rural"
Topic: 38 	plain	tongu	lift	stop	stick	agent	despair	real	announc	heavi"
Topic: 39 	scarf	sick	bust	sweater	vitamin	knit	warm	winter	pattern	cold"
Topic: 40 	observ	activ	swim	recreat	playground	pursuit	leisur	pool	play	hotel"
Topic: 41 	time	nerd	near	book	intellig	neck	read	reflect	eyeglass	clock"
Topic: 42 	danc	perform	dancer	offer	grace	convers	passion	cotton	challeng	milk"
Topic: 43 	facad	execut	busi	success	corpor	manag	confid	formal	suit	offic"
Topic: 44 	calm	sole	set	accessori	insid	individu	peac	composit	seren	tradit"
Topic: 45 	costum	festiv	tradit	charact	magic	halloween	fantasi	celebr	carniv	parti"
Topic: 46 	thumb	nake	contractor	orient	coast	templat	filter	shave	paperwork	comic"
Topic: 47 	daughter	parent	famili	kiss	blow	curios	wind	sweet	flirt	affection"
Topic: 48 	room	domest	interior	home	vintag	live	hous	indoor	sofa	relax"
Topic: 49 	food	eat	diet	nutrit	fruit	meal	healthi	fresh	lunch	snack"
Topic: 50 	teeth	music	listen	headphon	sound	dental	brush	wisdom	audio	skateboard"
Topic: 51 	phone	mobil	communic	technolog	wireless	internet	connect	devic	digit	telephon"
Topic: 52 	athlet	sport	engag	fit	exercis	train	muscl	strength	muscular	weight"
Topic: 53 	autumn	fall	leaf	season	movement	natur	park	forest	leav	bride"
Topic: 54 	headshot	hair	view	real	shoot	look	brown	waist	authent	studio"
Topic: 55 	shock	surpris	mouth	strip	express	open	excit	emot	fear	braid"
Topic: 56 	stress	frustrat	depress	action	problem	worri	sad	negat	tire	express"
Topic: 57 	friend	singl	pictur	individu	divers	packag	deliveri	pure	applic	move"
Topic: 58 	achiev	shout	excit	celebr	success	scream	express	cover	gestur	emot"
Topic: 59 	medic	doctor	health	healthcar	hospit	protect	medicin	stethoscop	mask	care"
