topic_id,topic name
0,"sport, exercis"
1,"outsid, think"
2,"chef, kitchen"
3,"mustach, player"
4,"occup, adolesc"
5,"denim, pant"
6,"citi, urban"
7,"light, phenomenon"
8,"vintag, retro"
9,"makeup, fashion"
10,"drink, reclin"
11,"busi, corpor"
12,"shoe, attitud"
13,"shadow, multiraci"
14,"stop, skateboard"
15,"muscl, romant"
16,"food, eat"
17,"garden, plant"
18,"board, tone"
19,"masculin, conscious"
20,"medic, doctor"
21,"educ, studi"
22,"finger, gestur"
23,"depress, stress"
24,"winter, autumn"
25,"fashion, beauti"
26,"hope, pray"
27,"flower, bouquet"
28,"costum, tradit"
29,"set, nutrit"
30,"real, loss"
31,"innoc, small"
32,"shock, surpris"
33,"advertis, engag"
34,"achiev, scream"
35,"skin, clean"
36,"seat, tie"
37,"franc, money"
38,"headshot, dream"
39,"structur, floral"
40,"internet, laptop"
41,"friend, protect"
42,"coffe, drink"
43,"shop, custom"
44,"observ, singl"
45,"spring, natur"
46,"labor, construct"
47,"shirt, cloth"
48,"seduct, swim"
49,"music, listen"
50,"object, blow"
51,"facad, individu"
52,"interior, home"
53,"near, button"
54,"action, time"
55,"free, anim"
56,"daughter, sick"
57,"satisfact, collar"
58,"parti, bald"
59,"christma, celebr"
60,"authent, game"
61,"level, infant"
62,"offer, sexual"
63,"phone, mobil"
