"cluster_id","ccount","LH","RH","TF","LE","RE","MO","SH","WA","FT"
1,7577503,0,0,0,0,0,0,0,0,0
58,666652,67,67,0,0,0,0,0,0,0
15,606574,0,0,0,0,0,0,27,0,0
7,568642,0,67,0,0,0,0,0,0,0
11,441957,63,63,0,0,0,0,0,0,0
25,343254,67,0,0,0,0,0,0,0,0
28,328719,73,73,0,0,0,0,0,0,0
34,325814,0,0,0,0,0,0,0,63,63
113,258395,0,0,0,0,0,27,0,0,0
1802,150423,81,81,0,0,0,0,0,0,0
29,127869,0,0,0,0,0,0,0,67,0
133,97664,63,0,0,0,0,0,0,0,0
347,95255,0,63,0,0,0,0,0,0,0
960,90605,80,80,0,0,0,0,0,0,0
310,87066,86,86,0,0,0,0,0,0,0
19,84849,0,0,0,0,0,0,0,0,63
85,79656,59,59,0,0,0,0,0,0,0
160,71646,41,41,0,0,0,0,0,0,0
162,65093,26,26,0,0,0,0,0,0,0
210,60947,83,83,0,0,0,0,0,0,0
69,58327,57,57,0,0,0,0,0,0,0
181,53524,0,0,0,0,0,0,0,67,67
45,53405,0,0,0,0,0,0,0,26,26
209,49915,0,26,0,0,0,0,0,0,0
275,49021,0,73,0,0,0,0,0,0,0
79,48236,0,0,0,0,0,67,0,67,0
1685,48060,82,82,0,0,0,0,0,0,0
5,47390,0,0,0,0,0,0,0,0,26
301,46847,73,0,0,0,0,0,0,0,0
89,46586,56,56,0,0,0,0,0,0,0
293,45571,26,0,0,0,0,0,0,0,0
16,45351,0,41,0,0,0,0,0,0,0
975,41691,63,63,0,0,0,0,27,0,0
206,41311,84,84,0,0,0,0,0,0,0
282,41053,0,67,0,0,0,0,27,0,0
2341,40571,0,82,0,0,0,0,0,0,0
70,39633,0,0,0,0,0,0,0,0,67
294,38859,25,25,0,0,0,0,0,0,0
1145,37895,32,32,0,0,0,0,0,0,0
321,37639,74,74,0,0,0,0,0,0,0
231,37215,24,24,0,0,0,0,0,0,0
765,36676,97,97,0,0,0,0,0,0,0
1002,36597,0,0,0,0,0,110,0,0,0
312,34179,63,67,0,0,0,0,0,0,0
807,32368,0,32,0,0,0,0,0,0,0
149,31640,2,2,0,0,0,0,0,0,0
37,31252,92,92,0,0,0,0,0,0,0
215,30895,101,101,0,0,0,0,0,0,0
226,29984,41,0,0,0,0,0,0,0,0
734,29166,0,95,0,0,0,0,0,0,0
217,29147,1,1,0,0,0,0,0,0,0
104,28808,16,16,0,0,0,0,0,0,0
802,28757,0,74,0,0,0,0,0,0,0
375,28522,0,0,0,0,0,0,0,63,0
2160,28344,0,81,0,0,0,0,0,0,0
47,28005,0,0,0,0,0,0,0,0,32
824,27932,67,63,0,0,0,0,0,0,0
361,26205,67,67,0,0,0,0,27,0,0
118,25748,0,39,0,0,0,0,0,0,0
531,25361,100,100,0,0,0,0,0,0,0
397,25101,32,0,0,0,0,0,0,0,0
248,25083,0,0,0,0,0,27,0,63,63
783,25037,0,0,0,0,0,63,0,63,63
261,24940,74,0,0,0,0,0,0,0,0
99,24025,60,60,0,0,0,0,0,0,0
84,23963,67,0,0,0,0,0,27,0,0
612,23827,0,0,92,0,0,0,0,0,0
76,23289,0,0,0,0,0,0,0,56,56
355,22992,0,86,0,0,0,0,0,0,0
560,22704,110,110,0,0,0,0,0,0,0
207,22657,45,45,0,0,0,0,0,0,0
649,22515,77,77,0,0,0,0,0,0,0
350,22077,58,58,0,0,0,0,0,0,0
379,21890,39,39,0,0,0,0,0,0,0
1513,21877,81,0,0,0,0,0,0,0,0
232,21522,37,37,0,0,0,0,0,0,0
111,21506,55,55,0,0,0,0,0,0,0
81,21481,0,0,0,0,0,0,0,0,41
35,21413,0,0,0,0,0,67,0,67,67
523,20863,0,0,0,0,0,0,63,63,63
56,20421,0,0,0,0,0,0,0,0,56
1020,20080,73,73,0,0,0,0,27,0,0
2067,20061,0,83,0,0,0,0,0,0,0
121,18889,0,92,0,0,0,0,0,0,0
2263,18698,82,0,0,0,0,0,0,0,0
727,18691,95,67,0,0,0,0,0,0,0
808,18645,103,103,0,0,0,0,0,0,0
216,18382,47,47,0,0,0,0,0,0,0
87,18262,0,79,0,0,0,0,0,0,0
586,18019,95,0,0,0,0,0,0,0,0
94,17912,79,79,0,0,0,0,0,0,0
258,17826,95,95,0,0,0,0,0,0,0
198,17683,0,0,0,0,0,0,0,0,58
265,17590,26,67,0,0,0,0,0,0,0
714,17541,92,0,0,0,0,0,0,0,0
418,17488,41,67,0,0,0,0,0,0,0
1628,17269,83,0,0,0,0,0,0,0,0
604,17060,39,0,0,0,0,0,0,0,0
23,17047,29,29,0,0,0,0,0,0,0
768,17010,0,84,0,0,0,0,0,0,0
1302,16870,0,80,0,0,0,0,0,0,0
101,15717,0,56,0,0,0,0,0,0,0
627,15626,86,0,0,0,0,0,0,0,0
75,15558,56,0,0,0,0,0,0,0,0
167,15011,0,58,0,0,0,0,0,0,0
49,14662,0,0,0,67,0,0,67,0,0
9,14575,0,0,0,0,0,0,0,73,73
199,14549,0,24,0,0,0,0,0,0,0
122,14378,0,0,0,0,0,0,0,57,57
345,14301,28,28,0,0,0,0,0,0,0
60,14248,0,0,0,0,0,0,0,24,24
127,14097,58,0,0,0,0,0,0,0,0
733,14061,67,95,0,0,0,0,0,0,0
1118,14040,0,110,0,0,0,0,0,0,0
1602,14009,84,0,0,0,0,0,0,0,0
358,13840,34,34,0,0,0,0,0,0,0
754,13591,63,0,0,0,0,0,27,0,0
962,13549,0,47,0,0,0,0,0,0,0
17,13473,67,41,0,0,0,0,0,0,0
393,13416,40,40,0,0,0,0,0,0,0
74,13229,0,0,0,0,0,0,0,0,39
2230,12929,94,94,0,0,0,0,0,0,0
470,12916,73,67,0,0,0,0,0,0,0
974,12735,0,63,0,0,0,0,27,0,0
2818,12719,80,0,0,0,0,0,0,0,0
299,12694,0,25,0,0,0,0,0,0,0
2640,12680,80,80,0,0,0,0,27,0,0
884,12676,54,54,0,0,0,0,0,0,0
508,12588,0,40,0,0,0,0,0,0,0
822,12058,90,90,0,0,0,0,0,0,0
307,11818,24,0,0,0,0,0,0,0,0
80,11769,0,0,0,0,0,0,0,56,0
221,11677,67,26,0,0,0,0,0,0,0
1152,11649,110,0,0,0,0,0,0,0,0
989,11535,0,0,0,0,0,0,0,100,100
552,11493,57,57,0,0,0,0,0,63,0
1885,11439,0,0,0,0,0,0,0,84,0
562,11198,0,0,0,67,0,0,0,0,0
190,10922,45,0,0,0,0,0,0,0,0
73,10880,0,0,0,0,0,67,0,0,67
467,10653,67,67,92,0,0,0,0,0,0
584,10577,65,65,0,0,0,0,0,0,0
708,10509,63,41,0,0,0,0,0,0,0
153,10378,0,101,0,0,0,0,0,0,0
845,10245,0,0,0,0,0,0,0,97,97
809,10166,105,105,0,0,0,0,0,0,0
1617,10137,0,0,0,0,0,0,0,84,84
236,10118,0,0,0,0,0,0,63,63,0
534,10099,63,63,0,0,0,0,0,56,0
878,10098,76,76,0,0,0,0,0,0,0
272,10011,63,95,0,0,0,0,0,0,0
681,9983,79,0,0,0,0,0,0,0,0
184,9924,0,0,0,0,0,0,0,0,73
999,9902,0,28,0,0,0,0,0,0,0
235,9838,47,0,0,0,0,0,0,0,0
298,9542,25,0,0,0,0,0,0,0,0
728,9478,95,63,0,0,0,0,0,0,0
603,9405,0,97,0,0,0,0,0,0,0
67,9342,90,90,0,0,0,0,89,0,0
174,9322,0,0,0,0,0,0,0,59,59
857,9224,57,57,0,0,0,0,63,63,63
1155,9220,0,45,0,0,0,0,0,0,0
137,9192,49,49,0,0,0,0,0,0,0
461,9068,36,36,0,0,0,0,0,0,0
388,9051,0,0,0,0,67,0,67,0,0
669,9046,0,65,0,0,0,0,0,0,0
6,8975,41,63,0,0,0,0,0,0,0
814,8967,67,73,0,0,0,0,0,0,0
964,8936,0,27,0,0,0,0,0,0,0
91,8927,101,0,0,0,0,0,0,0,0
