"cluster_id","slot_signature_hash","slot_signature_token","slot_signature_n_objects","created_at"
1,"3e4c4f306635e83d7fb509dca397d9289027927e",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,0,"2026-04-27 10:49:22"
2,f1c8ea733857e4672ee562f1a0f229e8af30f920,LH:62|RH:62|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,2,"2026-04-27 10:49:22"
3,"92432bb575b893ef96d16e44329499a84caf4edd",LH:0|RH:57|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,1,"2026-04-27 10:49:22"
4,"7473ddb51e698858144a7085c45b23ee65102f5d",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:40,1,"2026-04-27 10:49:22"
5,"0a9586b5f8dbc9eeb898d980bde412144b6dad2b",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:26,1,"2026-04-27 10:49:22"
6,"39ee5f865c3232f8769e174dc0368ec8da5c3675",LH:41|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,2,"2026-04-27 10:49:22"
7,"09e3c34b87fa5759f3e67ad10f8a831d64896ddf",LH:0|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,1,"2026-04-27 10:49:22"
8,afc77f735ceeb906c6e4c6b0c53f38c03b022465,LH:57|RH:57|TF:0|LE:0|RE:0|MO:73|SH:0|WA:0|FT:0,3,"2026-04-27 10:49:22"
9,"9aa8e5184af76378e3033a64f42b40bada73c091",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:73|FT:73,2,"2026-04-27 10:49:22"
10,"1e09bac3a3a26e4dd728aa9854fdf68f45797a17",LH:25|RH:25|TF:0|LE:0|RE:0|MO:0|SH:0|WA:26|FT:0,3,"2026-04-27 10:49:22"
11,"59f991a2d7b9de0bfbf5806f82a15d9cdf82be47",LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,2,"2026-04-27 10:49:22"
12,"6dd1d9f0626269bd1e931ac3c2bcdf76adfd2ff6",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:67|FT:41,2,"2026-04-27 10:49:22"
13,"1ca374c8a3a6694c51f674d9f1fe0b53b6a79bed",LH:0|RH:72|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,1,"2026-04-27 10:49:22"
14,a0b1722ac80be622d02cd8ef66e19ec5f90dc062,LH:55|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,2,"2026-04-27 10:49:22"
15,"3a00d3b79e524265abed11f60bbc00c2b34bdb31",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0,1,"2026-04-27 10:49:22"
16,"01988f870d205ef134bbbbc1165da1389357154e",LH:0|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,1,"2026-04-27 10:49:22"
17,cd1eb351b86a352228818a5329de8b83f29cad03,LH:67|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,2,"2026-04-27 10:49:22"
18,e965910f8b69de14a8166804707fb046dae099a7,LH:58|RH:39|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,2,"2026-04-27 10:49:22"
19,"635fc38ffa4ce82a207789c2258248e657ed5089",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:63,1,"2026-04-27 10:49:22"
20,"661bfd1e41348e7cf497cd83fdabf287a8436a3f",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:41,2,"2026-04-27 10:49:22"
21,e1baa1447e65c85af05e74b21108a433d1e86e0e,LH:0|RH:94|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0,1,"2026-04-27 10:49:22"
22,"58abb3c3f1d7e1614e30661ac5e133532a93040b",LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:28,1,"2026-04-27 10:49:22"
