arms_cluster_id,object_signature_cluster_id,leg_pose_variant,mult_top,mult_right,mult_bottom,mult_left
1,1,,1.5,2.0,2.5,2.0
10,1,,1.5,3.5,6.5,3.5
10,9069,,2.5,4.0,10.0,4.0
10,9080,,2.0,6.5,7.5,8.0
100,1,,1.5,3.0,5.0,3.0
100,9069,,2.0,3.0,5.0,3.5
100,9081,,2.0,3.0,4.5,3.5
100,9087,,2.0,3.5,5.5,3.5
101,1,,1.5,5.0,6.0,3.5
101,9080,,2.0,8.5,11.5,7.0
102,1,,1.5,3.5,5.0,3.5
104,1,,1.5,2.5,3.0,2.5
104,9069,,2.0,3.0,8.5,3.0
105,9069,,2.0,4.0,5.5,4.0
105,9081,,2.5,4.0,5.0,4.0
106,9069,,2.0,3.5,5.0,3.5
106,9078,,2.0,3.5,5.0,3.5
106,9081,,2.0,3.0,5.0,3.5
106,9096,,2.0,3.5,5.0,3.5
107,1,,1.5,3.5,5.0,3.5
107,9083,,2.0,3.5,5.5,4.0
108,9069,,2.0,3.0,8.0,3.0
108,9082,,2.0,3.0,6.0,3.5
109,9069,,4.5,3.0,8.0,3.0
109,9080,,4.0,7.0,11.0,7.0
109,9080,1.0,4.5,5.5,7.5,5.5
109,9080,5.0,4.5,5.5,11.0,5.0
109,9114,,4.0,7.0,10.0,8.0
11,1,,1.5,2.5,4.5,2.5
11,9069,,2.0,2.5,5.0,3.0
11,9081,,2.0,2.5,4.5,2.5
110,1,,1.5,3.0,7.5,3.0
110,9069,,2.0,3.5,10.5,3.5
110,9069,3.0,3.5,4.0,8.5,3.5
110,9069,4.0,3.5,4.0,9.5,4.0
110,9069,5.0,3.5,4.0,11.5,4.0
110,9073,,2.0,8.0,11.5,5.5
110,9080,,2.0,7.5,10.0,7.0
110,9082,,2.0,4.0,10.5,4.0
110,9082,3.0,3.5,4.5,10.0,4.5
110,9082,5.0,3.5,4.5,12.0,3.5
111,9080,,3.0,12.5,6.0,4.0
112,9081,,2.0,3.0,4.0,3.0
113,1,,1.5,4.0,7.0,4.0
114,1,,1.5,3.0,4.5,3.0
114,7,,2.0,3.5,5.0,3.5
114,9069,,2.0,4.5,6.5,4.0
114,9083,,2.0,4.0,5.5,3.5
115,9080,,2.5,5.0,6.5,13.0
116,9080,,2.0,7.5,8.5,7.0
117,1,,1.5,3.0,4.5,3.0
118,1,,1.5,3.5,4.5,3.5
118,9069,,2.0,4.0,5.5,4.0
120,1,,1.5,2.0,2.0,2.0
120,9081,,2.0,3.0,5.0,3.0
121,1,,1.5,3.5,7.5,3.5
121,9069,,2.0,4.5,11.0,4.5
122,1,,1.5,3.0,10.0,3.0
122,9069,,2.0,3.5,10.5,3.5
122,9080,,2.0,7.5,8.0,6.5
122,9082,,2.0,4.0,7.5,3.5
122,9087,,2.0,3.5,10.5,3.5
122,9095,,2.0,4.0,10.5,3.5
123,1,,1.5,2.5,5.5,2.5
123,9069,,2.0,2.5,7.5,3.0
123,9082,,2.0,3.0,7.0,3.5
124,1,,1.5,3.0,5.0,3.0
126,1,,1.5,2.5,7.0,2.5
126,9080,,2.0,7.5,12.0,7.5
127,1,,1.5,3.0,5.5,3.0
127,9069,,2.0,3.0,6.0,3.0
127,9081,,2.0,3.0,5.5,3.0
128,9069,,2.0,3.5,7.0,3.5
129,1,,1.5,3.0,4.5,3.0
129,9069,,2.0,3.5,5.0,3.0
129,9081,,2.0,3.5,5.5,3.0
13,9069,,2.0,3.5,9.0,3.0
13,9080,,2.0,8.0,11.0,8.5
13,9081,,2.0,3.5,7.5,3.0
130,1,,1.5,3.0,4.5,3.0
131,1,,1.5,3.5,5.5,3.5
132,1,,2.0,3.0,6.0,3.0
132,9080,,2.0,7.0,8.5,8.0
133,9069,,2.0,3.0,6.5,3.0
133,9083,,2.0,2.5,5.5,3.0
134,1,,1.5,4.0,6.0,4.0
134,9069,,2.0,4.5,5.5,4.5
134,9073,,2.0,7.0,9.0,7.0
134,9080,,2.0,7.0,10.0,7.5
134,9081,,2.0,4.5,5.5,4.5
135,1,,2.0,3.5,7.5,3.5
135,9080,,3.5,7.5,9.0,7.5
136,9069,,2.0,3.0,11.0,3.0
136,9078,,2.0,3.5,10.0,3.5
137,1,,1.5,3.0,5.0,3.0
137,9080,,2.0,5.5,7.0,6.5
138,1,,1.5,3.0,4.5,3.0
139,9080,,2.0,9.0,9.5,8.5
14,9080,,2.0,8.0,6.0,6.5
140,1,,1.5,3.5,5.5,3.5
140,9069,,2.0,4.0,8.0,4.0
140,9083,,2.0,3.5,6.0,4.0
140,9096,,2.5,4.0,6.5,4.5
142,1,,1.5,3.5,4.0,3.5
142,9069,,2.0,3.0,5.0,3.0
142,9081,,2.0,3.5,4.5,3.5
143,1,,1.5,2.0,5.5,3.5
143,9080,,2.5,6.0,7.5,10.0
147,1,,1.5,2.0,2.0,2.0
149,1,,1.5,3.5,5.5,3.5
149,9069,,2.0,4.5,11.0,4.0
149,9083,,2.0,4.0,6.0,4.0
150,1,,1.5,3.0,9.5,3.0
151,1,,1.5,3.0,5.5,3.0
151,9080,,2.0,6.5,7.0,7.5
152,1,,1.5,2.0,5.5,4.0
153,1,,1.5,3.0,10.5,3.0
153,9069,,2.0,3.5,10.0,3.5
153,9069,3.0,3.5,4.0,8.0,4.0
153,9069,5.0,3.5,3.5,11.5,3.5
153,9073,,2.0,7.0,11.5,6.5
154,1,,1.5,3.0,5.5,3.0
156,9080,,2.0,7.0,7.5,7.0
156,9101,,2.0,3.0,5.5,3.0
157,1,,2.0,3.5,5.5,3.5
157,9080,,2.0,8.0,8.5,7.0
158,1,,1.5,3.0,4.5,3.0
159,217,,2.0,5.0,11.5,4.0
160,1,,1.5,4.5,6.0,2.5
160,9069,,2.0,5.5,9.0,2.5
160,9080,,2.0,9.0,11.0,8.0
160,9081,,2.0,5.5,5.5,2.5
161,1,,1.5,3.5,5.0,3.5
161,9080,,2.0,6.5,6.5,7.0
162,1,,1.5,3.0,4.0,3.0
163,1,,1.5,3.0,6.0,3.0
163,9080,,2.0,7.0,7.5,7.0
164,1,,1.5,3.0,5.0,3.0
164,9069,,2.0,3.5,10.5,3.5
164,9082,,2.0,3.5,5.5,3.0
