arms_cluster_id,object_signature_cluster_id,mult_top,mult_right,mult_bottom,mult_left
1,1,1.5,4.0,11.5,4.0
1,9069,2.0,4.0,11.5,4.0
4,1,1.5,3.5,9.5,3.5
5,1,1.5,3.5,11.5,3.5
8,1,1.5,4.5,5.5,4.5
8,9080,2.0,9.0,7.0,6.0
10,1,1.5,6.5,12.5,4.0
11,1,1.5,3.5,7.5,3.5
14,1,2.0,5.0,5.0,3.5
14,9073,2.0,7.5,9.0,7.5
15,9080,2.0,7.5,8.0,7.0
17,1,2.5,7.5,3.5,1.5
18,1,4.0,4.0,11.5,4.0
21,1,2.5,2.5,4.0,9.0
24,9080,2.0,7.0,7.5,7.5
25,1,1.5,3.0,11.0,3.0
28,1,1.5,3.0,11.5,3.0
29,1,1.5,4.5,11.5,3.0
30,1,4.0,4.0,11.0,4.0
31,1,2.0,3.5,11.5,3.5
32,9080,2.0,6.5,7.5,8.0
37,1,3.0,2.5,6.0,8.5
37,9080,3.0,6.0,7.5,11.5
38,1,1.5,2.0,6.5,7.0
38,9080,2.0,4.5,7.5,10.5
38,9083,2.0,2.0,9.5,8.0
39,1,1.5,3.5,11.5,3.5
40,1,2.5,4.5,11.0,4.5
42,1,1.5,3.5,9.0,3.5
42,9073,2.0,8.0,8.5,8.0
43,1,1.5,3.5,11.5,3.5
44,1,1.5,6.0,10.5,4.0
44,217,2.0,8.0,12.0,7.0
45,1,1.5,3.0,5.5,10.0
45,9080,2.5,4.5,6.0,12.0
46,1,2.0,7.0,7.5,2.0
46,9080,3.0,10.5,8.0,5.5
47,1,1.5,3.0,11.0,3.0
47,217,2.0,4.0,12.0,4.0
48,9080,2.0,7.0,7.5,7.0
49,1,3.5,3.5,6.0,10.0
49,9080,4.5,5.5,7.0,12.0
50,1,2.0,3.5,12.0,3.5
51,9080,2.0,7.0,7.0,7.0
52,1,1.5,4.0,7.5,4.0
54,1,1.5,5.0,8.5,5.0
57,1,1.5,4.5,8.0,4.5
58,1,4.0,11.0,6.0,3.5
59,1,1.5,3.0,10.5,3.0
60,1,1.5,4.0,6.5,4.0
60,9080,2.0,7.0,7.0,7.5
61,1,3.0,8.5,6.0,2.5
61,9080,3.0,11.0,7.5,6.5
62,1,1.5,4.5,10.5,4.5
62,217,2.0,5.0,11.5,5.0
62,9080,2.0,7.5,11.5,7.5
63,1,1.5,3.5,12.0,3.5
64,1,3.5,3.5,9.5,3.5
64,9080,3.5,7.5,7.0,7.5
65,1,3.5,5.5,10.5,5.5
67,1,1.5,7.5,7.5,4.0
68,1,2.0,4.0,11.0,4.0
69,1,3.0,5.0,10.5,6.5
70,9069,2.0,3.5,11.0,4.0
71,1,1.5,3.5,6.0,3.5
71,9080,2.0,7.0,7.0,7.0
72,1,2.5,3.0,5.0,8.5
73,1,1.5,6.5,3.5,6.5
73,9080,2.0,7.5,4.0,7.5
75,9080,2.0,7.0,7.5,7.5
77,1,3.0,4.0,6.5,8.5
80,1,1.5,3.0,11.5,3.0
82,1,1.5,3.5,11.5,3.5
83,1,1.5,3.5,7.0,3.5
84,1,4.0,3.0,11.0,3.0
84,9080,3.5,7.5,12.5,7.0
85,1,1.5,6.0,6.5,2.5
86,1,2.5,3.5,5.5,3.5
88,1,1.5,3.0,6.5,7.0
89,1,1.5,5.0,11.0,3.5
91,1,2.0,4.0,10.5,6.5
91,217,2.0,7.0,12.5,6.0
91,281,2.0,5.5,11.0,7.0
91,447,2.0,5.5,11.0,5.5
92,1,1.5,3.5,11.5,3.5
94,1,2.0,4.5,7.0,4.5
95,1,1.5,3.0,11.5,3.0
95,217,2.0,7.5,13.0,6.5
97,1,1.5,2.5,5.5,2.5
100,1,1.5,3.0,6.5,7.5
101,397,2.0,6.0,10.5,3.5
104,1,4.0,4.5,11.5,4.5
