arms_cluster_id,object_cluster_0,object_cluster_1,object_cluster_2,object_cluster_3,object_cluster_4,object_cluster_5,object_cluster_6,object_cluster_7,object_cluster_8,object_cluster_9,object_cluster_10,object_cluster_11,object_cluster_12,object_cluster_13,object_cluster_14,object_cluster_15,object_cluster_16,object_cluster_17,object_cluster_18,object_cluster_19,object_cluster_20,object_cluster_21,object_cluster_22,object_cluster_23,object_cluster_24,object_cluster_25,object_cluster_26,object_cluster_27,object_cluster_28,object_cluster_29,object_cluster_30,object_cluster_31,object_cluster_32,object_cluster_33,object_cluster_34,object_cluster_35,object_cluster_36,object_cluster_37,object_cluster_38,object_cluster_39,object_cluster_40,object_cluster_41,object_cluster_42,object_cluster_43,object_cluster_44,object_cluster_45,object_cluster_46,object_cluster_47,object_cluster_48,object_cluster_49,object_cluster_50,object_cluster_51,object_cluster_52,object_cluster_53,object_cluster_54,object_cluster_55,object_cluster_56,object_cluster_57,object_cluster_58,object_cluster_59,object_cluster_60,object_cluster_61,object_cluster_62,object_cluster_63,object_cluster_64,object_cluster_65,object_cluster_66,object_cluster_67,object_cluster_68,object_cluster_69,object_cluster_70,object_cluster_71,object_cluster_72,object_cluster_73,object_cluster_74,object_cluster_75,object_cluster_76,object_cluster_77,object_cluster_78,object_cluster_79,object_cluster_80,object_cluster_81,object_cluster_82,object_cluster_83,object_cluster_84,object_cluster_85,object_cluster_86,object_cluster_87,object_cluster_88,object_cluster_89,object_cluster_90,object_cluster_91,object_cluster_92,object_cluster_93,object_cluster_94,object_cluster_95,object_cluster_96,object_cluster_97,object_cluster_98,object_cluster_99,object_cluster_100,object_cluster_101,object_cluster_102,object_cluster_103,object_cluster_104,object_cluster_105,object_cluster_106,object_cluster_107,object_cluster_108,object_cluster_109,object_cluster_110,object_cluster_111,object_cluster_112,object_cluster_113,object_cluster_114,object_cluster_115,object_cluster_116,object_cluster_117,object_cluster_118,object_cluster_119,object_cluster_120,object_cluster_121,object_cluster_122,object_cluster_123,object_cluster_124,object_cluster_125,object_cluster_126,object_cluster_127,object_cluster_128,object_cluster_129,object_cluster_130,object_cluster_131,object_cluster_132,object_cluster_133,object_cluster_134,object_cluster_135,object_cluster_136,object_cluster_137,total
0,0,109132,53283,23593,5020,2096,3794,6431,20583,26545,1767,1625,1393,71180,6074,4129,14711,8619,932,726,773,194,188,393,53315,24245,81671,118993,17242,43430,5327,3672,158718,19352,42913,12354,30042,83081,41266,146763,15147,97149,5488,6632,12567,31403,10006,23284,4091,11698,3711,3506,3044,2621,9131,10781,124367,78782,124855,66512,53377,1881,16481,95032,4121,19135,5619,230187,4065,5057,346,6553,6889,162401,31849,36299,11464,11477,11808,26573,25993,18302,7226,22787,15761,0,190386,7868,3108,12041,16040,0,54840,51744,2921,13936,968,9138,806,593,3079,10539,1096,4981,1851,4128,194,1257,17353,33454,20920,1735,916,2353,2221,1804,1128,179,1661,246,0,0,0,16502,10118,0,0,5463,0,0,0,0,5643,64528,0,12,0,102857,3401630
1,0,720,3615,368,837,156,196,419,796,8598,61,146,84,4628,562,161,588,327,72,53,32,18,5,21,2846,2434,10095,26245,832,1219,76,130,4514,4233,801,204,544,803,461,2125,709,7868,342,369,581,1270,501,1023,234,415,147,142,192,202,1032,893,7895,2529,5021,1652,4729,96,819,10574,272,893,427,32592,116,139,10,223,325,13825,6072,1442,865,551,278,2266,3784,1570,1780,1169,2174,0,455,202,148,782,899,0,2337,2011,512,1123,262,575,42,16,525,683,31,331,74,280,36,38,520,402,926,77,29,171,353,140,9,4,34,12,0,0,0,697,233,0,0,153,0,0,0,0,169,1992,0,0,0,1892,219208
2,0,213,710,88,361,30,45,164,126,2083,27,64,22,552,234,93,189,20,15,18,4,2,5,14,2094,1042,3555,18253,354,1713,123,281,3472,1341,3396,161,116,491,577,20796,4726,22462,3930,10634,17714,34182,2383,6489,3877,7127,2359,2937,2907,4355,8218,17527,9830,673,10398,379,25114,95,1308,9330,186,564,266,13526,4138,10531,519,5742,4440,5266,3286,5355,1538,392,408,1129,3121,1108,516,267,974,0,877,83,742,292,396,0,425,2145,186,545,409,235,6,7,217,201,9,124,28,51,17,25,303,141,775,73,17,25,26,12,16,3,58,10,0,0,0,318,155,0,0,131,0,0,0,0,115,575,0,0,0,592,345435
3,0,112,612,61,133,19,50,86,66,2142,14,64,13,576,116,35,95,116,7,10,2,16,0,8,831,1015,1628,7769,152,1947,167,61,49882,2219,1944,2084,265,581,1803,1987,602,3207,57,64,116,1249,157,341,55,101,24,43,57,221,179,254,3353,2239,1533,334,1701,37,756,4878,395,1064,367,6882,36,28,2,39,134,5069,1134,371,283,89,185,561,1208,525,812,176,710,0,1130,710,25,201,242,0,840,835,186,486,130,32,2,1,24,46,1,14,1,15,0,3,362,341,368,119,44,84,37,98,5,1,11,1,0,0,0,426,89,0,0,69,0,0,0,0,176,632,0,0,0,532,128635
4,0,857,2063,391,431,117,144,544,321,874,64,171,83,816,261,55,219,75,45,74,29,6,1,16,1744,972,3377,22318,1575,1711,189,88,2508,1402,910,124,225,753,368,3123,678,8250,342,552,599,1525,381,841,174,419,117,143,138,157,448,914,13558,1794,8945,860,4539,83,4452,19757,2280,1387,2703,15603,231,278,6,249,703,15383,4247,1704,1522,314,455,1484,2696,1022,818,841,451,0,616,577,230,549,559,0,1323,6544,968,1641,160,188,11,3,62,152,17,80,17,51,3,27,987,854,1166,124,63,36,60,86,21,7,139,1,0,0,0,2914,1141,0,0,738,0,0,0,0,2288,10058,0,1,0,4920,212469
5,0,327,1208,303,313,54,103,352,141,1489,37,88,40,695,114,53,252,163,11,8,11,5,4,6,1986,676,4983,8535,746,151,707,109,1056,738,2036,434,196,162,282,620,90,848,38,220,59,170,85,99,37,31,6,15,31,29,71,63,1576,488,714,236,593,34,402,1709,206,241,221,10233,39,37,5,69,85,1367,724,213,433,109,128,992,535,205,299,141,68,0,168,168,1,27,20,0,260,234,44,131,40,118,2,0,30,129,4,59,20,25,3,10,11060,15707,300,7,3,19,12,105,1,0,0,1,0,0,0,35,28,0,0,15,0,0,0,0,41,187,0,0,0,177,82379
6,0,30230,115171,13293,5573,9353,7164,13087,18767,30482,1815,2174,1531,34492,3938,457,6281,2049,619,600,631,140,102,185,102244,22008,181408,52302,54290,4288,841,769,13723,10726,3488,1138,16480,5281,1713,14464,3229,48433,1228,957,2314,5836,2787,2140,1489,1537,336,439,1360,1478,2412,1757,35583,3428,24249,3721,15428,385,2917,23799,394,1973,417,194286,147,268,7,292,733,31267,16054,3329,1671,1972,470,2199,3151,1100,3627,13855,1400,0,664,1300,168,296,195,0,11488,6875,237,4570,264,1331,33,27,939,2303,40,707,236,232,37,87,2130,2818,7510,43,9,163,302,241,4,0,16,0,0,0,0,893,992,0,0,209,0,0,0,0,150,3861,0,1,0,21115,1321637
7,0,285,919,122,272,62,92,160,158,4886,20,211,35,912,234,165,205,103,22,27,14,8,2,15,1084,1682,6283,16952,715,1097,67,75,4358,3642,559,150,216,539,346,1766,704,3996,285,252,502,1022,419,772,199,479,97,147,136,162,665,864,4058,1073,2493,1263,2256,63,858,7365,350,1024,428,21197,118,94,9,201,188,8859,2369,1103,727,511,791,1500,1641,2384,1237,1371,1536,0,1411,30,46,907,1032,0,2132,1557,592,844,660,889,46,10,736,290,120,398,21,111,7,36,687,265,1059,182,25,178,190,61,34,8,67,24,0,0,0,459,183,0,0,165,0,0,0,0,134,1084,0,1,0,1218,144127
8,0,107,627,105,58,31,29,149,49,377,7,299,10,366,70,111,77,67,9,3,4,1,0,7,493,589,2225,5733,291,400,12,33,1518,454,167,51,54,508,63,367,123,590,36,63,75,195,77,106,37,115,14,31,18,22,286,257,778,156,360,240,471,11,107,1537,35,141,39,5039,18,10,2,17,47,3840,527,183,178,92,284,407,8237,189,190,141,412,0,48,59,8,132,134,0,174,123,24,249,54,137,2,3,43,52,2,31,6,17,1,3,462,208,416,11,3,52,14,28,4,1,48,0,0,0,0,56,12,0,0,17,0,0,0,0,12,77,0,0,0,108,44085
9,0,732,6046,701,3260,186,189,567,889,11033,110,241,77,5968,2993,901,1993,648,107,58,85,42,44,103,2793,16691,29598,37477,2243,2622,225,114,6940,5833,2078,741,720,1776,1501,8126,4129,10800,879,763,1264,2116,2492,3148,650,2391,626,445,444,505,3816,2404,17448,5552,12593,8362,5194,488,1379,7155,468,2116,635,74522,158,204,14,888,368,11194,6700,4710,7388,2732,3073,13628,2554,3583,1368,2873,6489,0,438,378,54,319,304,0,2199,1563,300,1892,262,13383,1266,383,3858,10280,2556,7502,679,2910,146,1166,2579,795,2037,949,97,2500,472,2655,132,71,721,56,0,0,0,423,175,0,0,245,0,0,0,0,175,865,0,1,0,2565,466510
