old_cluster_id,image_count,new_cluster_id
134649,2752,0
134650,3628091,1
134651,5289,2
134652,646,3
134653,253,4
134654,191590,5
134655,168177,6
134656,2806,7
134657,849,8
134658,254,9
134659,12527,10
134660,2445,11
134661,273885,12
134662,1490,13
134663,2869,14
134664,2896,15
134665,21993,16
134666,220090,17
134667,14845,18
134668,5317,19
134669,3630,20
134670,8838,21
134671,30492,22
134672,1429,23
134673,7502,24
134674,666,25
134675,4118,26
134676,10209,27
134677,31133,28
134678,7739,29
134679,23661,30
134680,7669,31
134681,1080,32
134682,15614,33
134683,7269,34
134684,10106,35
134685,284,36
134686,932,37
134687,2955,38
134688,11302,39
134689,835,40
134690,873,41
134691,201,42
134692,4184,43
134693,286,44
134694,3711,45
134695,679,46
134696,2707,47
134697,5741,48
134698,355,49
134699,8477,50
134700,3126,51
134701,34041,52
134702,25914,53
134703,479,54
134704,1271,55
134705,1837,56
134706,577,57
134707,426,58
134708,6329,59
134709,2155,60
134710,2240,61
134711,6744,62
134712,1579,63
134713,4513,64
134714,568,65
134715,235,66
134716,3309,67
134717,23148,68
134718,9169,69
134719,27452,70
134720,99894,71
134721,566,72
134722,1372,73
134723,14934,74
134724,7599,75
134725,1550,76
134726,3981,77
134727,2713,78
134728,525,79
134729,414,80
134730,15154,81
134731,9178,82
134732,18068,83
134733,5533,84
134734,328,85
134735,4677,86
134736,114723,87
134737,236,88
134738,292,89
134739,1741,90
134740,484,91
134741,3698,92
134742,6326,93
134743,5889,94
134744,283,95
134745,3151,96
134746,1139,97
134747,241,98
134748,326,99
134749,724,100
134750,17412,101
134751,206,102
134752,2313,103
134753,6837,104
134754,16141,105
134755,2241,106
134756,2062,107
134757,17548,108
134758,735,109
134759,895,110
134760,240,111
134761,219,112
134762,4427,113
134763,14677,114
134764,246,115
134765,217,116
134766,2583,117
134767,2017,118
134768,11945,119
134769,1038,120
134770,1234,121
134771,13589,122
134772,2352,123
134773,2084,124
134774,39196,125
134775,18979,126
134776,513,127
134777,416,128
134778,6918,129
134779,35137,130
134780,4672,131
134781,10310,132
134782,336,133
134783,3808,134
134784,3177,135
134785,3139,136
134786,11795,137
134787,384,138
134788,645,139
134789,9847,140
134790,309,141
134791,1918,142
134792,504,143
134793,237,144
134794,823,145
134795,1590,146
134796,2188,147
134797,1149,148
134798,2632,149
134799,363,150
134800,404,151
134801,4061,152
134802,3614,153
134803,4567,154
134804,398,155
134805,11466,156
134806,1365,157
134807,816,158
134808,7142,159
134809,1616,160
134810,5468,161
134811,313,162
134812,1465,163
134813,1854,164
134814,1416,165
134815,1154,166
134816,1813,167
134817,487,168
134818,468,169
134819,1412,170
134820,1717,171
134821,243,172
134822,2046,173
134823,811,174
134824,500,175
134825,6430,176
134826,3493,177
134827,1640,178
134828,1917,179
134829,209,180
134830,6160,181
134831,5544,182
134832,1344,183
134833,4220,184
134834,522,185
134835,2176,186
134836,397,187
134837,1095,188
134838,970,189
134839,299,190
134840,375,191
134841,211,192
134842,696,193
134843,6821,194
134844,6414,195
134845,11146,196
134846,4996,197
134847,13314,198
134848,7312,199
134849,502,200
134850,3041,201
134851,1398,202
134852,1997,203
134853,7371,204
134854,4279,205
134855,2153,206
134856,695,207
134857,768,208
134858,483,209
134859,3096,210
134860,8620,211
134861,9367,212
134862,1370,213
134863,1297,214
134864,210,215
134865,3148,216
134866,1095,217
134867,235,218
134868,983,219
134869,249,220
134870,345,221
134871,4102,222
134872,7397,223
134873,346,224
134874,449,225
134875,550,226
134876,801,227
134877,2822,228
134878,395,229
134879,1615,230
134880,1285,231
134881,819,232
134882,1622,233
134883,1250,234
134884,1614,235
134885,725,236
134886,14907,237
134887,1364,238
134888,1611,239
134889,2347,240
134890,15320,241
134891,364,242
134892,6645,243
134893,2331,244
134894,1603,245
134895,246,246
134896,2199,247
134897,2234,248
134898,8971,249
134899,1768,250
134900,986,251
134901,912,252
134902,300,253
134903,212,254
134904,716,255
134905,1001,256
134906,481,257
134907,7949,258
134908,8651,259
134909,2130,260
134910,1436,261
134911,1396,262
134912,7166,263
134913,200,264
134914,388,265
134915,684,266
134916,2112,267
134917,760,268
134918,757,269
134919,1902,270
134920,585,271
134921,3079,272
134922,2176,273
134923,2469,274
134924,5644,275
134925,327,276
134926,4368,277
134927,9107,278
134928,2717,279
134929,856,280
134930,404,281
134931,607,282
134932,7681,283
134933,226,284
134934,433,285
134935,292,286
134936,1053,287
134937,8112,288
134938,578,289
134939,2254,290
134940,449,291
134941,4285,292
134942,1238,293
134943,418,294
134944,1436,295
134945,697,296
134946,3768,297
134947,474,298
134948,36834,299
134949,8409,300
134950,7981,301
134951,369,302
134952,5590,303
134953,12369,304
134954,5241,305
134955,2005,306
134956,3754,307
134957,2699,308
134958,462,309
134959,643,310
134960,487,311
134961,8700,312
134962,2053,313
134963,11776,314
134964,3330,315
134965,800,316
134966,1771,317
134967,548,318
134968,599,319
134969,502,320
134970,350,321
134971,815,322
134972,565,323
134973,915,324
134974,2116,325
134975,649,326
134976,1741,327
134977,791,328
134978,1695,329
134979,258,330
134980,3298,331
134981,217,332
134982,846,333
134983,5653,334
134984,235,335
134985,583,336
134986,445,337
134987,534,338
134988,583,339
134989,6544,340
134990,1832,341
134991,1802,342
134992,5169,343
134993,391,344
134994,1249,345
134995,814,346
134996,1620,347
134997,2830,348
134998,1844,349
134999,309,350
135000,1059,351
135001,1468,352
