ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,149.0,699.0,2813.0,4.0,3.0,13.0,35.0,19.0,17.0,5.0,5.0,60.0,23.0,7.0,43.0,28.0,137.0,14.0,13.0,106.0,35.0,3.0,6.0,576.0,4813.0
1,1380.0,6947.0,9890.0,39.0,42.0,25.0,187.0,262.0,55.0,34.0,23.0,186.0,258.0,94.0,592.0,247.0,547.0,46.0,49.0,771.0,371.0,63.0,17.0,3908.0,26034.0
2,70.0,811.0,1762.0,8.0,5.0,7.0,20.0,14.0,7.0,5.0,6.0,42.0,35.0,4.0,87.0,115.0,462.0,11.0,12.0,124.0,166.0,7.0,2.0,1139.0,4923.0
3,119.0,1213.0,3090.0,7.0,16.0,22.0,73.0,38.0,31.0,13.0,18.0,107.0,55.0,11.0,110.0,54.0,56.0,18.0,91.0,198.0,55.0,16.0,3.0,992.0,6409.0
4,351.0,3577.0,3863.0,8.0,5.0,3.0,28.0,40.0,13.0,8.0,4.0,19.0,79.0,32.0,156.0,48.0,144.0,3.0,10.0,213.0,75.0,7.0,6.0,901.0,9597.0
5,59.0,538.0,708.0,8.0,1.0,0.0,5.0,6.0,5.0,0.0,3.0,7.0,15.0,4.0,39.0,7.0,13.0,1.0,0.0,25.0,11.0,2.0,1.0,153.0,1616.0
6,143.0,1359.0,2810.0,14.0,9.0,10.0,37.0,34.0,17.0,7.0,4.0,53.0,33.0,7.0,73.0,29.0,70.0,14.0,16.0,161.0,62.0,10.0,1.0,661.0,5640.0
7,214.0,1329.0,3166.0,24.0,15.0,9.0,42.0,28.0,24.0,7.0,6.0,46.0,32.0,8.0,65.0,52.0,87.0,18.0,19.0,160.0,60.0,12.0,8.0,722.0,6160.0
8,65.0,1010.0,697.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,1.0,30.0,12.0,72.0,4.0,35.0,3.0,1.0,33.0,9.0,1.0,0.0,212.0,2204.0
9,229.0,1549.0,2519.0,13.0,8.0,5.0,34.0,43.0,23.0,12.0,8.0,44.0,54.0,14.0,115.0,52.0,95.0,5.0,7.0,152.0,48.0,3.0,2.0,737.0,5780.0
10,48.0,642.0,913.0,5.0,2.0,2.0,14.0,7.0,4.0,3.0,1.0,13.0,18.0,4.0,29.0,11.0,31.0,1.0,3.0,52.0,17.0,3.0,1.0,221.0,2055.0
11,163.0,1460.0,1817.0,12.0,4.0,3.0,15.0,18.0,24.0,10.0,2.0,16.0,30.0,14.0,80.0,72.0,90.0,4.0,7.0,93.0,56.0,3.0,4.0,557.0,4565.0
