ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,105.0,515.0,1456.0,12.0,18.0,11.0,78.0,25.0,15.0,12.0,6.0,87.0,27.0,13.0,84.0,23.0,51.0,21.0,17.0,88.0,35.0,27.0,2.0,652.0,3380.0
1,1238.0,5144.0,6935.0,83.0,54.0,54.0,304.0,250.0,141.0,58.0,42.0,365.0,386.0,112.0,910.0,212.0,385.0,77.0,81.0,682.0,259.0,92.0,33.0,4580.0,22478.0
2,73.0,654.0,995.0,6.0,8.0,10.0,35.0,18.0,5.0,6.0,3.0,51.0,35.0,6.0,126.0,43.0,134.0,8.0,15.0,97.0,54.0,10.0,2.0,672.0,3068.0
3,99.0,978.0,2184.0,13.0,39.0,31.0,143.0,84.0,60.0,13.0,21.0,232.0,77.0,16.0,131.0,32.0,49.0,38.0,56.0,222.0,65.0,39.0,4.0,1365.0,5994.0
4,225.0,2018.0,1698.0,10.0,12.0,2.0,30.0,18.0,12.0,5.0,8.0,18.0,80.0,29.0,198.0,30.0,74.0,2.0,11.0,108.0,34.0,6.0,3.0,690.0,5325.0
5,69.0,513.0,387.0,7.0,6.0,2.0,14.0,12.0,6.0,5.0,1.0,10.0,34.0,11.0,67.0,5.0,21.0,1.0,4.0,37.0,8.0,3.0,2.0,256.0,1486.0
6,107.0,999.0,1651.0,15.0,22.0,12.0,87.0,41.0,29.0,13.0,10.0,150.0,50.0,18.0,123.0,23.0,53.0,35.0,29.0,147.0,53.0,16.0,4.0,930.0,4623.0
7,205.0,1052.0,2232.0,24.0,43.0,26.0,104.0,58.0,40.0,25.0,24.0,156.0,54.0,14.0,121.0,82.0,84.0,51.0,41.0,192.0,55.0,22.0,13.0,1229.0,5954.0
8,50.0,751.0,378.0,1.0,1.0,2.0,4.0,4.0,6.0,3.0,2.0,4.0,27.0,12.0,98.0,3.0,16.0,1.0,1.0,21.0,5.0,0.0,0.0,211.0,1609.0
9,143.0,1048.0,1238.0,14.0,12.0,6.0,30.0,34.0,17.0,9.0,10.0,40.0,63.0,17.0,165.0,21.0,47.0,7.0,9.0,111.0,34.0,12.0,5.0,663.0,3764.0
10,67.0,620.0,705.0,9.0,5.0,4.0,30.0,7.0,7.0,5.0,6.0,31.0,40.0,15.0,73.0,17.0,27.0,2.0,7.0,61.0,24.0,5.0,2.0,377.0,2156.0
11,151.0,1166.0,1097.0,14.0,10.0,4.0,20.0,20.0,17.0,11.0,8.0,29.0,59.0,21.0,128.0,36.0,62.0,1.0,8.0,79.0,17.0,2.0,5.0,551.0,3527.0
12,162.0,1235.0,1055.0,16.0,6.0,6.0,19.0,17.0,9.0,9.0,4.0,21.0,47.0,28.0,165.0,18.0,37.0,1.0,6.0,66.0,27.0,3.0,1.0,506.0,3476.0
13,42.0,500.0,751.0,4.0,2.0,0.0,7.0,14.0,7.0,7.0,2.0,18.0,37.0,12.0,82.0,20.0,14.0,6.0,8.0,54.0,22.0,3.0,2.0,321.0,1948.0
14,48.0,531.0,361.0,6.0,0.0,0.0,4.0,2.0,3.0,2.0,1.0,2.0,28.0,10.0,81.0,3.0,13.0,0.0,1.0,19.0,5.0,2.0,0.0,182.0,1318.0
15,167.0,1569.0,1248.0,25.0,8.0,9.0,39.0,24.0,18.0,11.0,8.0,28.0,93.0,34.0,184.0,23.0,59.0,7.0,11.0,69.0,30.0,2.0,2.0,684.0,4367.0
16,52.0,756.0,459.0,6.0,1.0,1.0,9.0,10.0,0.0,0.0,1.0,19.0,26.0,13.0,70.0,15.0,21.0,1.0,3.0,44.0,6.0,1.0,0.0,247.0,1777.0
17,78.0,1235.0,970.0,10.0,6.0,5.0,15.0,11.0,9.0,1.0,3.0,8.0,68.0,22.0,219.0,12.0,27.0,2.0,2.0,78.0,25.0,4.0,5.0,532.0,3364.0
18,113.0,659.0,4835.0,12.0,169.0,80.0,694.0,273.0,234.0,38.0,41.0,976.0,50.0,14.0,117.0,80.0,41.0,244.0,163.0,614.0,218.0,146.0,15.0,4219.0,14063.0
19,121.0,1397.0,1006.0,13.0,3.0,1.0,10.0,13.0,5.0,6.0,3.0,13.0,76.0,25.0,180.0,17.0,49.0,0.0,2.0,73.0,22.0,2.0,2.0,515.0,3573.0
20,144.0,559.0,1095.0,7.0,15.0,12.0,41.0,15.0,15.0,7.0,10.0,61.0,33.0,10.0,82.0,38.0,93.0,17.0,14.0,93.0,35.0,9.0,6.0,613.0,3044.0
21,390.0,2485.0,3784.0,32.0,41.0,38.0,127.0,111.0,46.0,33.0,18.0,231.0,140.0,48.0,355.0,79.0,149.0,38.0,47.0,295.0,96.0,31.0,10.0,1965.0,10610.0
22,199.0,1209.0,2228.0,26.0,6.0,12.0,48.0,39.0,18.0,5.0,4.0,53.0,52.0,20.0,139.0,45.0,106.0,15.0,14.0,122.0,51.0,9.0,5.0,789.0,5236.0
23,129.0,1080.0,909.0,20.0,10.0,4.0,28.0,14.0,11.0,9.0,5.0,22.0,42.0,21.0,114.0,9.0,47.0,3.0,6.0,47.0,16.0,1.0,3.0,432.0,3005.0
