ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,0.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,36.0
1,4.0,19.0,64.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,20.0,128.0
2,7.0,46.0,63.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,36.0,190.0
3,7.0,62.0,81.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,33.0,219.0
4,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0
5,3.0,25.0,48.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,35.0,151.0
6,0.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,56.0
7,0.0,31.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,83.0
8,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
9,2.0,49.0,70.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,7.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,1.0,36.0,202.0
10,1.0,22.0,49.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,26.0,134.0
11,4.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0
12,1.0,29.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,81.0
13,1.0,52.0,50.0,0.0,0.0,4.0,10.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,7.0,1.0,2.0,7.0,1.0,5.0,2.0,0.0,0.0,46.0,208.0
14,2.0,19.0,16.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.0,81.0
15,2.0,25.0,51.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,115.0
16,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,49.0
17,2.0,9.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,81.0
18,4.0,58.0,64.0,2.0,1.0,1.0,4.0,0.0,2.0,5.0,1.0,3.0,4.0,0.0,9.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,38.0,220.0
19,0.0,21.0,38.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,104.0
20,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,49.0
21,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,50.0
22,2.0,14.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0
23,3.0,66.0,127.0,1.0,3.0,2.0,11.0,2.0,4.0,6.0,2.0,10.0,3.0,0.0,10.0,10.0,1.0,8.0,1.0,18.0,1.0,5.0,0.0,98.0,415.0
24,2.0,31.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,94.0
25,0.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,28.0,123.0
26,5.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,102.0
