ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
168,137,2196,2201,15,81,59,288,83,65,54,143,343,81,36,197,70,85,159,79,348,105,101,25,2417,9536
128,53,1636,1922,18,88,61,296,67,63,109,175,324,65,17,169,79,50,116,76,366,75,112,15,2341,8421
59,90,1873,2189,7,63,31,333,65,57,65,159,291,68,13,214,98,58,98,66,422,86,114,14,2322,8855
167,80,1909,2029,14,53,38,306,72,36,57,129,311,87,29,221,103,62,112,62,388,78,112,20,2290,8765
143,64,2400,2389,13,68,34,165,61,58,90,121,244,85,17,220,79,90,83,51,294,111,45,13,1942,8880
242,140,1938,1745,16,53,33,276,42,42,46,118,219,69,17,153,76,67,70,59,323,64,64,14,1821,7707
218,52,1561,1989,9,73,40,195,50,76,80,135,217,59,12,149,69,43,61,64,281,69,67,14,1763,7346
77,61,1859,2145,6,66,20,186,47,50,62,74,179,63,26,166,75,72,93,76,280,82,55,7,1685,7512
76,61,2086,1708,6,42,24,164,51,40,49,85,269,96,30,169,37,63,99,51,206,92,49,5,1627,7185
226,58,1178,1348,12,42,29,172,45,35,66,125,204,44,12,91,57,51,97,44,252,48,43,13,1482,5774
186,58,1127,1552,6,44,29,182,25,42,67,100,196,46,11,86,73,50,57,50,227,44,55,13,1403,5729
150,47,1214,1885,9,37,14,112,32,64,48,73,121,64,12,133,71,55,63,45,190,103,50,2,1298,5892
28,25,637,1222,10,51,35,206,32,30,71,117,134,32,5,58,57,17,46,56,224,44,52,11,1288,4488
166,78,1103,1168,8,80,22,114,16,62,88,105,93,39,10,89,73,58,59,55,203,35,39,12,1260,5035
11,99,1330,1752,9,51,15,118,36,71,41,42,92,65,17,145,70,50,38,42,191,85,24,10,1212,5616
251,118,1796,1538,6,43,20,111,25,29,37,51,113,51,23,156,57,56,68,18,214,42,25,13,1158,6019
84,86,2001,1945,6,21,13,88,45,36,38,34,98,53,21,219,42,57,42,32,180,48,27,5,1105,6326
0,31,675,659,4,81,19,102,16,47,105,104,90,34,4,67,48,27,65,44,180,13,45,6,1101,3567
64,68,1017,1008,13,55,17,122,22,43,52,71,122,41,14,60,62,43,42,64,167,22,36,13,1081,4319
234,81,2080,1642,6,15,3,99,21,29,42,49,89,60,29,204,52,70,21,30,163,62,18,9,1071,6179
14,57,1000,1429,7,21,9,106,25,43,36,25,206,44,14,108,35,45,57,29,164,66,18,2,1060,4620
160,63,938,982,13,32,19,128,22,26,43,88,103,36,7,86,56,55,48,31,153,31,45,9,1031,4205
203,66,1617,1516,11,15,6,70,43,30,43,42,104,60,14,146,45,59,37,19,174,67,22,8,1015,5432
208,31,684,806,4,34,16,128,17,10,66,73,122,30,12,83,59,29,38,24,155,34,25,7,966,3661
219,53,1438,1106,5,18,19,100,27,16,23,40,133,31,21,157,19,46,17,32,168,27,25,5,929,4674
200,58,1194,1282,7,37,10,108,38,22,32,37,83,40,4,139,25,43,37,31,126,65,20,4,908,4550
45,51,859,1319,3,26,10,108,24,21,41,47,109,40,5,95,47,27,21,28,159,45,28,5,889,4052
104,37,989,1369,6,26,7,67,36,34,27,40,89,52,8,101,34,31,33,25,173,68,26,3,886,4271
237,44,957,855,9,21,29,122,16,20,71,64,59,40,17,121,35,31,12,20,144,21,20,11,883,3859
81,70,1110,1406,13,41,17,77,15,36,36,31,100,35,9,101,56,44,35,24,136,39,21,8,874,4415
50,115,1933,1429,9,14,10,53,23,11,35,28,70,57,21,195,48,77,23,26,121,35,11,0,867,5261
10,65,1553,1368,5,16,5,73,25,27,21,29,87,47,15,142,24,51,32,27,156,45,21,8,856,4708
149,66,1544,1388,3,15,10,57,23,26,18,32,64,46,13,149,32,62,32,18,167,51,21,7,846,4839
253,29,667,882,10,37,12,99,6,16,74,84,73,46,10,57,32,28,16,20,165,16,28,4,833,3497
184,30,817,676,7,21,16,87,9,19,40,65,60,42,5,111,33,43,8,19,138,24,35,5,787,3281
88,33,504,483,13,49,12,96,18,11,58,84,46,36,4,54,44,22,17,28,154,5,24,11,786,2680
221,106,1925,1202,8,15,5,69,12,20,16,34,71,39,22,137,30,59,15,21,130,35,12,5,755,4964
243,66,1883,976,5,16,4,56,10,25,22,37,40,50,20,172,20,57,18,22,120,33,13,6,746,4660
18,126,1635,1090,8,15,9,51,10,13,19,25,52,38,19,154,56,62,15,13,127,32,15,9,742,4353
223,33,684,1280,4,26,7,60,15,23,18,26,96,27,6,81,41,28,32,13,140,46,14,11,714,3648
181,43,1379,1012,2,7,2,57,14,14,14,44,63,36,8,120,38,46,23,22,126,35,18,2,691,3997
124,36,607,1095,2,25,11,66,16,21,27,40,92,28,12,60,30,44,32,18,119,35,10,2,690,3242
85,52,1019,780,5,16,10,92,14,16,32,44,56,36,15,69,29,47,19,25,124,17,16,5,687,3310
66,59,1356,618,5,26,10,55,8,16,62,31,35,38,23,103,32,43,12,26,120,16,15,7,683,3465
179,86,1533,880,4,14,15,45,12,14,22,35,55,38,17,130,25,78,25,19,84,28,12,4,676,4030
71,45,1000,757,12,26,5,62,10,18,46,47,37,30,12,69,28,59,18,30,104,21,31,9,674,3221
195,94,1316,1077,10,16,12,40,16,26,28,30,43,50,17,129,33,45,22,10,99,29,7,5,667,4016
185,46,720,733,2,19,14,52,9,15,31,48,64,32,9,74,34,22,27,38,126,18,18,5,657,2998
217,160,1559,1005,7,7,12,40,22,20,37,25,28,50,16,140,21,53,24,13,99,24,12,3,653,4247
127,88,1413,1056,5,12,7,37,9,20,21,25,28,60,17,125,31,60,9,6,129,24,12,9,646,3976
130,32,590,497,5,9,17,82,12,11,58,60,33,39,10,55,38,49,5,7,105,15,17,9,636,2521
132,32,906,1092,4,15,15,66,11,12,25,33,73,22,14,106,34,36,18,10,91,19,14,6,624,3410
114,109,1651,997,6,15,3,30,18,24,17,22,38,46,21,124,25,64,12,8,94,26,15,10,618,4107
202,44,1039,708,7,18,8,50,13,52,26,21,48,40,12,69,19,39,15,15,104,18,12,3,589,3171
142,92,1331,973,1,8,9,39,9,12,17,36,29,28,14,108,37,54,15,18,108,28,6,4,580,3698
103,60,961,935,2,6,10,44,13,17,24,20,45,24,14,99,23,32,33,12,92,35,6,4,555,3169
198,52,1174,994,4,10,6,41,18,26,10,16,50,24,14,127,12,36,13,8,106,24,4,2,551,3520
16,100,999,716,6,10,11,41,15,19,24,17,38,56,10,89,20,51,16,8,70,13,13,6,533,2897
153,104,1092,803,6,9,4,32,18,19,14,16,50,41,14,96,29,50,11,6,83,22,5,8,533,3218
220,39,912,823,1,4,5,27,13,15,12,24,43,31,11,91,16,41,20,20,104,35,5,1,519,3032
78,94,974,691,7,12,7,43,11,20,17,18,30,42,15,97,28,53,16,12,62,15,5,6,516,2869
154,53,902,589,3,15,6,40,3,12,23,34,26,28,9,92,25,33,10,21,85,22,7,8,502,2702
246,67,1556,731,3,3,5,14,3,9,4,26,12,35,9,150,26,63,8,6,93,18,11,2,500,3600
98,33,870,791,3,4,5,45,6,5,6,33,40,28,7,101,13,26,12,9,115,30,9,1,498,2788
252,78,1681,778,8,0,4,19,8,7,6,14,15,40,22,143,19,72,5,6,88,17,3,2,498,3785
30,89,1775,762,3,3,1,24,5,12,6,16,19,40,11,152,13,75,9,5,78,16,4,5,497,3650
93,70,1274,788,5,7,7,20,6,8,12,33,23,31,20,127,19,35,7,18,82,23,5,3,491,3207
178,30,581,595,3,15,6,49,7,8,40,34,33,33,5,80,25,21,5,10,82,19,7,7,489,2362
37,82,1109,742,3,12,15,43,12,15,20,19,31,24,23,62,21,53,11,11,72,23,12,4,486,2942
229,41,1097,751,2,7,3,38,12,8,8,20,36,40,5,109,17,26,20,20,72,31,10,2,486,3090
54,62,1589,902,2,9,2,20,9,12,13,9,14,35,8,155,17,47,9,8,92,20,1,2,484,3575
232,33,795,883,2,13,1,42,8,15,11,20,36,29,12,82,15,26,10,16,87,35,12,4,476,2895
32,96,1136,560,7,14,9,47,13,10,9,25,49,40,15,76,19,33,12,15,57,11,9,2,472,2768
157,38,817,844,5,7,6,45,14,7,9,12,27,23,6,81,16,38,38,11,89,30,3,3,470,2796
247,95,996,870,2,19,3,60,5,17,15,18,36,23,10,73,15,40,14,8,80,17,9,3,467,3142
109,23,517,584,5,15,5,47,13,25,14,18,61,15,4,49,26,17,23,11,90,17,4,2,461,2155
249,38,1121,794,4,8,1,25,15,9,6,5,22,24,13,138,12,41,7,3,77,12,6,1,429,3060
96,93,1311,747,6,8,8,23,4,15,18,5,19,38,19,111,21,39,13,8,49,7,9,1,421,3089
20,22,367,395,3,16,7,53,4,8,34,26,26,21,7,51,14,27,6,13,76,13,13,0,418,1640
2,94,1131,445,4,17,7,44,12,10,12,8,27,39,13,80,13,33,7,12,45,16,5,1,405,2482
148,84,1269,480,3,13,9,29,4,16,20,10,14,18,7,95,15,49,19,12,45,13,2,8,401,2783
131,28,760,636,2,6,0,27,11,15,6,9,44,26,6,76,11,23,14,16,82,15,9,2,400,2355
73,113,1451,607,7,10,0,23,3,8,7,13,21,34,21,109,16,42,4,6,59,10,3,1,397,3038
122,59,1503,896,1,5,1,10,3,9,6,10,19,28,13,128,8,37,5,1,86,20,3,3,396,3372
58,42,1124,502,1,22,2,36,14,6,10,11,21,29,11,87,6,25,8,14,66,11,7,0,387,2500
141,32,564,450,1,2,9,35,8,12,24,19,20,29,3,86,13,17,12,4,63,15,10,5,387,1961
201,8,339,387,2,6,3,41,13,10,19,28,38,23,8,35,16,14,11,13,69,12,20,2,383,1701
233,77,1259,504,1,4,1,19,4,2,15,22,13,24,17,96,7,55,3,13,58,10,0,3,367,2807
239,88,1626,679,2,4,5,12,2,4,2,3,13,27,8,126,13,53,4,6,57,13,0,5,359,3350
52,43,669,508,1,9,6,34,7,12,10,20,28,13,7,59,23,21,15,15,51,17,5,4,357,1986
173,97,1148,571,4,3,4,26,5,7,9,10,17,25,13,83,25,41,4,9,57,6,4,5,357,2703
197,100,1236,736,7,2,4,22,7,9,8,15,11,23,19,86,12,40,12,7,55,13,0,4,356,2981
101,92,1351,466,2,5,2,14,8,8,1,12,13,41,23,100,7,43,6,3,49,6,4,4,351,2712
244,72,921,653,4,4,8,16,7,16,6,7,22,22,11,76,10,46,10,6,55,12,4,3,345,2580
3,33,594,458,4,5,5,25,2,9,21,16,16,7,4,70,26,24,10,5,71,15,7,1,343,1774
79,23,414,515,3,2,6,27,11,10,18,13,43,12,5,59,11,17,11,13,43,21,10,2,337,1705
15,37,1009,545,3,1,2,14,2,4,3,6,12,21,9,127,22,19,4,6,63,12,2,1,333,2272
40,14,362,308,7,3,4,35,8,4,20,18,19,15,10,52,19,15,5,7,55,10,10,5,321,1366
