ihp_cluster,ihg_0,ihg_1,ihg_2,ihg_3,ihg_4,ihg_5,ihg_6,ihg_7,ihg_8,ihg_9,ihg_10,ihg_11,ihg_12,ihg_13,ihg_14,ihg_15,ihg_16,ihg_17,ihg_18,ihg_19,ihg_20,ihg_21,ihg_22,ihg_23,ihg_24,ihg_25,ihg_26,ihg_27,ihg_28,ihg_29,ihg_30,ihg_31,ihg_32,ihg_33,ihg_34,ihg_35,ihg_36,ihg_37,ihg_38,ihg_39,ihg_40,ihg_41,ihg_42,ihg_43,ihg_44,ihg_45,ihg_46,ihg_47,ihg_48,ihg_49,ihg_50,ihg_51,ihg_52,ihg_53,ihg_54,ihg_55,ihg_56,ihg_57,ihg_58,ihg_59,ihg_60,ihg_61,ihg_62,ihg_63,ihg_64,ihg_65,ihg_66,ihg_67,ihg_68,ihg_69,ihg_70,ihg_71,ihg_72,ihg_73,ihg_74,ihg_75,ihg_76,ihg_77,ihg_78,ihg_79,ihg_80,ihg_81,ihg_82,ihg_83,ihg_84,ihg_85,ihg_86,ihg_87,ihg_88,ihg_89,ihg_90,ihg_91,ihg_92,ihg_93,ihg_94,ihg_95,ihg_96,ihg_97,ihg_98,ihg_99,ihg_100,ihg_101,ihg_102,ihg_103,ihg_104,ihg_105,ihg_106,ihg_107,ihg_108,ihg_109,ihg_110,ihg_111,ihg_112,ihg_113,ihg_114,ihg_115,ihg_116,ihg_117,ihg_118,ihg_119,ihg_120,ihg_121,ihg_122,ihg_123,ihg_124,ihg_125,ihg_126,ihg_127
0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,27.0,0.0,0.0,2.0,39.0,0.0,0.0,26.0,18.0,2.0,0.0,2.0,50.0,2.0,13.0,53.0,1.0,3.0,0.0,12.0,1.0,133.0,6.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,7.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,50.0,138.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,30.0,4.0,24.0,0.0,18.0,17.0,1.0,11.0,0.0,0.0,9.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,116.0,3.0,4.0,0.0,4.0,0.0,5.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,3.0,6.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,11.0
1,4.0,67.0,1.0,5.0,634.0,27.0,4.0,191.0,218.0,0.0,0.0,174.0,0.0,27.0,3.0,35.0,1.0,0.0,4.0,2.0,0.0,12.0,1.0,98.0,1.0,0.0,63.0,0.0,14.0,220.0,3.0,16.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,101.0,32.0,80.0,4.0,2.0,5.0,3.0,4.0,3.0,10.0,0.0,23.0,11.0,2.0,248.0,12.0,1156.0,219.0,157.0,51.0,0.0,0.0,0.0,0.0,585.0,15.0,0.0,2.0,1.0,6.0,69.0,6.0,4.0,5.0,27.0,0.0,27.0,1.0,0.0,7.0,5.0,2.0,2.0,3.0,4.0,6.0,1.0,47.0,14.0,40.0,260.0,0.0,21.0,0.0,25.0,0.0,7.0,59.0,2.0,139.0,0.0,1.0,4.0,26.0,0.0,41.0,1.0,2.0,0.0,12.0,7.0,34.0,57.0,264.0,24.0,1.0,1.0,3.0,2.0,347.0,300.0,0.0,0.0,144.0,92.0,47.0,54.0,2.0
2,0.0,13.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,40.0,116.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,3.0,93.0,0.0,4.0,14.0,0.0,17.0,13.0,0.0,0.0,21.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,11.0,1.0,1.0,203.0,9.0,125.0,39.0,0.0,12.0,33.0,6.0,0.0,2.0,7.0,1.0,6.0,21.0,0.0,1.0,10.0,3.0,0.0,5.0,2.0,1.0,2.0,38.0,0.0,6.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,2.0,1.0,6.0,549.0,2.0,84.0,0.0,0.0,71.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,3.0,2.0,144.0,0.0,6.0,17.0,1.0,0.0,0.0,97.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,15.0,0.0,2.0,27.0,1.0,2.0
3,2.0,1.0,0.0,1.0,19.0,4.0,8.0,43.0,19.0,35.0,45.0,6.0,3.0,0.0,5.0,5.0,127.0,0.0,3.0,11.0,4.0,42.0,3.0,23.0,6.0,0.0,139.0,10.0,50.0,18.0,1.0,70.0,8.0,7.0,51.0,5.0,1.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,7.0,44.0,8.0,38.0,0.0,0.0,31.0,0.0,1.0,1.0,2.0,23.0,14.0,2.0,7.0,132.0,3.0,5.0,3.0,2.0,6.0,16.0,1.0,25.0,0.0,26.0,1.0,0.0,1.0,3.0,19.0,8.0,0.0,228.0,3.0,122.0,31.0,4.0,7.0,0.0,0.0,15.0,16.0,6.0,90.0,3.0,14.0,0.0,14.0,23.0,527.0,2.0,0.0,2.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,71.0,0.0,10.0,10.0,130.0,0.0,0.0,2.0,5.0,22.0,2.0,4.0,4.0,53.0,0.0,54.0,4.0,2.0
4,0.0,71.0,4.0,35.0,0.0,0.0,1.0,1.0,0.0,32.0,6.0,2.0,9.0,0.0,0.0,3.0,0.0,69.0,0.0,23.0,6.0,1.0,0.0,23.0,1.0,17.0,105.0,8.0,2.0,0.0,0.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,2.0,0.0,0.0,1.0,3.0,14.0,68.0,175.0,13.0,22.0,90.0,1.0,35.0,0.0,68.0,6.0,0.0,8.0,17.0,0.0,2.0,1.0,73.0,0.0,0.0,7.0,0.0,1.0,5.0,34.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,24.0,36.0,161.0,14.0,3.0,17.0,0.0,6.0,5.0,0.0,0.0,4.0,0.0,0.0,19.0,22.0,0.0,130.0,2.0,1.0,0.0,1099.0,4.0,0.0,9.0
5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,63.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,7.0,3.0,165.0,0.0,14.0,27.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,428.0,4.0,25.0,2.0,1.0,0.0,0.0,26.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1991.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,616.0,0.0,0.0,30.0,0.0,0.0,0.0
6,37.0,0.0,0.0,0.0,7.0,39.0,72.0,6.0,2.0,29.0,23.0,0.0,1.0,0.0,147.0,1.0,4.0,3.0,24.0,0.0,0.0,6.0,307.0,1.0,0.0,7.0,10.0,0.0,38.0,1.0,5.0,4.0,57.0,0.0,99.0,29.0,16.0,125.0,111.0,0.0,2.0,1.0,1.0,68.0,1.0,13.0,43.0,1.0,5.0,0.0,47.0,0.0,1.0,69.0,0.0,30.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,14.0,13.0,1.0,26.0,5.0,3.0,5.0,183.0,140.0,87.0,1.0,4.0,16.0,40.0,4.0,5.0,93.0,2.0,29.0,90.0,1.0,41.0,7.0,11.0,16.0,1.0,19.0,25.0,0.0,3.0,3.0,102.0,1.0,72.0,0.0,1.0,3.0,11.0,2.0,0.0,1.0,1.0,5.0,2.0,29.0,19.0,32.0,2.0,2.0,8.0,305.0,59.0,1.0,0.0,11.0,0.0,0.0,252.0,1.0,0.0,7.0,2.0,2.0
7,0.0,393.0,4.0,46.0,5.0,4.0,30.0,8.0,1.0,2.0,14.0,41.0,5.0,11.0,2.0,44.0,0.0,19.0,0.0,1.0,4.0,0.0,0.0,101.0,1.0,0.0,7.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,422.0,48.0,0.0,54.0,1.0,43.0,0.0,3.0,167.0,0.0,540.0,22.0,0.0,721.0,1.0,95.0,860.0,0.0,31.0,0.0,0.0,0.0,0.0,210.0,1.0,0.0,2.0,0.0,5.0,4.0,6.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,1.0,3.0,19.0,21.0,0.0,0.0,8.0,0.0,11.0,0.0,19.0,103.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,7.0,1.0,4.0,33.0,43.0,0.0,271.0,11.0,51.0,2.0,0.0,5.0,21.0,3.0,169.0,3.0,0.0,0.0,4.0,1.0,27.0,334.0,1.0,9.0,1.0,49.0,15.0,8.0,1.0
8,0.0,149.0,10.0,17.0,154.0,9.0,6.0,28.0,10.0,10.0,22.0,97.0,19.0,32.0,0.0,7.0,1.0,10.0,0.0,3.0,1.0,4.0,0.0,172.0,1.0,3.0,31.0,1.0,8.0,6.0,2.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,28.0,186.0,13.0,0.0,6.0,2.0,7.0,10.0,4.0,91.0,12.0,103.0,26.0,0.0,216.0,8.0,237.0,415.0,5.0,100.0,3.0,2.0,0.0,0.0,621.0,6.0,0.0,9.0,0.0,8.0,45.0,6.0,0.0,4.0,0.0,1.0,29.0,0.0,0.0,1.0,12.0,3.0,17.0,0.0,0.0,8.0,0.0,8.0,2.0,82.0,379.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,10.0,24.0,1.0,494.0,10.0,12.0,4.0,1.0,31.0,83.0,16.0,48.0,22.0,0.0,1.0,7.0,9.0,37.0,863.0,0.0,7.0,3.0,170.0,34.0,8.0,1.0
9,15.0,11.0,27.0,19.0,6.0,42.0,32.0,9.0,14.0,0.0,0.0,3.0,10.0,20.0,18.0,30.0,2.0,18.0,9.0,1.0,2.0,1.0,46.0,0.0,2.0,3.0,0.0,2.0,5.0,16.0,331.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,1.0,33.0,3.0,4.0,4.0,0.0,1.0,1.0,1.0,12.0,0.0,1.0,14.0,45.0,4.0,0.0,8.0,8.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,158.0,0.0,13.0,9.0,44.0,11.0,11.0,5.0,11.0,4.0,4.0,3.0,4.0,52.0,12.0,39.0,146.0,4.0,0.0,51.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,52.0,36.0,21.0,3.0,6.0,48.0,0.0,18.0,0.0,0.0,11.0,0.0,7.0,63.0,2.0,3.0,14.0,7.0,0.0,41.0,6.0,6.0,18.0,0.0,2.0,0.0,19.0,5.0,1.0,0.0,28.0,3.0
