ihp_cluster,COUNT(so.image_id)
0,0
1,1344
2,140
3,70
4,1437
5,704
6,539
7,2194
8,869
9,45
10,847
11,898
12,76
13,242
14,241
15,205
16,31
17,371
18,334
19,613
20,737
21,205
22,51
23,79
24,18
25,454
26,4
27,242
28,2176
29,526
30,157
31,652
32,16
33,179
34,2
35,531
36,376
37,986
38,495
39,166
40,2472
41,144
42,87
43,65
44,1083
45,340
46,1368
47,68
48,123
49,265
50,557
51,430
52,36
53,335
54,27
55,1277
56,8
57,517
58,116
59,984
60,218
61,15
62,60
63,1882
64,9
65,1364
66,222
67,1069
68,87
69,211
70,13
71,1068
72,71
73,735
74,78
75,145
76,261
77,115
78,405
79,83
80,407
81,61
82,346
83,61
84,198
85,309
86,196
87,93
88,10
89,987
90,103
91,124
92,141
93,79
94,1306
95,63
96,11
97,291
98,47
99,24
100,865
101,1708
102,535
103,43
104,147
105,120
106,218
107,252
108,320
109,186
110,107
111,55
112,117
113,1121
114,123
115,287
116,156
117,311
118,48
119,23
120,7
121,94
122,933
123,89
124,1045
125,77
126,14
127,33
128,335
129,99
130,763
131,17
132,189
133,8
134,117
135,70
136,57
137,560
138,33
139,79
140,2280
141,44
142,397
143,47
144,361
145,425
146,60
147,177
148,150
149,67
150,359
151,56
152,85
153,96
154,19
155,293
156,457
157,6
158,477
159,396
160,94
161,42
162,582
163,86
164,146
165,0
166,349
167,448
168,3424
169,211
170,1287
171,504
172,703
173,361
174,1443
175,137
176,12
177,19
178,536
179,358
180,1316
181,677
182,61
183,488
184,2344
185,22
186,1110
187,590
188,152
189,2
190,387
191,450
192,419
193,168
194,50
195,11
196,303
197,8
198,275
199,393
200,22
201,531
202,365
203,50
204,67
205,248
206,718
207,23
208,953
209,267
210,564
211,149
212,94
213,17
214,161
215,908
216,3828
217,110
218,260
219,341
220,717
221,1023
222,68
223,31
224,138
225,307
226,9
227,149
228,442
229,5940
230,39
231,346
232,900
233,436
234,116
235,78
236,373
237,157
238,354
239,14
240,2870
241,348
242,64
243,91
244,155
245,220
246,41
247,337
248,612
249,31
250,301
251,904
252,1030
253,139
254,42
255,39
256,89
257,742
258,656
259,269
260,253
261,437
262,85
263,161
264,271
265,721
266,55
267,184
268,180
269,472
270,940
271,209
272,440
273,2132
274,69
275,279
276,85
277,492
278,892
279,339
280,115
281,445
282,6
283,251
284,20
285,25
286,71
287,80
288,434
289,10
290,30
291,7
292,125
293,835
294,4
295,707
296,294
297,91
298,13
299,1816
300,429
301,89
302,2076
303,219
304,1013
305,284
306,1516
307,45
308,166
309,115
310,577
311,68
312,154
313,33
314,718
315,82
316,1524
317,257
318,773
319,738
320,206
321,34
322,921
323,176
324,240
325,21
326,3
327,243
328,38
329,439
330,287
331,1931
332,466
333,13
334,45
335,18
336,57
337,243
338,6
339,137
340,2243
341,972
342,1024
343,95
344,79
345,293
346,1
347,376
348,4
349,293
350,779
351,221
352,1291
353,119
354,64
355,60
356,463
357,723
358,31
359,124
360,151
361,114
362,21
363,148
364,1078
365,369
366,64
367,70
368,39
369,290
370,54
371,200
372,156
373,403
374,129
375,95
376,100
377,1096
378,71
379,89
380,727
381,1453
382,105
383,470
384,1
385,7
386,119
387,392
388,61
389,486
390,639
391,1239
392,36
393,185
394,10
395,1100
396,995
397,57
398,986
399,98
400,5
401,219
402,651
403,0
404,374
405,218
406,183
407,599
408,19
409,7
410,602
411,11
412,214
413,3
414,56
415,64
416,205
417,29
418,11
419,29
420,226
421,3
422,215
423,473
424,205
425,948
426,1367
427,23
428,156
429,210
430,1008
431,14
432,57
433,34
434,94
435,213
436,408
437,50
438,34
439,282
440,13
441,69
442,19
443,556
444,229
445,697
446,1271
447,679
448,1686
449,2450
450,139
451,88
452,142
453,82
454,242
455,9
456,575
457,1416
458,9
459,167
460,195
461,61
462,411
463,21
464,974
465,263
466,566
467,457
468,3
469,177
470,847
471,283
472,340
473,776
474,28
475,14
476,593
477,255
478,20
479,491
480,44
481,1058
482,575
483,493
484,617
485,537
486,168
487,830
488,210
489,40
490,1603
491,234
492,19
493,55
494,228
495,67
496,24
497,54
498,58
499,70
500,379
501,219
502,98
503,15
504,94
505,1715
506,167
507,357
508,91
509,1739
510,27
511,70
1026,598
