ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,0.0,50.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,20.0,132.0
1,4.0,118.0,172.0,0.0,8.0,1.0,14.0,5.0,2.0,2.0,5.0,27.0,6.0,0.0,8.0,3.0,2.0,2.0,2.0,18.0,2.0,3.0,1.0,111.0,517.0
2,84.0,1222.0,420.0,3.0,3.0,0.0,10.0,3.0,7.0,0.0,2.0,3.0,22.0,22.0,71.0,3.0,29.0,4.0,1.0,34.0,4.0,1.0,4.0,226.0,2180.0
3,8.0,213.0,121.0,1.0,0.0,0.0,1.0,6.0,0.0,3.0,1.0,8.0,4.0,0.0,12.0,3.0,1.0,0.0,2.0,9.0,3.0,0.0,0.0,54.0,453.0
4,0.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,65.0
5,46.0,1205.0,1558.0,3.0,12.0,8.0,39.0,28.0,22.0,11.0,28.0,73.0,54.0,9.0,147.0,17.0,67.0,17.0,17.0,146.0,50.0,6.0,7.0,761.0,4336.0
6,11.0,156.0,149.0,2.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,3.0,10.0,0.0,13.0,0.0,2.0,11.0,5.0,2.0,0.0,71.0,464.0
7,14.0,245.0,130.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,6.0,1.0,21.0,0.0,4.0,0.0,0.0,6.0,5.0,1.0,0.0,49.0,494.0
8,29.0,354.0,168.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,10.0,8.0,21.0,0.0,13.0,1.0,0.0,7.0,1.0,0.0,0.0,72.0,703.0
9,0.0,19.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,71.0
10,0.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,108.0
11,11.0,244.0,133.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,9.0,0.0,25.0,2.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,61.0,521.0
