ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
0,54.0,77.0,14.0,16.0,92.0,10.0,61.0,27.0,10.0,8.0,32.0,4.0,23.0,30.0,2.0,0.0,0.0
1,29.0,67.0,8.0,1.0,56.0,9.0,15.0,21.0,7.0,4.0,24.0,1.0,29.0,18.0,1.0,0.0,0.0
2,34.0,58.0,4.0,3.0,67.0,7.0,18.0,18.0,16.0,14.0,22.0,3.0,33.0,20.0,2.0,0.0,0.0
3,22.0,89.0,0.0,2.0,91.0,7.0,21.0,34.0,14.0,4.0,13.0,1.0,20.0,35.0,0.0,0.0,0.0
4,10.0,19.0,4.0,4.0,18.0,6.0,24.0,8.0,2.0,3.0,5.0,0.0,5.0,6.0,2.0,0.0,0.0
5,14.0,1.0,10.0,11.0,8.0,1.0,18.0,2.0,2.0,8.0,6.0,2.0,5.0,2.0,3.0,0.0,0.0
6,31.0,64.0,2.0,0.0,50.0,8.0,11.0,14.0,8.0,10.0,20.0,2.0,21.0,12.0,3.0,0.0,0.0
7,11.0,25.0,2.0,3.0,23.0,3.0,24.0,3.0,2.0,6.0,4.0,1.0,12.0,10.0,0.0,0.0,0.0
8,43.0,106.0,4.0,4.0,110.0,9.0,19.0,22.0,12.0,12.0,30.0,3.0,34.0,25.0,2.0,0.0,0.0
9,12.0,43.0,3.0,1.0,27.0,4.0,16.0,20.0,3.0,3.0,10.0,0.0,9.0,19.0,1.0,0.0,0.0
10,5.0,6.0,1.0,1.0,12.0,3.0,7.0,3.0,1.0,4.0,3.0,0.0,4.0,12.0,0.0,0.0,0.0
11,3.0,3.0,1.0,1.0,4.0,1.0,16.0,0.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
12,15.0,15.0,5.0,5.0,11.0,7.0,28.0,6.0,2.0,5.0,10.0,1.0,11.0,9.0,4.0,0.0,0.0
13,10.0,28.0,1.0,0.0,28.0,8.0,2.0,14.0,6.0,6.0,7.0,0.0,17.0,17.0,2.0,0.0,0.0
