ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_23,hsv_24,hsv_25,hsv_26,hsv_27,hsv_28,hsv_29,hsv_30,hsv_31,hsv_32,hsv_33,hsv_34,hsv_35,hsv_36,hsv_37,hsv_38,hsv_39,hsv_40,hsv_41,hsv_42,hsv_43,hsv_44,hsv_45,hsv_46,hsv_47,hsv_48,hsv_49,hsv_50,hsv_51,hsv_52,hsv_53,hsv_54,hsv_55,hsv_56,hsv_57,hsv_58,hsv_59,hsv_60,hsv_61,hsv_62,hsv_63,hsv_64,hsv_65,hsv_66,hsv_67,hsv_68,hsv_69,hsv_70,hsv_71,hsv_72,hsv_73,hsv_74,hsv_75,hsv_76,hsv_77,hsv_78,hsv_79,hsv_80,hsv_81,hsv_82,hsv_83,hsv_84,hsv_85,hsv_86,hsv_87,hsv_88,hsv_89,hsv_90,hsv_91,hsv_92,hsv_93,hsv_94,hsv_95,hsv_96
0,2.0,2.0,13.0,2.0,0.0,0.0,5.0,0.0,9.0,0.0,4.0,2.0,6.0,6.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,19.0,8.0,8.0,2.0,4.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,13.0,2.0,6.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,4.0,0.0,3.0,11.0,8.0,6.0,5.0,1.0,1.0,5.0,14.0,3.0,1.0,0.0,14.0,6.0,0.0,13.0,8.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,4.0,5.0,4.0,2.0,18.0,0.0,12.0,0.0,4.0,1.0,4.0,1.0,3.0,0.0
1,60.0,56.0,85.0,170.0,30.0,43.0,47.0,18.0,106.0,22.0,209.0,18.0,37.0,78.0,28.0,35.0,23.0,22.0,31.0,57.0,49.0,126.0,45.0,120.0,27.0,74.0,105.0,8.0,22.0,70.0,22.0,39.0,39.0,106.0,92.0,72.0,56.0,41.0,11.0,5.0,22.0,36.0,46.0,48.0,55.0,41.0,27.0,22.0,80.0,21.0,49.0,55.0,86.0,96.0,53.0,41.0,13.0,104.0,116.0,57.0,20.0,36.0,61.0,187.0,11.0,36.0,57.0,24.0,43.0,9.0,16.0,38.0,42.0,34.0,38.0,64.0,35.0,15.0,80.0,29.0,41.0,30.0,14.0,145.0,114.0,82.0,12.0,88.0,43.0,95.0,8.0,66.0,22.0,65.0,29.0,35.0,0.0
2,9.0,30.0,44.0,46.0,9.0,14.0,25.0,5.0,51.0,1.0,90.0,17.0,23.0,15.0,4.0,20.0,19.0,5.0,6.0,19.0,11.0,32.0,42.0,50.0,9.0,36.0,79.0,2.0,8.0,30.0,13.0,8.0,15.0,32.0,33.0,25.0,40.0,9.0,4.0,3.0,1.0,25.0,34.0,26.0,21.0,8.0,5.0,21.0,26.0,14.0,26.0,24.0,24.0,43.0,37.0,12.0,3.0,58.0,53.0,31.0,9.0,23.0,18.0,74.0,0.0,18.0,32.0,18.0,14.0,2.0,6.0,19.0,12.0,8.0,27.0,22.0,17.0,7.0,30.0,9.0,9.0,8.0,7.0,74.0,51.0,51.0,8.0,55.0,12.0,34.0,3.0,28.0,8.0,26.0,6.0,11.0,0.0
3,0.0,0.0,2.0,5.0,0.0,1.0,2.0,1.0,5.0,0.0,9.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,3.0,2.0,0.0,3.0,3.0,0.0,6.0,2.0,2.0,1.0,2.0,0.0,9.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,7.0,2.0,3.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0
4,3.0,5.0,3.0,11.0,2.0,0.0,6.0,1.0,5.0,1.0,15.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,7.0,3.0,8.0,2.0,8.0,15.0,1.0,0.0,7.0,4.0,1.0,2.0,6.0,9.0,5.0,5.0,5.0,1.0,0.0,0.0,8.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,6.0,3.0,8.0,3.0,1.0,0.0,16.0,9.0,4.0,2.0,6.0,1.0,16.0,0.0,3.0,7.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,5.0,5.0,2.0,1.0,2.0,6.0,4.0,1.0,6.0,13.0,9.0,8.0,0.0,8.0,2.0,8.0,1.0,10.0,0.0,4.0,2.0,4.0,0.0
5,13.0,45.0,44.0,136.0,18.0,35.0,27.0,12.0,78.0,36.0,247.0,87.0,18.0,22.0,10.0,58.0,109.0,34.0,52.0,23.0,26.0,73.0,45.0,79.0,10.0,79.0,231.0,5.0,24.0,45.0,68.0,13.0,63.0,66.0,52.0,33.0,65.0,50.0,23.0,3.0,8.0,57.0,60.0,214.0,34.0,17.0,11.0,46.0,49.0,71.0,59.0,53.0,42.0,60.0,39.0,14.0,6.0,92.0,90.0,32.0,108.0,168.0,20.0,124.0,9.0,28.0,36.0,44.0,37.0,2.0,19.0,31.0,31.0,5.0,30.0,57.0,38.0,3.0,49.0,24.0,46.0,18.0,104.0,140.0,79.0,55.0,11.0,84.0,31.0,46.0,22.0,72.0,5.0,48.0,15.0,19.0,0.0
6,1.0,2.0,5.0,4.0,0.0,0.0,7.0,1.0,3.0,0.0,2.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,12.0,5.0,15.0,4.0,8.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,15.0,2.0,8.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,6.0,12.0,7.0,6.0,1.0,1.0,5.0,8.0,4.0,0.0,2.0,1.0,7.0,0.0,4.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,3.0,8.0,5.0,1.0,8.0,1.0,5.0,0.0,5.0,2.0,4.0,2.0,3.0,0.0
7,4.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,5.0,8.0,3.0,1.0,1.0,2.0,0.0,12.0,5.0,12.0,1.0,14.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,5.0,5.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,10.0,8.0,2.0,1.0,13.0,12.0,4.0,1.0,1.0,0.0,8.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,8.0,1.0,7.0,0.0,2.0,0.0,4.0,2.0,5.0,0.0
8,60.0,71.0,116.0,80.0,25.0,5.0,69.0,7.0,151.0,2.0,79.0,18.0,64.0,86.0,39.0,9.0,34.0,15.0,9.0,65.0,61.0,195.0,48.0,144.0,20.0,103.0,57.0,7.0,8.0,84.0,15.0,35.0,18.0,79.0,184.0,54.0,98.0,31.0,11.0,3.0,17.0,26.0,46.0,35.0,57.0,39.0,26.0,13.0,58.0,10.0,70.0,90.0,107.0,131.0,66.0,33.0,14.0,137.0,200.0,57.0,8.0,23.0,78.0,139.0,12.0,53.0,97.0,21.0,49.0,7.0,8.0,35.0,15.0,10.0,42.0,30.0,20.0,13.0,31.0,34.0,10.0,20.0,11.0,78.0,136.0,149.0,14.0,177.0,29.0,152.0,9.0,62.0,15.0,76.0,40.0,42.0,0.0
9,2.0,3.0,4.0,24.0,3.0,5.0,2.0,1.0,7.0,3.0,21.0,8.0,7.0,6.0,0.0,4.0,17.0,1.0,7.0,3.0,1.0,12.0,1.0,9.0,0.0,4.0,12.0,0.0,4.0,3.0,5.0,1.0,10.0,13.0,4.0,10.0,3.0,12.0,0.0,1.0,0.0,5.0,3.0,7.0,4.0,4.0,0.0,1.0,7.0,4.0,8.0,6.0,6.0,6.0,2.0,2.0,0.0,13.0,7.0,4.0,11.0,10.0,2.0,28.0,2.0,2.0,4.0,2.0,2.0,1.0,5.0,2.0,3.0,0.0,3.0,0.0,6.0,0.0,5.0,4.0,1.0,4.0,2.0,11.0,4.0,3.0,1.0,6.0,1.0,1.0,1.0,15.0,1.0,10.0,2.0,2.0,0.0
