class_id,hand,left_eye,right_eye,top_face,mouth,shoulder,waist,feet,class_name
0,2,2,2,2,2,2,2,2,person
1,2,0,0,0,0,0,0,0,bicycle
2,2,0,0,0,0,0,0,0,car
3,2,0,0,0,0,0,0,0,motorcycle
4,2,0,0,0,0,0,0,0,airplane
5,2,0,0,0,0,0,0,0,bus
6,2,0,0,0,0,0,0,0,train
7,2,0,0,0,0,0,0,0,truck
8,2,0,0,0,0,0,0,0,boat
9,0,0,0,0,0,0,0,0,traffic light
10,0,0,0,0,0,0,0,0,fire hydrant
11,0,0,0,0,0,0,0,0,stop sign
12,0,0,0,0,0,0,0,0,parking meter
13,0,0,0,0,0,2,0,0,bench
14,2,0,0,0,0,0,0,0,bird
15,2,0,0,0,0,0,0,0,cat
16,2,0,0,0,0,0,0,0,dog
17,2,0,0,0,0,0,0,0,horse
18,2,0,0,0,0,0,0,0,sheep
19,2,0,0,0,0,0,0,0,cow
20,2,0,0,0,0,0,0,0,elephant
21,2,0,0,0,0,0,0,0,bear
22,2,0,0,0,0,0,0,0,zebra
23,2,0,0,0,0,0,0,0,giraffe
24,1,0,0,0,1,2,2,2,backpack
25,2,0,0,0,0,0,1,1,umbrella
26,1,0,0,0,1,2,1,2,handbag
27,1,0,0,0,1,2,0,0,tie
28,2,0,0,0,0,0,2,2,suitcase
29,2,0,0,0,0,0,0,0,frisbee
30,2,0,0,0,0,0,0,2,skis
31,2,0,0,0,0,0,0,2,snowboard
32,2,1,1,1,0,1,1,2,sports ball
33,2,0,0,2,0,0,0,2,kite
34,2,0,0,1,0,2,1,1,baseball bat
35,2,0,0,1,0,0,0,0,baseball glove
36,2,0,0,1,0,0,0,2,skateboard
37,2,0,0,0,0,0,0,2,surfboard
38,2,0,0,1,0,1,0,1,tennis racket
39,2,0,0,0,2,0,0,0,bottle
40,2,0,0,0,2,0,0,0,wine glass
41,2,0,0,0,2,0,1,0,cup
42,2,1,1,1,2,1,1,0,fork
43,2,1,1,1,2,1,1,0,knife
44,2,1,1,1,2,1,1,0,spoon
45,2,1,1,1,2,1,1,0,bowl
46,2,1,1,1,2,1,1,0,banana
47,2,1,1,1,2,1,1,0,apple
48,2,1,1,1,2,1,1,0,sandwich
49,2,1,1,1,2,1,1,0,orange
50,2,1,1,1,2,1,1,0,brocolli
51,2,1,1,1,2,1,1,0,carrot
52,2,1,1,1,2,1,1,0,hot dog
53,2,1,1,1,2,1,1,0,pizza
54,2,1,1,1,2,1,1,0,donut
55,2,1,1,1,2,1,1,0,cake
56,1,0,0,0,0,0,2,2,chair
57,1,0,0,0,0,0,2,2,couch
58,2,0,0,0,0,0,0,1,potted plant
59,2,0,0,0,0,0,2,2,bed
60,2,0,0,0,0,0,2,2,dining table
61,1,0,0,0,0,0,2,1,toilet
62,2,0,0,0,0,0,1,1,tv
63,2,0,0,0,1,1,1,1,laptop
64,2,1,1,1,1,0,0,0,mouse
65,2,1,1,1,2,0,0,0,remote
66,2,1,1,1,1,0,0,0,keyboard
67,2,0,0,1,1,1,2,1,cell phone
68,2,0,0,0,0,0,0,0,microwave
69,2,0,0,0,0,0,0,0,oven
70,2,0,0,0,0,0,0,0,toaster
71,2,0,0,0,0,0,0,0,sink
72,2,0,0,0,0,0,0,0,refrigerator
73,2,1,1,2,2,1,1,1,book
74,2,0,0,2,0,0,0,0,clock
75,2,0,0,2,0,0,0,0,vase
76,2,1,1,1,1,0,0,0,scissors
77,2,0,0,2,1,0,0,0,teddy bear
78,2,0,0,2,0,0,0,0,hair drier
79,2,0,0,1,2,0,0,0,toothbrush
80,2,0,0,1,1,1,2,1,Sign
81,2,0,0,1,1,1,1,1,Gift
82,2,1,1,1,1,1,1,0,money
83,2,0,0,1,1,2,1,1,Bag
84,2,0,0,1,0,1,2,0,valentine
85,2,0,0,1,2,1,1,0,Salad
86,2,0,0,1,1,2,1,1,Dumbbell
87,2,0,0,0,2,1,1,0,rose
88,1,0,0,0,1,0,2,0,Groceries
89,2,0,0,0,2,1,0,0,mask
90,1,0,0,0,1,2,1,0,Stethoscope
91,2,0,0,0,0,1,0,0,Gun
92,2,0,0,2,1,2,0,0,Headphones
93,2,0,0,0,0,2,0,0,Clipboard
94,2,0,0,1,0,1,1,0,Piggybank
95,2,0,0,0,0,1,1,0,Creditcard
96,2,2,2,0,0,1,1,0,Bitcoin
97,2,0,0,2,2,1,1,0,Rose
98,2,0,0,2,2,1,1,0,Lily
99,2,0,0,2,2,1,1,0,Iris
100,2,0,0,2,2,1,1,0,Tulip
101,2,0,0,2,2,1,1,0,Lisianthus
102,2,0,0,2,2,1,1,0,Orchid
103,2,0,0,2,2,1,1,0,Peony
104,2,0,0,2,2,1,1,0,Sunflower
105,2,0,0,2,2,1,1,0,Daisy
106,2,0,0,2,2,1,1,0,Daffodil
107,2,0,0,2,2,1,1,0,Hydrangea
108,2,0,0,0,0,1,1,1,Pistol
109,2,0,0,0,0,1,1,1,Rifle
110,2,0,0,0,2,1,1,0,Mask
111,0,2,2,2,2,0,0,0,Facial
112,0,2,2,2,2,0,0,0,Sheetmask
113,0,2,2,0,0,0,0,0,Eyepatch
114,0,1,1,2,0,0,0,0,Sleepmask
115,0,2,2,1,0,0,0,0,Masquerade_mask
116,2,2,2,1,2,0,0,0,Cucumber
117,2,2,2,1,2,0,0,0,Kiwi
118,2,2,2,1,2,0,0,0,Lemon_slice
119,2,2,2,1,2,0,0,0,Avocado_half
