cluster_id,class_id,object_hsv_bin,image_count,detection_count
0,67,0,1242,1279
0,67,1,6369,6737
0,67,2,2602,2713
0,67,7,603,624
0,67,8,169,173
0,67,9,46,48
0,67,10,28,28
0,67,11,51,53
0,67,12,1320,1363
0,67,13,445,452
0,67,14,2269,2378
0,67,15,111,113
0,67,16,120,121
0,67,19,74,75
0,67,20,21,21
1,67,0,52,53
1,67,1,367,406
1,67,2,108,111
1,67,7,14,14
1,67,8,7,8
1,67,9,1,1
1,67,10,1,1
1,67,12,42,44
1,67,13,23,23
1,67,14,159,164
1,67,15,8,8
1,67,16,6,6
1,67,19,2,2
2,67,0,5,5
2,67,1,20,23
2,67,2,9,9
2,67,7,3,3
2,67,12,4,4
2,67,14,11,12
3,67,0,1,1
3,67,1,6,6
3,67,2,2,2
3,67,8,1,1
3,67,12,1,1
3,67,14,4,4
3,67,15,1,1
4,67,0,370,375
4,67,1,1555,1621
4,67,2,572,590
4,67,7,118,118
4,67,8,54,54
4,67,9,17,17
4,67,10,15,15
4,67,11,12,12
4,67,12,268,271
4,67,13,97,97
4,67,14,762,799
4,67,15,44,44
4,67,16,31,32
4,67,19,25,26
4,67,20,4,4
5,67,1,11,11
5,67,2,2,2
5,67,7,1,1
5,67,8,1,1
5,67,12,1,1
5,67,13,1,1
5,67,14,4,5
5,67,15,1,1
6,67,0,50,50
6,67,1,298,318
6,67,2,104,112
6,67,7,15,15
6,67,8,2,2
6,67,9,1,1
6,67,12,30,32
6,67,13,19,19
6,67,14,100,102
6,67,15,3,3
6,67,16,4,4
6,67,19,4,4
6,67,20,1,1
7,67,0,2,2
7,67,1,17,19
7,67,2,19,21
7,67,7,4,4
7,67,8,1,1
7,67,11,1,1
7,67,12,1,1
7,67,14,15,19
7,67,15,3,3
7,67,20,1,1
8,67,0,120,129
8,67,1,483,515
8,67,2,145,153
8,67,7,17,17
8,67,8,9,9
8,67,9,6,6
8,67,10,2,2
8,67,11,1,1
8,67,12,63,67
8,67,13,26,26
8,67,14,233,249
8,67,15,11,12
8,67,16,9,9
8,67,19,14,14
8,67,20,2,2
9,67,0,13,13
9,67,1,47,49
9,67,2,25,26
9,67,7,3,3
9,67,8,1,1
9,67,10,2,2
9,67,12,13,14
9,67,13,6,6
9,67,14,23,23
9,67,15,2,2
9,67,16,3,3
9,67,19,3,3
10,67,0,5,5
10,67,1,20,20
10,67,2,10,10
10,67,7,4,4
10,67,12,4,5
10,67,13,3,3
10,67,14,1,1
11,67,0,1,1
11,67,1,7,8
11,67,2,1,1
11,67,7,2,2
11,67,12,3,3
11,67,14,1,1
11,67,15,1,1
12,67,0,6,6
12,67,1,18,18
12,67,2,10,10
12,67,7,4,4
12,67,8,1,1
12,67,12,5,5
12,67,13,3,3
12,67,14,14,14
12,67,19,3,3
13,67,0,9,9
13,67,1,54,57
13,67,2,28,29
13,67,7,6,6
13,67,8,3,3
13,67,9,2,2
13,67,11,1,1
13,67,12,15,16
13,67,13,3,3
13,67,14,18,18
13,67,15,4,4
13,67,16,2,2
13,67,19,2,2
14,67,0,10,10
14,67,1,62,72
14,67,2,15,15
14,67,7,2,2
14,67,8,2,2
14,67,10,1,1
14,67,12,9,9
14,67,13,8,9
14,67,14,12,13
15,67,0,2,2
15,67,1,1,1
15,67,2,2,2
15,67,8,1,1
15,67,13,1,1
15,67,14,2,2
16,67,0,16,18
16,67,1,80,90
16,67,2,33,35
16,67,7,7,7
16,67,8,1,1
16,67,9,1,1
16,67,11,2,2
16,67,12,16,16
16,67,13,5,5
16,67,14,22,22
16,67,15,5,5
16,67,16,4,5
16,67,19,1,1
17,67,0,48,49
17,67,1,247,260
17,67,2,104,110
17,67,7,27,29
17,67,8,5,5
17,67,11,1,1
17,67,12,33,33
17,67,13,10,10
17,67,14,101,108
17,67,15,3,3
17,67,16,2,2
17,67,19,1,1
17,67,20,2,2
18,67,0,19,19
18,67,1,128,139
18,67,2,37,38
18,67,7,9,9
18,67,8,3,3
18,67,11,1,1
18,67,12,13,13
18,67,13,4,4
18,67,14,50,53
18,67,15,1,1
19,67,1,1,1
19,67,2,1,1
20,67,0,29,31
20,67,1,118,130
20,67,2,47,50
20,67,7,18,19
20,67,8,7,7
20,67,9,1,1
20,67,10,1,1
20,67,11,3,3
20,67,12,29,29
20,67,13,10,10
20,67,14,44,49
20,67,15,2,2
20,67,16,4,4
20,67,19,2,2
21,67,0,204,206
21,67,1,660,685
21,67,2,176,181
21,67,7,40,40
21,67,8,22,22
21,67,9,9,9
21,67,10,3,3
21,67,11,12,12
21,67,12,100,100
21,67,13,40,40
21,67,14,316,323
21,67,15,42,42
21,67,16,21,21
21,67,19,15,16
21,67,20,2,3
22,67,0,1,1
22,67,1,9,9
22,67,2,5,5
22,67,7,2,2
22,67,12,5,5
22,67,16,1,1
22,67,19,1,1
23,67,0,4,4
23,67,1,36,38
23,67,2,10,11
23,67,7,2,2
23,67,12,3,3
23,67,14,7,7
24,67,0,1,1
24,67,1,5,5
24,67,2,3,3
24,67,7,1,1
24,67,14,1,1
24,67,15,1,1
24,67,19,2,2
25,67,0,2,2
25,67,1,10,12
25,67,2,10,10
25,67,12,2,2
25,67,14,9,9
25,67,15,1,1
25,67,19,2,2
26,67,0,30,30
26,67,1,162,178
26,67,2,37,39
26,67,7,3,3
26,67,8,2,2
26,67,9,1,1
26,67,12,18,18
26,67,13,13,13
26,67,14,65,69
26,67,16,6,6
26,67,20,1,1
27,67,0,5,5
27,67,1,31,32
27,67,2,14,14
27,67,12,2,2
27,67,13,1,1
27,67,14,17,17
27,67,15,1,1
28,67,0,13,13
28,67,1,36,39
28,67,2,27,28
28,67,7,4,4
28,67,8,3,3
28,67,9,2,2
28,67,10,1,1
28,67,11,3,4
28,67,12,9,9
28,67,13,1,1
28,67,14,19,19
28,67,19,1,1
29,67,1,10,10
29,67,2,2,2
29,67,13,1,1
29,67,14,1,1
30,67,1,6,6
30,67,2,3,3
30,67,12,1,1
30,67,14,2,2
31,67,0,128,139
31,67,1,509,609
31,67,2,91,97
31,67,7,81,84
31,67,8,14,16
31,67,9,1,1
31,67,10,2,2
31,67,12,227,251
31,67,13,58,60
31,67,14,107,121
31,67,15,7,9
31,67,16,5,5
31,67,19,11,13
32,67,0,6,6
32,67,1,61,65
32,67,2,12,12
32,67,7,3,3
32,67,12,5,5
32,67,13,3,3
32,67,14,22,26
32,67,15,2,2
33,67,0,63,63
33,67,1,362,376
33,67,2,101,105
33,67,7,23,23
33,67,8,10,10
33,67,9,3,3
33,67,10,2,2
33,67,11,1,1
33,67,12,73,73
33,67,13,30,30
33,67,14,138,143
33,67,15,7,7
33,67,16,2,2
33,67,19,2,2
34,67,0,103,107
34,67,1,644,684
34,67,2,157,164
34,67,7,87,89
34,67,8,16,16
34,67,9,2,2
34,67,10,5,5
34,67,11,2,2
34,67,12,164,167
34,67,13,53,53
34,67,14,160,170
34,67,15,13,14
34,67,16,5,5
34,67,19,6,6
34,67,20,2,2
35,67,0,9,10
35,67,1,91,97
35,67,2,22,22
35,67,7,12,12
35,67,8,1,1
35,67,12,26,28
35,67,13,4,4
35,67,14,17,20
35,67,16,1,1
35,67,19,2,2
36,67,0,14,14
36,67,1,31,32
36,67,2,11,11
36,67,7,6,6
36,67,8,2,2
36,67,9,1,1
36,67,12,8,8
36,67,13,4,4
36,67,14,15,17
36,67,15,16,16
36,67,16,1,1
36,67,19,1,1
36,67,20,1,2
37,67,0,13,13
37,67,1,90,94
37,67,2,20,20
37,67,7,5,5
37,67,8,1,1
37,67,12,8,8
37,67,13,5,5
37,67,14,37,40
37,67,15,1,1
37,67,16,1,1
38,67,0,6,6
38,67,1,31,34
38,67,2,5,5
38,67,7,1,1
38,67,8,1,1
38,67,12,3,3
38,67,13,1,1
38,67,14,5,5
38,67,15,1,1
39,67,0,41,42
39,67,1,291,309
39,67,2,78,84
39,67,7,25,25
39,67,8,5,5
39,67,10,1,1
39,67,12,46,47
39,67,13,22,23
39,67,14,90,97
39,67,19,2,2
39,67,20,1,1
40,67,0,163,168
40,67,1,764,813
40,67,2,220,227
40,67,7,109,115
40,67,8,17,17
40,67,9,5,5
40,67,10,5,6
40,67,11,1,1
40,67,12,213,219
40,67,13,68,70
40,67,14,177,182
40,67,15,16,16
40,67,16,15,16
40,67,19,8,8
40,67,20,2,2
41,67,1,9,10
41,67,2,5,5
41,67,7,1,1
41,67,8,2,2
41,67,12,4,4
41,67,14,5,5
41,67,15,2,2
41,67,19,1,1
42,67,0,24,24
42,67,1,137,141
42,67,2,29,33
42,67,7,14,14
42,67,12,23,24
42,67,13,8,8
42,67,14,33,33
42,67,15,1,1
42,67,16,1,1
43,67,0,12,12
43,67,1,32,33
43,67,2,26,26
43,67,7,3,3
43,67,8,1,1
43,67,12,11,11
43,67,13,2,2
43,67,14,12,13
43,67,15,1,1
43,67,16,1,1
43,67,19,1,1
44,67,0,1,1
44,67,1,31,34
44,67,2,14,16
44,67,7,1,2
44,67,9,1,1
44,67,12,5,5
44,67,13,3,3
44,67,14,13,13
45,67,0,18,19
45,67,1,94,98
45,67,2,22,22
45,67,7,6,7
45,67,8,1,1
45,67,12,7,7
45,67,13,5,5
45,67,14,37,39
45,67,15,3,3
45,67,16,1,1
46,67,0,24,26
46,67,1,107,113
46,67,2,41,43
46,67,7,10,11
46,67,8,5,5
46,67,9,1,1
46,67,11,2,2
46,67,12,9,9
46,67,13,7,8
46,67,14,34,35
46,67,15,5,5
46,67,16,1,1
47,67,0,8,8
47,67,1,12,12
47,67,2,9,9
47,67,7,2,2
47,67,8,2,2
47,67,12,2,2
47,67,13,3,3
47,67,14,4,4
