cluster_id,object_hsv_0,object_hsv_1,object_hsv_2,object_hsv_3,object_hsv_4,object_hsv_5,object_hsv_6,object_hsv_7,object_hsv_8,object_hsv_9,object_hsv_10,object_hsv_11,object_hsv_12,object_hsv_13,object_hsv_14,object_hsv_15,object_hsv_16,object_hsv_17,object_hsv_18,object_hsv_19,object_hsv_20,object_hsv_21,object_hsv_22,total_images_any_bin
0,1242,6369,2602,0,0,0,0,603,169,46,28,51,1320,445,2269,111,120,0,0,74,21,0,0,15470
1,52,367,108,0,0,0,0,14,7,1,1,0,42,23,159,8,6,0,0,2,0,0,0,790
2,5,20,9,0,0,0,0,3,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,52
3,1,6,2,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,16
4,370,1555,572,0,0,0,0,118,54,17,15,12,268,97,762,44,31,0,0,25,4,0,0,3944
5,0,11,2,0,0,0,0,1,1,0,0,0,1,1,4,1,0,0,0,0,0,0,0,22
6,50,298,104,0,0,0,0,15,2,1,0,0,30,19,100,3,4,0,0,4,1,0,0,631
7,2,17,19,0,0,0,0,4,1,0,0,1,1,0,15,3,0,0,0,0,1,0,0,64
8,120,483,145,0,0,0,0,17,9,6,2,1,63,26,233,11,9,0,0,14,2,0,0,1141
9,13,47,25,0,0,0,0,3,1,0,2,0,13,6,23,2,3,0,0,3,0,0,0,141
10,5,20,10,0,0,0,0,4,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,47
11,1,7,1,0,0,0,0,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,16
12,6,18,10,0,0,0,0,4,1,0,0,0,5,3,14,0,0,0,0,3,0,0,0,64
13,9,54,28,0,0,0,0,6,3,2,0,1,15,3,18,4,2,0,0,2,0,0,0,147
14,10,62,15,0,0,0,0,2,2,0,1,0,9,8,12,0,0,0,0,0,0,0,0,121
15,2,1,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,9
16,16,80,33,0,0,0,0,7,1,1,0,2,16,5,22,5,4,0,0,1,0,0,0,193
17,48,247,104,0,0,0,0,27,5,0,0,1,33,10,101,3,2,0,0,1,2,0,0,584
18,19,128,37,0,0,0,0,9,3,0,0,1,13,4,50,1,0,0,0,0,0,0,0,265
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,29,118,47,0,0,0,0,18,7,1,1,3,29,10,44,2,4,0,0,2,0,0,0,315
21,204,660,176,0,0,0,0,40,22,9,3,12,100,40,316,42,21,0,0,15,2,0,0,1662
22,1,9,5,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,24
23,4,36,10,0,0,0,0,2,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,62
24,1,5,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,14
25,2,10,10,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,0,2,0,0,0,36
26,30,162,37,0,0,0,0,3,2,1,0,0,18,13,65,0,6,0,0,0,1,0,0,338
27,5,31,14,0,0,0,0,0,0,0,0,0,2,1,17,1,0,0,0,0,0,0,0,71
28,13,36,27,0,0,0,0,4,3,2,1,3,9,1,19,0,0,0,0,1,0,0,0,119
29,0,10,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
30,0,6,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,12
31,128,509,91,0,0,0,0,81,14,1,2,0,227,58,107,7,5,0,0,11,0,0,0,1241
32,6,61,12,0,0,0,0,3,0,0,0,0,5,3,22,2,0,0,0,0,0,0,0,114
33,63,362,101,0,0,0,0,23,10,3,2,1,73,30,138,7,2,0,0,2,0,0,0,817
34,103,644,157,0,0,0,0,87,16,2,5,2,164,53,160,13,5,0,0,6,2,0,0,1419
35,9,91,22,0,0,0,0,12,1,0,0,0,26,4,17,0,1,0,0,2,0,0,0,185
36,14,31,11,0,0,0,0,6,2,1,0,0,8,4,15,16,1,0,0,1,1,0,0,111
37,13,90,20,0,0,0,0,5,1,0,0,0,8,5,37,1,1,0,0,0,0,0,0,181
38,6,31,5,0,0,0,0,1,1,0,0,0,3,1,5,1,0,0,0,0,0,0,0,54
39,41,291,78,0,0,0,0,25,5,0,1,0,46,22,90,0,0,0,0,2,1,0,0,602
40,163,764,220,0,0,0,0,109,17,5,5,1,213,68,177,16,15,0,0,8,2,0,0,1783
41,0,9,5,0,0,0,0,1,2,0,0,0,4,0,5,2,0,0,0,1,0,0,0,29
42,24,137,29,0,0,0,0,14,0,0,0,0,23,8,33,1,1,0,0,0,0,0,0,270
43,12,32,26,0,0,0,0,3,1,0,0,0,11,2,12,1,1,0,0,1,0,0,0,102
44,1,31,14,0,0,0,0,1,0,1,0,0,5,3,13,0,0,0,0,0,0,0,0,69
45,18,94,22,0,0,0,0,6,1,0,0,0,7,5,37,3,1,0,0,0,0,0,0,194
46,24,107,41,0,0,0,0,10,5,1,0,2,9,7,34,5,1,0,0,0,0,0,0,246
47,8,12,9,0,0,0,0,2,2,0,0,0,2,3,4,1,0,0,0,1,0,0,0,44
48,17,73,17,0,0,0,0,6,2,1,0,1,13,7,21,3,2,0,0,2,0,0,0,165
49,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,14,82,30,0,0,0,0,6,0,0,0,0,5,8,37,0,1,0,0,1,0,0,0,184
52,6,32,6,0,0,0,0,0,0,0,0,0,4,4,20,0,1,0,0,0,0,0,0,73
54,20,62,13,0,0,0,0,7,1,1,0,1,12,4,13,2,0,0,0,1,0,0,0,137
55,1,7,8,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,26
56,9,52,15,0,0,0,0,7,2,0,0,0,14,4,12,0,0,0,0,2,0,0,0,117
57,15,62,20,0,0,0,0,12,1,0,0,0,37,6,19,0,0,0,0,0,0,0,0,172
58,3,11,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,24
59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,15,73,34,0,0,0,0,9,1,3,0,0,13,8,33,1,0,0,0,0,0,0,0,190
61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,3,14,9,0,0,0,0,2,0,0,0,0,4,0,4,2,0,0,0,1,0,0,0,39
64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,8
65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66,3,47,23,0,0,0,0,7,2,0,2,0,10,2,22,0,0,0,0,0,0,0,0,118
67,85,523,202,0,0,0,0,29,8,2,1,1,56,21,198,5,4,0,0,2,1,0,0,1138
68,0,13,3,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,21
69,46,215,77,0,0,0,0,9,2,1,1,0,34,14,109,3,2,0,0,1,0,0,0,514
70,2,9,2,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,0,20
71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,8,68,13,0,0,0,0,8,0,0,0,0,23,6,25,0,1,0,0,0,0,0,0,152
73,7,38,6,0,0,0,0,3,1,0,0,0,12,2,4,1,0,0,0,0,0,0,0,74
74,10,46,14,0,0,0,0,4,1,0,0,0,7,4,25,0,0,0,0,0,0,0,0,111
75,0,4,4,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,17
