cluster_id,class_67_hsv_0,class_67_hsv_1,class_67_hsv_10,class_67_hsv_11,class_67_hsv_12,class_67_hsv_13,class_67_hsv_14,class_67_hsv_15,class_67_hsv_16,class_67_hsv_19,class_67_hsv_2,class_67_hsv_20,class_67_hsv_7,class_67_hsv_8,class_67_hsv_9
0,1242,6369,28,51,1320,445,2269,111,120,74,2602,21,603,169,46
1,52,367,1,0,42,23,159,8,6,2,108,0,14,7,1
2,5,20,0,0,4,0,11,0,0,0,9,0,3,0,0
3,1,6,0,0,1,0,4,1,0,0,2,0,0,1,0
4,370,1555,15,12,268,97,762,44,31,25,572,4,118,54,17
5,0,11,0,0,1,1,4,1,0,0,2,0,1,1,0
6,50,298,0,0,30,19,100,3,4,4,104,1,15,2,1
7,2,17,0,1,1,0,15,3,0,0,19,1,4,1,0
8,120,483,2,1,63,26,233,11,9,14,145,2,17,9,6
9,13,47,2,0,13,6,23,2,3,3,25,0,3,1,0
10,5,20,0,0,4,3,1,0,0,0,10,0,4,0,0
11,1,7,0,0,3,0,1,1,0,0,1,0,2,0,0
12,6,18,0,0,5,3,14,0,0,3,10,0,4,1,0
13,9,54,0,1,15,3,18,4,2,2,28,0,6,3,2
14,10,62,1,0,9,8,12,0,0,0,15,0,2,2,0
15,2,1,0,0,0,1,2,0,0,0,2,0,0,1,0
16,16,80,0,2,16,5,22,5,4,1,33,0,7,1,1
17,48,247,0,1,33,10,101,3,2,1,104,2,27,5,0
18,19,128,0,1,13,4,50,1,0,0,37,0,9,3,0
19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,29,118,1,3,29,10,44,2,4,2,47,0,18,7,1
21,204,660,3,12,100,40,316,42,21,15,176,2,40,22,9
22,1,9,0,0,5,0,0,0,1,1,5,0,2,0,0
23,4,36,0,0,3,0,7,0,0,0,10,0,2,0,0
24,1,5,0,0,0,0,1,1,0,2,3,0,1,0,0
25,2,10,0,0,2,0,9,1,0,2,10,0,0,0,0
26,30,162,0,0,18,13,65,0,6,0,37,1,3,2,1
27,5,31,0,0,2,1,17,1,0,0,14,0,0,0,0
28,13,36,1,3,9,1,19,0,0,1,27,0,4,3,2
29,0,10,0,0,0,1,1,0,0,0,2,0,0,0,0
30,0,6,0,0,1,0,2,0,0,0,3,0,0,0,0
31,128,509,2,0,227,58,107,7,5,11,91,0,81,14,1
32,6,61,0,0,5,3,22,2,0,0,12,0,3,0,0
33,63,362,2,1,73,30,138,7,2,2,101,0,23,10,3
