image_no,topic_id,pose_id,ihg_id,count
1,47,5,104,8523
2,22,24,99,7868
3,22,18,8,5729
4,63,16,21,4584
5,22,11,48,4358
6,22,6,115,4254
7,22,30,74,3846
8,11,5,104,3824
9,32,24,11,3779
10,63,23,21,3726
11,47,4,124,3599
12,25,5,104,3523
13,25,4,124,3403
14,22,30,36,3347
15,0,19,61,3233
16,0,22,2,3189
17,35,21,116,3186
18,22,18,123,3126
19,11,8,120,3056
20,22,30,111,3011
21,47,10,62,2915
22,22,11,17,2838
23,23,21,68,2808
24,35,21,112,2795
25,11,7,57,2794
26,32,13,117,2792
27,47,7,57,2776
28,47,21,116,2727
29,35,13,76,2694
30,22,11,71,2661
31,0,19,66,2656
32,35,21,0,2650
33,22,18,29,2639
34,11,4,124,2629
35,25,5,121,2621
36,0,24,13,2568
37,32,21,116,2498
38,22,1,64,2473
39,47,5,60,2472
40,47,24,99,2467
41,22,20,102,2461
42,47,24,13,2448
43,22,30,114,2440
44,47,13,3,2408
45,25,10,62,2405
46,47,24,126,2369
47,47,5,121,2343
48,47,21,68,2337
49,63,21,97,2333
50,47,24,42,2240
51,22,13,3,2215
52,0,4,124,2213
53,63,23,67,2195
54,47,18,8,2181
55,11,23,67,2173
56,47,23,21,2170
57,22,3,94,2124
58,11,10,62,2119
59,45,4,124,2107
60,47,16,21,2095
61,11,13,3,2066
62,11,8,64,2060
63,47,6,115,2054
64,47,24,113,2040
65,11,24,126,2025
66,0,5,104,2010
67,11,26,67,2009
68,23,9,30,1990
69,22,21,72,1965
70,31,21,116,1938
71,47,26,47,1924
72,22,15,35,1923
73,34,30,6,1907
74,11,23,21,1902
75,22,21,8,1886
76,47,13,2,1885
77,47,21,0,1868
78,47,24,11,1863
79,22,1,54,1835
80,22,15,98,1833
81,22,15,115,1825
82,11,21,97,1817
83,11,26,47,1813
84,22,22,19,1799
85,11,12,19,1788
86,11,23,10,1756
87,25,26,80,1756
88,22,30,10,1754
89,32,13,109,1734
90,47,13,106,1719
91,22,24,54,1716
92,0,10,62,1699
93,47,21,87,1699
94,22,30,115,1694
95,6,4,124,1693
96,11,12,24,1681
97,11,7,51,1669
98,22,6,22,1664
99,47,7,54,1662
100,25,26,47,1659
101,47,21,72,1659
102,11,7,54,1656
103,11,1,64,1636
104,15,6,122,1634
105,47,23,67,1618
106,47,21,84,1617
107,47,12,24,1611
108,47,21,96,1600
109,45,10,62,1599
110,47,9,30,1596
111,0,26,47,1593
112,47,12,19,1593
113,0,9,2,1589
114,34,30,55,1571
115,11,21,68,1561
116,47,12,27,1561
117,11,12,118,1559
118,0,9,13,1552
119,25,21,116,1539
120,32,24,13,1535
121,63,8,57,1528
122,32,13,2,1515
123,11,12,27,1513
124,22,1,29,1508
125,47,29,91,1498
126,47,21,97,1494
127,11,18,8,1485
128,49,21,0,1462
129,11,16,21,1459
130,22,6,72,1454
131,47,21,112,1445
132,47,11,48,1444
133,34,30,81,1431
134,47,26,60,1394
135,22,6,98,1388
136,11,12,93,1387
137,22,21,87,1383
138,9,24,11,1380
139,47,8,120,1374
140,11,13,103,1359
141,47,22,2,1355
142,22,6,78,1354
143,22,30,55,1351
144,47,15,38,1351
145,11,2,80,1347
146,25,21,112,1344
147,34,6,81,1344
148,11,8,105,1341
149,11,24,113,1341
150,22,1,99,1341
151,40,16,21,1341
152,9,13,76,1332
153,22,14,114,1332
154,47,21,52,1325
155,34,15,38,1324
156,25,21,0,1323
157,47,1,4,1317
158,22,14,86,1297
159,47,30,74,1294
160,47,8,64,1291
161,22,30,86,1286
162,32,13,24,1284
163,6,5,104,1279
164,47,13,76,1276
165,40,23,21,1275
166,22,15,22,1274
167,47,21,58,1270
168,22,1,56,1262
169,22,13,71,1256
170,11,23,110,1254
171,11,24,42,1248
172,0,8,13,1238
173,22,1,8,1237
174,47,22,27,1237
175,25,24,126,1236
176,11,8,90,1235
177,45,5,104,1235
178,22,18,99,1233
179,11,5,121,1232
180,34,21,68,1222
181,9,21,112,1217
182,35,24,11,1217
183,9,21,116,1211
184,47,26,80,1207
185,26,24,13,1205
186,16,16,21,1204
187,11,8,57,1202
188,6,10,62,1195
189,11,25,64,1191
190,25,13,3,1191
191,11,7,41,1190
192,47,2,80,1188
193,22,15,111,1182
194,52,16,21,1182
195,9,21,0,1176
196,47,1,64,1169
197,35,24,126,1167
198,22,24,42,1165
199,25,13,76,1163
200,32,9,30,1162
201,35,24,112,1161
202,47,21,5,1155
203,22,16,101,1151
204,11,129,63,1147
205,47,21,18,1146
206,0,21,116,1145
207,47,12,118,1144
208,25,24,113,1140
209,11,129,33,1134
210,11,24,99,1130
211,22,30,89,1130
212,32,13,85,1130
213,22,30,44,1120
214,11,22,27,1102
215,47,24,57,1097
216,11,13,106,1095
217,32,1,125,1092
218,47,18,123,1082
219,47,20,102,1082
220,22,1,123,1076
221,22,30,98,1076
222,22,24,13,1075
223,34,30,28,1073
224,22,3,77,1072
225,9,13,3,1064
226,23,21,30,1064
227,47,6,72,1064
228,9,24,126,1063
229,47,15,37,1059
230,32,24,57,1057
231,22,11,106,1050
232,22,11,33,1047
233,23,21,0,1046
234,47,22,24,1042
235,25,5,9,1041
236,35,13,3,1041
237,47,23,10,1038
238,25,10,75,1037
239,35,13,103,1034
240,11,14,45,1032
241,22,30,77,1029
242,47,15,115,1029
243,63,13,103,1028
244,35,24,51,1027
245,11,23,47,1023
246,15,5,104,1020
247,1,24,126,1019
248,22,16,44,1019
249,32,21,0,1015
250,47,13,117,1015
251,47,26,9,1015
252,22,22,33,1012
253,34,15,28,1012
254,11,22,33,1011
255,35,21,97,1008
256,63,22,24,1008
257,11,7,1,1005
258,22,15,78,1001
259,22,15,86,999
260,47,30,10,996
261,25,24,99,994
262,22,1,42,992
263,25,24,11,992
264,47,8,57,991
265,9,4,124,990
266,11,29,91,989
267,0,26,9,985
268,47,18,29,982
269,11,1,4,980
270,11,5,60,975
271,11,129,93,974
272,22,16,10,971
273,47,30,55,970
274,47,16,28,969
275,15,16,101,965
276,11,21,0,961
277,47,21,83,958
278,47,6,122,957
279,22,15,74,956
280,47,6,22,951
281,22,29,91,948
282,35,13,116,948
283,40,23,67,946
284,44,5,104,945
285,34,30,53,939
286,11,7,120,938
287,47,11,17,936
288,9,24,113,933
289,22,30,46,931
290,47,5,9,929
291,11,24,13,928
292,47,30,115,928
293,52,23,67,927
294,47,8,105,926
295,47,23,110,926
296,47,12,93,924
297,47,21,8,923
298,0,5,9,921
299,22,14,10,920
300,63,22,27,918
