"toddler",2
"20s",4
"30s",5
"40s",6
"50s",7
"60s",8
"70+",9
"0-1 Months",1
"2-5 Months",1
"0-11 Months",1
"Babies Only",1
"12-17 Months",2
"2-3 Years",2
"6-11 Months",2
"12-23 Months",2
"18-23 Months",2
"12-13 Years",3
"14-15 Years",3
"16-17 Years",3
"18-19 Years",3
"20-24 Years",4
"25-29 Years",4
"20-29 Years",4
"30-34 Years",5
"35-39 Years",5
"30-39 Years",5
"40-44 Years",6
"45-49 Years",6
"40-49 Years",6
"50-54 Years",7
"55-59 Years",7
"50-59 Years",7
"60-64 Years",8
"65-69 Years",8
"60-69 Years",8
"70-79 Years",9
"80-89 Years",9
"Over 100",9
"90 Plus Years",9
"4-5 Years",10
"6-7 Years",10
"8-9 Years",11
"10-11 Years",11
"20 to 24 years",4
"20 to 25 years old",4
"20 years old",4
"20-25 years",4
"20-30 years",4
"21 years",4
"23 years",4
"24-29 years",4
"25 to 29 years",4
"25-28 years",4
"25-30 years",4
"25-30 years old",4
"25-30years",4
"26 years",4
"26-30 years",4
"28-29 years",4
"30 to 34 years",5
"30-35 years",5
"30-40 years",5
"35 to 39 years",5
"35-30 years",5
"35-40 years",5
"35-40-years",5
"35-45 years",5
"40 to 44 years",6
"40 to 49 years",6
"40 years old",6
"40-45 years",6
"40-50 years",6
"45 to 49 years",6
"45 years old",6
"45-50 years",6
"48 years",6
"49 years",6
"50 to 54 years",7
"50 to 59 years",7
"50-55 years",7
"51 years",7
"55 to 59 years",7
"55-60 years",7
"60 to 64 years",8
"60 to 69 years",8
"60-65 years",8
"60-70 years",8
"65 to 69 years",8
"65 years",8
"65-70 years",8
"70 to 74 years",9
"70 to 79 years",9
"70-75 years",9
"75 to 79 years",9
"78 years",9
"80 plus years",9
"80 to 84 years",9
"80-84 years",9
"age 20-25 years",4
"eighty years old",9
"fifty years old",7
