"newborn",1
"baby",1
"infant",2
"infants",2
"toddlers",3
"toddler",3
"child",3
"children",3
"childrens",3
"girls",3
"boys",3
"girl",3
"boy",3
"jeune",3
"junger",3
"kinder",3
"bambino",3
"bambina",3
"ragazza",3
"schoolgirls",3
"jungen",3
"-women -men children",3
"teen",4
"teens",4
"teenager",4
"teenagers",4
"young adult",5
"young man",5
"young woman",5
"young men",5
"young women",5
"young",5
"20s",5
"30s",5
"twenties", 5
"thirties", 5
"adult",6
"40s",6
"50s",6
"forties", 6
"fifties", 6
"old",7
"60s",7
"70s",7
"80s",7
"90s",7
"70+",7
"sixties", 7
"seventies", 7
"eighties", 7
"older",7
"seniorin",7
"0-1 Months",1
"0-11 Months",1
"1 to 2 years",2
"10 to 11 years",4
"10 to 12 years",4
"10 to 13 years",4
"10 years old",3
"10 years",3
"10-11 Years",3
"10-12 years",4
"11 years old",4
"12 to 13 years",4
"12 years old",4
"12 years",4
"12-13 Years",3
"12-17 Months",3
"12-23 Months",3
"13 to 14 years",4
"13 to 15 years",4
"13 years old",4
"13-14 years",4
"13-15 years",4
"14 years old",4
"14- 15 years",4
"14-15 Years",4
"15 year old male",4
"15 years old",4
"15-16 years",4
"16 to 17 years",4
"16 years old",4
"16-17 Years",4
"16-25years",4
"17 year old boy",4
"17 years old",4
"17 years",4
"18 to 19 years",4
"18 years old",4
"18-19",4
"18-19 Years",4
"18-19 years old",4
"18-23 Months",3
"19 years old",4
"19 years",4
"19-20 years",4
"2 to 3 years",3
"2 years old",3
"2 years",3
"2-3 Years",3
"2-5 Months",2
"20 to 24 years",5
"20 to 25 years old",5
"20 years old",5
"20-24 Years",5
"20-25 years",5
"20-29 Years",5
"20-30 years",5
"20s female",5
"20s man",5
"20s woman",5
"20s2 female",5
"21 years",5
"23 years",5
"24-29 years",5
"25 to 29 years",5
"25-28 years",5
"25-29 Years",5
"25-30 years old",5
"25-30 years",5
"25-30years",5
"26 years",5
"18-20 years",5
"18-24 years",5
"18-25 years",5
"18-29 years",5
"20 - 30 years",5
