"black",1
"african-american",1
"afro-american",1
"africanamerican",1
"african american",1
"african",1
"indigenous peoples of africa",1
"african ethnicity",1
"african-american ethnicity",1
"african descent",1
"african descen",1
"black people",1
"caucasian",2
"caucasians",2
"caucasian ethnicity",2
"white people",2
"europeans",2
"eastasian",3
"east asian",3
"chinese",3
"japanese",3
"oriental",3
"orientals",3
"asian",3
"asians",3
"hispaniclatino",4
"latino",4
"latina",4
"latinx",4
"hispanic",4
"mexican",4
"middleeastern",5
"middle eastern",5
"middle easterners",5
"arab",5
"mixedraceperson",6
"mixedrace",6
"mixed-race",6
"mixed race",6
"mixed ethnicity",6
"multiethnic",6
"multi ethnic",6
"multi-ethnic",6
"biracial",6
"nativeamericanfirstnations",7
"native american",7
"nativeamerican",7
"native-american",7
"indian american",7
"indianamerican",7
"indian-american",7
"first nations",7
"firstnations",7
"first-nations",7
"indigenous",7
"pacificislander",8
"pacific islander",8
"pacific-islander",8
"southasian",9
"south asian",9
"south-asian",9
"indian",9
"southeastasian",10
"southest asian",10
"southeast asian",10
"southeast-asian",10
"Northern European Descent",2
"Scandinavian Descent",2
"Southern European Descent",2
"East Asian Ethnicity",3
"Japanese Ethnicity",3
"Chinese Ethnicity",3
"Southeast Asian Ethnicity",10
"South Asian Ethnicity",9
"West Asian Ethnicity",5
"North African Ethnicity",5
"African-American Ethnicity",1
"Latin American and Hispanic Ethnicity",4
"Cuban Ethnicity",4
"Puerto Rican Ethnicity",4
"Mexican Ethnicity",4
"Multiracial Group",6
"Multiracial Person",6
"Russian Ethnicity",2
"Eastern European Descent",2
"Korean Ethnicity",3
"Filipino Ethnicity",10
"Vietnamese Ethnicity",10
"Thai Ethnicity",10
"Cambodian Ethnicity",10
"Indian Ethnicity",9
"Sri Lankan Ethnicity",9
"Italian Ethnicity",2
"East Slavs",2
"Polish Ethnicity",2
"Ukrainian Ethnicity",2
"Spanish and Portuguese Ethnicity",2
"Chinese Han",3
"Nepalese Ethnicity",3
"Taiwanese Ethnicity",3
"Only Japanese",3
"Tibetan Ethnicity",3
