Chinese,Fitted
"血液","blood"
"眼睛","Eye"
"耳朵","ear"
"穗","ear"
"鼻子","nose"
"羽毛","feather"
"音乐会","concert"
"安全帽","helmet"
"头盔","helmet"
"脑","brain"
"厨房","kitchen"
"讲台","podium"
"演讲台","Podium"
"领奖台","podium"
"人","people"
"活动","Activity"
"情感","emotion"
"图像","image"
"活力","vitality"
"勇气","courage"
"量表","scale"
"宽的","Wide"
"厚的","Thick"
"物理压力","physical pressure"
"职权","Authority"
"控制","control"
"节制","control"
"力量","strength"
"韧性","toughness"
"衣服","clothing"
"例行公事","routine"
"易接近性","accessibility"
"食品饮料","food and drink"
"定购","order"
"顺序","order"
"可靠性","reliability"
"安全","Safety"
"休闲设备","leisure equipment"
"休闲器具","Leisure equipment"
"灵性","spirituality"
"事件","event"
"人类居住地","human settlement"
"家具","furniture"
"容器","container"
"清洁器材","cleaning equipment"
"风险","risk"
"神秘","mystery"
"分离","separation"
"冒险","adventure"
"探险","adventure"
"禁止的","forbidden"
"鞋子","shoe"
"错觉","illusion"
"发刷","hairbrush"
"牙刷","toothbrush"
"发现号","Discovery"
"剃须膏","shaving cream"
"牙膏","toothpaste"
"香水","perfume"
"混沌","chaos"
"挫败","defeat"
"毁灭的","Destruction"
"毁坏","destruction"
"吹风机","hair dryer"
"损失","loss"
"喝","drink"
"震惊","Shock"
"食品","food"
"对抗","confrontation"
"体育器械","Sports equipment"
"危险","Danger"
"愤怒","anger"
"失望","disappointment"
"困窘","embarrassment"
"窘迫","embarrassment"
"悲痛","grief"
"情绪压力","emotional stress"
"农业设备","agricultural equipment"
"建筑设备","Construction Equipment"
"零售设备","retail equipment"
"信心","confidence"
"欲望","desire"
"友谊","friendship"
"牙科设备","dental equipment"
"幽默","humor"
"实验室设备","laboratory equipment"
"骄傲","pride"
"惊奇","Surprise"
"幸福","happiness"
"快乐","happiness"
"激情","Passion"
"受难记","Passion"
"享乐","Enjoyment"
"欢乐","joy"
"符号","symbol"
"签名","sign"
"表演","Performance"
"无忧无虑","carefree"
"城镇","town"
"城市","City"
"身份","identity"
"都市风景","cityscape"
"都市风光","cityscape"
"创造力","creativity"
"气球","balloon"
"篝火","bonfire"
"花束","bouquet"
"电缆","cable"
"主动","initiative"
"蜡烛","Candle"
"创新","Innovation"
"烟","cigarette"
"香烟","cigarette"
"礼物","Gift"
"新生活","new life"
"激光","laser"
"磁铁","magnet"
"滑车","pulley"
"绳子","rope"
"海难","shipwreck"
"猎枪","shotgun"
"花环","wreath"
"幻想","fantasy"
"奇幻狂想","fantasy"
"旅途","journey"
"干净","clean"
"清洗","Clean"
"打扫","clean"
"闪亮","Shiny"
"亮闪闪","Shiny"
"生锈的","Rusty"
"坏掉的","broken"
"进展","progress"
"拆毁的","demolished"
"灶台","stove"
"火炉","stove"
"洗碗机","dishwasher"
"洗衣机","washing machine"
"咖啡师","coffee maker"
"电动榨汁机","electric juicer"
"食品加工机","food processor"
"冰箱","refrigerator"
"机会","Chance"
"运气","luck"
"沙发","sofa"
"椅子","Chair"
"桌子","table"
"桌位","table"
"机遇","opportunity"
"信任","trust"
"书桌","desk"
"忠诚","loyalty"
"窗帘","curtain"
"幕布","curtain"
"和谐号","Harmony"
"通信","communication"
"平衡","balance"
"桶","bucket"
"瓶子","bottle"
"罐子","jar"
"罐头","can"
"纸箱","carton"
"纸盒","carton"
"烟灰缸","ashtray"
"协调","coordination"
"水槽","sink"
"沉入","sink"
"沉没","sink"
"水龙头","Faucet"
"忠告","advice"
"螺丝刀","screwdriver"
"钻头","drill"
"打眼","drill"
"锤子","hammer"
"螺丝","screw"
"支撑","support"
"磨沙机","Sander"
"银餐具","silverware"
"团结","unity"
"水壶","kettle"
"烧水壶","Kettle"
"长柄勺","ladle"
"平等","equality"
"拖把","mop"
"扫帚","broom"
"掸子","duster"
"真空吸尘器","vacuum cleaner"
"时间","time"
"耙子","rake"
"耙","rake"
"喷壶","watering can"
"连续性","continuity"
"铲子","shovel"
"铲土机","shovel"
"最终期限","deadline"
"割草机","Lawn mower"
"园艺锄","garden hoe"
"洒水机","sprinkler"
"历史","history"
"怀旧","nostalgia"
"决心","determination"
"内衣","underwear"
"浴衣","bathrobe"
"比基尼","bikini"
"竞赛","competition"
"逆境","adversity"
"睡衣","pajamas"
"制服","uniform"
"军服","uniform"
"冲突","conflict"
"恶化","deterioration"
"尿布","diaper"
"奋斗","struggle"
"弱点","weakness"
"运动衫","Sweatshirt"
"毛衣","sweater"
"连衣裙","dress"
"套装","suit"
"牛仔裤","jeans"
"T恤","t-shirt"
"努力","effort"
"忍耐力","endurance"
"短裤","shorts"
"策略","Strategy"
"攻略","Strategy"
