count,keyword_id,keyword_text
1034490,22053,white
555135,21999,model
525121,22059,studio
487941,22849,expression
464245,26703,one
349268,22121,black
269065,22109,health
234972,22013,natural
232533,28889,over
225266,22137,camera
203296,22181,pink
195975,22241,eyes
194280,22131,cool
183789,22185,body
178792,22082,professional
174060,22124,makeup
154264,22207,youth
151326,23330,closeup
150227,23997,american
150044,22017,green
147779,133719,people
140102,22097,holiday
134990,22392,worker
131983,22159,job
128758,22814,space
120736,22029,wall
119378,22315,friendly
117048,22111,fitness
116371,22011,pose
112640,22817,facial
110665,22411,phone
104445,22455,smart
99605,23810,shot
97562,22414,blond
94052,22206,senior
93188,21998,wear
92667,22358,gray
92408,23117,grey
88138,22235,school
87435,26113,good
83933,22196,commerce
83065,26409,latin
82830,23338,executive
80276,133726,studio
79368,22166,fit
78438,22355,afro
77339,22504,mobile
74420,133228,expression
72902,22135,training
71740,133767,model
70777,27040,crazy
70683,25285,european
70247,22397,treatment
69683,22332,spring
68581,22872,upset
67865,22083,sweet
67268,22904,front
66973,26372,nice
66569,22178,party
66237,22772,stress
65831,22708,thinking
65125,30118,individual
63793,22269,mask
63118,23565,single
62745,26060,advertising
62216,22233,orange
61930,22140,active
61916,133678,beauty
60987,23559,victory
59958,22208,view
59446,22033,outside
56946,22040,coffee
56400,23168,japanese
56230,22671,life
55925,22485,cosmetic
55651,28617,year
55540,24975,age
54868,26416,feeling
54725,29953,businessperson
54503,22324,box
54074,27963,middle
53802,22296,healthcare
53545,24079,negative
52448,22064,vintage
52211,24911,winner
52134,23220,boss
50206,22682,profession
50176,22225,coat
48869,25393,bad
47356,22499,present
46748,23010,career
46023,22226,cap
45936,133826,hand
45536,24704,two
45006,22859,card
44497,22412,money
44489,25093,expert
43472,22032,cold
42853,133825,hair
42311,22072,romantic
41548,22255,sportswear
40910,22061,retro
40744,22987,clinic
40261,24531,stop
39537,22891,heart
39524,22157,energy
39311,22452,vogue
39270,23084,banner
39177,22043,ethnic
38909,22668,mood
38271,22602,palm
37995,22333,screen
37505,22264,power
36914,22665,tablet
36754,22042,glass
36062,22632,college
34988,22117,content
34859,29117,level
34334,24750,feelings
34169,24673,arab
34048,22593,think
34006,28283,great
33764,23757,labor
33670,23113,sick
33263,29258,real
32765,26847,side
32709,22877,depression
32454,22160,nutrition
32180,22334,muslim
32178,22087,device
32119,23458,salon
31924,22266,game
31536,22514,air
31437,30207,wonder
31404,22425,meditation
31187,23659,call
30553,22367,pleasure
30476,29385,down
30118,22203,notebook
30038,22161,aged
29419,28293,no
29400,22802,top
29376,27516,secret
29305,133747,beard
29169,22037,field
29045,22400,cream
29040,22685,picture
28977,22228,product
28901,23740,mind
28858,23311,cosmetology
28775,22970,haircut
28251,24972,thai
28087,22884,disease
28025,22098,feminine
27902,28639,korean
27811,22084,construction
27634,24497,news
27546,27350,cell
26959,22376,ball
26803,26464,credit
26184,22339,wireless
26127,22001,building
25974,22439,race
25553,22352,peace
25543,133714,office
25304,22529,entertainment
25219,23966,like
25056,22132,high
24489,22143,workplace
24468,22410,information
23993,30696,positivity
23838,23146,pastel
23695,22167,lying
23656,23022,company
23532,22677,therapy
23464,26371,raising
23296,22824,masculine
23275,22102,beverage
23267,133827,head
23190,26785,question
22974,23382,video
22770,25323,chest
22757,23189,specialist
22604,133808,blue
22509,22789,player
22437,23457,violet
22377,22390,clear
22214,22062,inside
22049,23435,elder
21934,32093,yes
21842,22784,delivery
21839,23175,hairdo
21699,25910,reaction
21418,30650,triumph
21170,23360,presentation
20867,26513,keeping
20659,23281,trouble
20645,22199,trip
20637,28973,doubt
20611,22320,traveler
20611,23396,staff
20584,22222,tea
20493,22961,valentine
20394,25913,russian
20370,27381,spectacles
20175,24411,vision
20048,23029,cash
20006,22156,action
19983,24769,discount
19975,22696,sound
19966,22009,contemporary
19648,22014,delicious
19631,22619,apple
19476,24067,ginger
19393,22090,domestic
19268,29902,ad
19189,31893,rage
19045,25107,jumper
18937,27298,living
18779,26567,offer
18771,23563,international
18746,133812,care
18696,133785,smart
18618,27792,builder
18571,26261,self
18435,22876,purchase
18363,23060,leader
18297,22122,classic
17982,22478,figure
17733,25349,pullover
17685,23684,free
17429,23828,hope
17397,22044,evening
17392,23612,pupil
17322,22368,swimsuit
17273,22623,pool
17233,25133,worry
17210,22929,freelancer
17180,23884,bodybuilder
17121,133604,closeup
16970,133565,shopping
16863,22138,couch
16681,133533,european
16611,23549,future
16587,133680,camera
16552,22727,class
16399,22885,nude
16288,22170,dessert
16287,22438,display
16247,133844,shot
16174,22398,tool
15910,24339,application
15833,22204,gold
15664,24148,size
15547,22853,national
15326,22666,vegetarian
15326,133510,american
15295,27925,brazilian
15271,27372,practitioner
15244,133739,yellow
15173,22211,conversation
15110,23737,medication
15081,26177,arabian
15073,23014,lesson
15022,32580,migraine
14949,22387,legs
14896,24376,agent
14847,24559,preschooler
14703,22329,pandemic
14636,24647,fan
14530,24053,infection
14506,26576,bust
14469,23912,ready
14306,22005,ocean
14284,22213,accessory
14207,30321,ache
14178,22767,center
13898,22100,festival
13810,32285,yelling
13795,31911,bristle
13761,22106,tender
13745,31049,fat
13669,24581,stubble
13570,23520,bodybuilding
13557,24996,desperate
13386,23821,lab
13382,28038,preteen
13364,22219,weekend
13317,23670,payment
13289,22500,drawing
13265,26059,promotion
13257,24104,medic
13169,22424,team
13130,27375,employer
13025,22842,magic
12987,22571,country
12977,27352,welcome
12941,23410,warning
12941,24419,biceps
12932,22918,carnival
12893,22754,frame
12881,28065,silly
12858,133736,winter
12784,32178,mute
12780,22234,simple
12779,133823,gray
12683,133634,outside
12665,22252,object
12567,24301,blackboard
12564,23019,brunet
12493,133692,facial
12471,22943,bath
12465,27011,aging
12465,28422,indonesian
12455,22052,group
12416,27729,collage
12263,27343,management
12191,23496,cutout
12151,27262,contact
11914,22323,bar
11881,22366,turquoise
11863,133838,pink
11856,24177,lotus
11850,22855,football
11842,22917,ribbon
11832,28495,sickness
11823,22136,comfort
11814,133777,phone
11772,22010,wood
11760,22021,countryside
11506,133757,green
11502,23877,web
11490,23073,three
11470,22467,project
11330,23139,boxing
11327,22274,resort
11299,23711,shopper
11251,23063,designer
11057,28018,contractor
10932,23127,procedure
10840,23473,test
10831,133819,food
10820,24075,tan
10817,22692,juice
10768,23238,vest
10709,22187,transport
10590,23482,barrier
10503,23199,pensioner
10500,23240,crown
10379,23824,glamor
10341,133824,grey
10320,22809,gown
10271,133688,doctor
10270,24705,dollar
10212,22651,religious
10211,22174,writing
10189,23797,blogger
10136,133787,space
10134,22238,cuisine
10055,133750,blond
10038,23656,half
10022,23350,attention
10006,23144,backdrop
9986,29745,first
9958,22287,fast
9930,133705,laptop
9919,22799,zen
9868,23459,runner
9846,23204,trainer
9819,22401,innocent
9799,22088,texture
9719,133710,mobile
9691,22149,personality
9669,26915,defense
9649,24288,commercial
9610,23230,belly
9562,23618,buyer
9496,28090,take
9494,26180,sole
9434,24379,gentleman
9427,133568,thinking
9380,22502,machine
9320,22813,client
9305,30215,use
9280,23213,audio
9222,25965,speaking
9127,22559,chic
9119,22659,hood
9107,22854,oriental
9096,24190,bunny
9020,22638,faith
9020,23259,prayer
8869,23153,stick
8852,31025,offering
8842,133674,active
8816,23231,china
8770,22147,mirror
8763,24507,goal
8750,23519,eve
8746,133639,picture
8738,22457,alcohol
8710,23163,goggles
8686,25299,right
8666,133703,jacket
8662,23962,kind
8654,26253,operator
8628,22251,rose
8563,26015,lip
8539,133690,ethnic
8429,29954,well
8424,22939,sheet
8389,28771,fine
8365,133845,show
8358,23600,graduate
8348,24253,gradient
8339,29338,consumer
8331,22218,friend
8275,22909,chat
8262,23867,world
8249,22705,graphic
8210,23638,deal
8195,23748,bun
8169,25722,french
8162,23369,italian
8129,32539,employment
8091,30770,raise
8074,22070,relationship
8035,23640,corona
8013,133735,winner
7984,23925,tenderness
7983,133709,middle
7969,133749,blank
7964,22303,instrument
7954,25157,vietnamese
7932,23172,spiritual
7916,23051,soldier
7904,23082,fighter
7838,23316,place
7805,25362,breath
7803,24524,thought
7796,23158,erotic
7775,22810,distance
7775,24994,pressure
7756,22141,structure
7703,25572,parks
7669,24198,baker
7653,23852,movement
7600,23861,folder
7589,26841,five
7583,22580,silver
7544,28329,spanish
7519,133831,life
7514,25258,joke
7512,47808,tie
7491,22281,ecology
7479,22464,profile
7476,22435,train
7476,27521,athletics
7457,22373,adolescent
7454,23808,conference
7378,22697,area
7265,22956,isolation
7261,22278,delight
7210,23291,song
7204,23791,fancy
7198,23066,painter
7182,24625,personal
7172,23663,therapist
7120,22294,sugar
7110,23579,mexican
7034,33141,announcement
7000,23269,gardener
7000,26854,best
6992,22752,aesthetic
6992,23107,effect
6970,22245,fabric
6969,31145,enthusiasm
6966,25489,rubber
6948,22617,beer
6909,27093,geek
6904,23042,asana
6855,22662,farming
6828,46464,win
6784,24137,handyman
6702,24825,influenza
6695,23348,robe
6688,25347,patriot
6628,22811,electric
6618,31227,forward
6608,133454,treatment
6599,23667,diagnosis
6593,25581,attack
6578,24230,injection
6537,23779,print
6527,22902,belief
6515,25355,nation
6509,26052,save
6507,25548,queen
6470,22152,painting
6468,22298,pastry
6466,22348,wave
6412,22931,startup
6387,22595,pile
6385,25618,barbershop
6373,133543,hospital
6367,23512,check
6359,27101,hip
6326,24967,fatigue
6325,23825,rabbit
6304,22731,vegan
6284,22230,flat
6252,22420,round
6242,22738,blazer
6233,24599,wrinkle
6231,22528,raw
6231,23043,note
6228,23288,kindergarten
6212,32674,corporation
6211,22254,aroma
6202,133761,house
6182,133791,table
6181,133755,front
6180,25294,champion
6176,22015,vehicle
6166,22322,stock
6153,22460,flight
6125,23048,takeaway
6111,24378,examination
6098,22669,driver
6087,26692,distress
6085,23351,boxer
6074,24347,tape
6059,26226,fair
6028,32002,ukrainian
6016,24471,dentistry
6008,22163,smoke
5995,133804,aged
5993,133822,gift
5988,22395,scene
5977,22073,wild
5967,22105,stone
5949,30432,gloss
5935,23404,maintenance
5920,24802,laughter
5907,26620,oral
5863,27739,schoolchild
5843,22948,glance
5839,22096,silhouette
5833,29820,feel
5813,22495,lens
5798,26607,opinion
5780,22565,generation
5780,22744,basketball
5756,23935,seller
5753,22429,marriage
5731,22183,dish
5715,25902,site
5699,24201,cinema
5676,133290,protection
5659,28747,persian
5658,23872,safe
5656,32479,mock
5655,22840,pregnancy
5653,133854,view
5637,133768,money
5633,23307,shoot
5620,25384,workman
5615,22380,hug
5615,22834,attire
5605,22338,cloud
5595,23924,consultation
5593,22297,estate
5575,23278,post
5555,22000,daylight
5554,24338,system
5516,22483,neon
5498,22186,workspace
5489,23431,emergency
5484,22620,slice
5484,23349,manual
5483,27023,english
5463,23190,powder
5448,22561,counter
5443,22112,blooming
5442,133724,screen
5439,24719,four
5406,25648,profit
5404,42572,diet
