count,keyword_id,keyword_text
1709955,10130,Portrait
1034490,22053,white
549452,19763,Hair
447749,19741,Hand
225566,19760,Skin
210180,495,Nature
210156,412,Hat
209694,19751,Finger
197878,594,Office
183314,19754,Head
122562,241,Clean
120736,22029,wall
106618,1469,Doctor
105600,1793,Internet
100873,1991,Laptop
94154,11801,Computer
93573,2019,Brown
93188,21998,wear
84194,4,Eye
82487,724,Jacket
73324,273,Table
72582,469,Medicine
70967,220,Gift
69985,744,Eyeglasses
69377,19952,Spa
68581,22872,upset
64273,2150,Paper
63802,745,Sunglasses
63540,8136,Blank
62939,5366,Music
59775,721,Costume
59386,902,Redhead
57832,5271,Headphones
56864,133,Drink
56370,599,House
55862,391,Jeans
53751,5518,Art
45730,278,Desk
43871,5728,Grass
43866,3763,Hospital
42283,328,Connection
42134,404,Bag
42108,14,Kitchen
41546,444,Telephone
38118,2506,Sky
37695,2472,Fruit
37369,21726,Garden
31714,420,Lipstick
31650,553,Flag
30842,1227,Plant
29888,1925,Restaurant
29614,3887,Apron
26661,3787,Blowing
26184,22339,wireless
25765,1533,Teacher
25560,671,Towel
24489,22143,workplace
22736,1693,Mother
22700,272,Chair
22456,293,Bottle
22158,966,Japan
20620,363,Bikini
19885,3762,Surgery
19844,5732,Blouse
19545,2467,Vegetable
19475,10394,Artist
19442,1806,Car
18671,407,Jewelry
17761,18385,Secretary
17126,499,Road
17076,790,Cake
16580,1204,Clock
15519,190,Town
15284,729,Basket
14876,4514,Pants
14268,797,Dinner
13893,5915,Lingerie
13129,737,Necklace
12665,2151,Cardboard
12274,807,Salad
12192,413,Necktie
12143,1585,Milk
12076,2689,Mountain
11735,699,Bowl
11662,1644,Dumbbell
11645,3909,Glove
11355,698,Plate
10778,2188,Dog
10720,1949,Library
10640,1807,Bicycle
10252,7540,Collar
10193,2129,Cotton
9404,1277,Microphone
9280,206,Balloon
9117,4115,Key
8823,362,Bathrobe
8805,17609,Thin
8695,763,Bread
8262,23867,world
8259,5739,Bra
8008,3961,Bench
7897,1472,Voice
7656,4323,Photograph
7534,2755,Frost
7520,491,Newborn
7500,919,Textbook
7483,115,Toothbrush
7469,8911,Groceries
7264,19759,Abdomen
7177,2682,Lawn
7094,1263,Binoculars
7091,1222,Pencil
6923,5717,Belt
6759,4120,Ingredient
6453,13539,Luggage
6333,1191,Airplane
6257,105,Garment
5975,7528,Illustration
5962,1421,Door
5862,4621,Actor
5753,5814,Kimono
5739,212,Candle
5691,4589,Megaphone
5558,4572,Quarter
5554,421,Mascara
5552,805,Pizza
5548,1931,Airport
5488,13644,Earring
5430,2601,Tomato
5385,13,Brain
5384,295,Jar
5178,2747,Rainbow
5100,1217,Map
4996,292,Bucket
4986,19430,Detox
4614,696,Fork
4595,7724,Antique
4553,327,Tray
4463,739,Bracelet
4457,653,Armchair
4390,830,Radio
4322,6527,Raincoat
4298,4667,Hamburger
4200,2701,Island
4192,3008,Shelf
4083,11203,Mail
4082,3340,Australia
4074,8962,Sketch
4062,2072,Circle
4049,3706,Hole
4017,9801,Panties
3982,2421,Motorcycle
3946,789,Cookie
3772,2711,Lettuce
3729,11947,Joystick
3700,4225,Commuter
3633,5632,Paintbrush
3620,2611,Drop
3565,1328,Fence
3557,18704,Actress
3457,993,Egypt
3451,26341,woolen
3422,1229,Calculator
3397,849,Doll
3321,315,Hammer
3278,11174,Electricity
3265,133798,water
3199,741,Bow Tie
3118,9493,Vaccination
3099,2558,Dirt
3095,3939,Cowboy
3065,762,Flour
3017,2687,Hill
2993,2508,Land
2968,5408,Thermometer
2962,812,Racket
2927,26639,workwear
2888,10303,Efficiency
2785,123,Perfume
2781,22762,yard
2762,23661,wardrobe
2735,7287,Nightclub
2695,303,Bathtub
2684,4210,Polo
2634,6035,Sari
2584,35,Thick
2572,1971,Timber
2571,133734,window
2521,6971,Bookshelf
2516,6691,Leather Jacket
2435,7739,Coveralls
2433,2581,Tulip
2329,5457,Grapefruit
2323,770,Cheese
2289,4609,Ladder
2279,857,Caribbean
2266,921,Newspaper
2260,475,Microscope
2247,1900,Bell
2233,284,Curtain
2197,6851,Corset
2165,313,Drill
2161,15260,Blade
2088,6377,Dye
2063,11005,Fringe
2043,792,Ice Cream
2027,24032,whiteboard
2022,11984,Polo Shirt
2019,133801,world
2000,1272,Label
1983,4662,Fireplace
1982,1427,Staircase
1979,125,Razor
1943,1275,Golf
1925,2106,Reindeer
1860,338,Broom
1857,210,Cable
1844,10211,Eyeliner
1824,1906,Alley
1759,6635,High Heels
1744,19962,Red Dress
1734,764,Noodles
1726,6520,Bandana
1715,1167,Engine
1667,5265,Envelope
1645,2588,Grape
1632,2201,Leopard
1623,2571,Daisy
1614,5003,Orchid
1609,1404,Ranch
1605,22915,utensil
1553,11309,Alphabet
1552,355,Flower Pot
1551,2354,Bee
1536,28180,union
1534,113,Hairbrush
1520,5700,Badge
1515,7248,Acid
1470,600,Castle
1469,6620,Easter Egg
1459,13538,Showroom
1458,1817,Taxi
1455,608,Tent
1440,7379,Shield
1432,347,Shovel
1409,20383,Gas
1407,1815,Bus
1354,5548,Crate
1351,19788,Knee
1341,375,Diaper
1341,1116,Easel
1321,2679,Palm Tree
1292,7462,Dose
1288,3759,Mannequin
1280,5593,Cabinet
1273,9084,Overcoat
1238,1513,Duvet
1221,9839,Rag
1164,8760,Mattress
1146,2082,Cow
1141,8120,Bleach
1140,6247,Dentures
1138,1321,Gate
1110,23691,watercolor
1102,7633,Bodyguard
1097,1435,Patio
1064,1439,Porch
1045,333,Spatula
1038,1326,Fountain
1019,11172,Deck
1012,277,Closet
982,9750,Kitchen Counter
971,5837,Fur Coat
953,4251,Alarm Clock
944,31407,washer
942,12500,Tassel
928,12664,Oven
915,332,Ladle
913,266,Refrigerator
908,12293,Packet
883,329,Kettle
883,455,Tractor
883,10698,Blender
882,2090,Goat
879,7227,Bookstore
876,6146,Pantyhose
834,7911,Pole
813,10405,Orange Juice
811,4359,Light Bulb
807,7920,Dining Table
804,5913,Leotard
802,256,Stove
800,16282,Bluetooth
796,26384,whisk
787,339,Duster
771,583,Harbor
754,3774,Narcotic
750,6844,Ammunition
744,15872,Rainforest
729,4278,Cowboy Hat
721,8788,Highway
714,1320,Cage
711,12658,Exfoliation
710,1886,Piano
698,4581,Party Hat
697,8807,Batik
688,12773,Vacancy
683,1643,Antler
673,5810,Battery
654,5911,Nail Polish
652,11798,Icing
650,12034,Macaroon
649,11137,Export
630,14933,Oxygen
622,4709,Mustard
620,10606,Vector
606,680,Electric Lamp
589,5345,Dragon
587,4722,Teapot
586,4319,Raspberry
575,5578,Neckerchief
564,2141,Lead
541,24485,universe
533,2618,Mushroom
533,23409,yarn
529,2594,Pear
524,19685,Hose
511,11840,Glue
495,275,Dresser
493,5107,Tangerine
491,1071,Tweezers
482,7931,Deodorant
479,5270,Escalator
476,12033,Macaroni
470,16631,Flannel
467,5934,Potter
464,7378,Vial
463,3929,Golf Club
461,5568,Kayak
450,14378,Vulnerability
447,10950,Maple Leaf
446,19462,Drone
445,2706,Garlic
443,5219,Radish
442,6015,Oatmeal
439,29589,wearable
438,1799,Aspirin
438,2651,Fern
426,604,Mansion
425,29684,wonderland
421,1727,Orchestra
420,709,Jug
418,6070,Pliers
414,6014,Oar
412,874,Opera
412,10731,Telescope
412,24036,woodwork
408,18810,Hen
405,769,Butter
399,5794,Alien
397,6192,Oil Lamp
381,133799,wheel
380,1883,Stopwatch
371,6083,High Chair
356,10992,Camisole
344,6058,Clothespin
343,6379,Insulation
338,4259,Elevator
334,2624,Barley
327,5296,Incense
318,6430,Mill
317,13857,Hardwood
311,261,Coffee Maker
311,5640,Jump Rope
310,9352,Kaffiyeh
310,28514,zodiac
307,30693,underclothes
303,5594,Locker
300,1422,Ceiling
295,6933,Plunger
293,5944,Shed
288,6960,Snowdrift
288,13343,Quartz
285,1085,Crutch
282,21861,Aerosol
276,5207,Cauliflower
271,4295,Dart
267,19716,Toe
261,10444,Mare
261,12519,Thong
258,659,Coffee Table
258,5327,Quarry
256,30964,unit
250,6755,Mini Skirt
243,2516,Thorn
243,2864,Glacier
238,2102,Camel
237,13729,Mouthwash
235,10069,Reflector
230,8729,Neighbor
228,1207,Archery
228,25691,underpants
226,7853,Gin
225,5813,Ankle
223,8065,Lip Balm
218,5936,Nightdress
